Date,Close/Last,Volume,Open,High,Low
2/2/24,0.6512,N/A,0.6569,0.6611,0.6502
2/1/24,0.6594,N/A,0.6569,0.66,0.657
1/31/24,0.6551,N/A,0.6565,0.6579,0.655
1/30/24,0.6572,N/A,0.6601,0.6604,0.6559
1/29/24,0.661,N/A,0.661,0.6625,0.6597
1/28/24,0.659,N/A,0.6574,0.6596,0.657
1/26/24,0.6576,N/A,0.6581,0.661,0.6575
1/25/24,0.6589,N/A,0.6581,0.6594,0.6576
1/24/24,0.6573,N/A,0.6576,0.6581,0.6566
1/23/24,0.6574,N/A,0.6578,0.6587,0.6566
1/22/24,0.6598,N/A,0.657,0.6602,0.6565
1/19/24,0.6598,N/A,0.657,0.6602,0.6565
1/18/24,0.6579,N/A,0.657,0.659,0.6568
1/17/24,0.6558,N/A,0.655,0.6567,0.6526
1/16/24,0.6572,N/A,0.6583,0.6595,0.6567
1/15/24,0.6613,N/A,0.666,0.6665,0.6611
1/14/24,0.6692,N/A,0.6685,0.6705,0.6681
1/12/24,0.6686,N/A,0.6687,0.673,0.6677
1/11/24,0.6704,N/A,0.6687,0.6715,0.6684
1/10/24,0.672,N/A,0.6698,0.6726,0.6695
1/9/24,0.6705,N/A,0.6682,0.6708,0.668
1/8/24,0.6718,N/A,0.6718,0.6734,0.6712
1/7/24,0.67,N/A,0.6713,0.6735,0.6696
1/5/24,0.6713,N/A,0.6705,0.6748,0.6641
1/4/24,0.67,N/A,0.6705,0.6719,0.6699
1/3/24,0.6739,N/A,0.6729,0.6747,0.6721
1/2/24,0.6762,N/A,0.676,0.6771,0.6751
1/1/24,0.6817,N/A,0.6811,0.6823,0.6802
12/29/23,0.6813,N/A,0.6829,0.6846,0.6781
12/28/23,0.684,N/A,0.6829,0.6846,0.6823
12/27/23,0.684,N/A,0.6843,0.6872,0.6838
12/26/23,0.6835,N/A,0.6835,0.6841,0.6818
12/25/23,0.6815,N/A,0.6796,0.6816,0.6792
12/24/23,0.6791,N/A,0.6799,0.6803,0.6774
12/22/23,0.68,N/A,0.6801,0.6826,0.6774
12/21/23,0.6784,N/A,0.6801,0.6803,0.6775
12/20/23,0.6749,N/A,0.6729,0.6753,0.6725
12/19/23,0.6772,N/A,0.6761,0.6774,0.6748
12/18/23,0.6722,N/A,0.6705,0.6727,0.6701
12/17/23,0.6713,N/A,0.6696,0.672,0.6693
12/15/23,0.67,N/A,0.6697,0.6729,0.6663
12/14/23,0.6718,N/A,0.6697,0.6725,0.6694
12/13/23,0.6714,N/A,0.6658,0.6728,0.6654
12/12/23,0.6553,N/A,0.6559,0.6568,0.6547
12/11/23,0.6591,N/A,0.6565,0.6593,0.6563
12/10/23,0.6553,N/A,0.6577,0.6583,0.6551
12/8/23,0.6578,N/A,0.6601,0.6621,0.6558
12/7/23,0.6616,N/A,0.6601,0.662,0.6592
12/6/23,0.653,N/A,0.6549,0.6559,0.6525
12/5/23,0.6559,N/A,0.6619,0.6627,0.6556
12/4/23,0.6583,N/A,0.6583,0.6627,0.6571
12/3/23,0.6658,N/A,0.6672,0.6691,0.6653
12/1/23,0.6676,N/A,0.6605,0.6677,0.66
11/30/23,0.6611,N/A,0.6605,0.6631,0.66
11/29/23,0.6645,N/A,0.6617,0.6645,0.6614
11/28/23,0.665,N/A,0.6648,0.6677,0.6636
11/27/23,0.6623,N/A,0.6606,0.6632,0.6603
11/26/23,0.6574,N/A,0.6574,0.6595,0.6566
11/24/23,0.6583,N/A,0.6557,0.6592,0.655
11/23/23,0.6562,N/A,0.6557,0.657,0.655
11/22/23,0.6554,N/A,0.6541,0.656,0.6538
11/21/23,0.6555,N/A,0.6554,0.657,0.6549
11/20/23,0.6577,N/A,0.6556,0.6587,0.6553
11/19/23,0.6552,N/A,0.6508,0.6563,0.6501
11/17/23,0.6516,N/A,0.647,0.6517,0.6452
11/16/23,0.6469,N/A,0.647,0.6476,0.6457
11/15/23,0.6469,N/A,0.6505,0.6522,0.6461
11/14/23,0.6502,N/A,0.6506,0.6509,0.6483
11/13/23,0.6371,N/A,0.638,0.6385,0.6367
11/12/23,0.636,N/A,0.6364,0.6369,0.6352
11/10/23,0.6361,N/A,0.6365,0.6373,0.6339
11/9/23,0.636,N/A,0.636,0.6373,0.6352
11/8/23,0.6415,N/A,0.6401,0.6418,0.6399
11/7/23,0.644,N/A,0.6435,0.645,0.6422
11/6/23,0.6438,N/A,0.6488,0.6502,0.6434
11/5/23,0.6512,N/A,0.6511,0.652,0.6505
11/3/23,0.6513,N/A,0.6434,0.6519,0.642
11/2/23,0.643,N/A,0.6434,0.6439,0.642
11/1/23,0.6431,N/A,0.6392,0.6439,0.6389
10/31/23,0.6337,N/A,0.6336,0.6343,0.6318
10/30/23,0.6348,N/A,0.6374,0.6377,0.6344
10/29/23,0.6356,N/A,0.6334,0.636,0.6332
10/27/23,0.6335,N/A,0.6321,0.6368,0.632
10/26/23,0.6339,N/A,0.6321,0.6343,0.632
10/25/23,0.6278,N/A,0.6278,0.6316,0.627
10/24/23,0.6379,N/A,0.6355,0.64,0.6351
10/23/23,0.6358,N/A,0.6335,0.6363,0.6331
10/22/23,0.6314,N/A,0.6312,0.6323,0.6308
