Date,Close,Open,High,Low,Vol.,Change %
3/1/23,0.6761,0.6729,0.6785,0.6694,,0.49%
2/28/23,0.6728,0.6735,0.6759,0.6704,,-0.09%
2/27/23,0.6734,0.6738,0.6747,0.6697,,0.13%
2/24/23,0.6725,0.6809,0.6826,0.6718,,-1.20%
2/23/23,0.6807,0.6804,0.6842,0.678,,0.06%
2/22/23,0.6803,0.6856,0.6866,0.6794,,-0.72%
2/21/23,0.6852,0.6908,0.692,0.6847,,-0.77%
2/20/23,0.6905,0.6865,0.6921,0.6859,,0.38%
2/17/23,0.6879,0.6882,0.6885,0.6811,,0.04%
2/16/23,0.6876,0.6902,0.6938,0.684,,-0.39%
2/15/23,0.6903,0.6987,0.6991,0.6865,,-1.17%
2/14/23,0.6985,0.6967,0.703,0.6921,,0.29%
2/13/23,0.6965,0.6926,0.6975,0.689,,0.71%
2/10/23,0.6916,0.6934,0.6962,0.6909,,-0.27%
2/9/23,0.6935,0.6926,0.7013,0.692,,0.16%
2/8/23,0.6924,0.696,0.6997,0.6919,,-0.49%
2/7/23,0.6958,0.6884,0.6988,0.6881,,1.12%
2/6/23,0.6881,0.6928,0.695,0.6855,,-0.55%
2/3/23,0.6919,0.7076,0.7084,0.6919,,-2.22%
2/2/23,0.7076,0.7136,0.7158,0.7068,,-0.83%
2/1/23,0.7135,0.7057,0.7146,0.7035,,1.15%
1/31/23,0.7054,0.7059,0.7067,0.6984,,-0.07%
1/30/23,0.7059,0.71,0.7121,0.7051,,-0.62%
1/27/23,0.7103,0.7113,0.7131,0.7082,,-0.15%
1/26/23,0.7114,0.7104,0.7143,0.7078,,0.17%
1/25/23,0.7102,0.7046,0.7124,0.7031,,0.78%
1/24/23,0.7047,0.7029,0.7059,0.6993,,0.27%
1/23/23,0.7028,0.6962,0.7041,0.6954,,0.89%
1/20/23,0.6966,0.691,0.6974,0.6906,,0.83%
1/19/23,0.6909,0.6944,0.695,0.687,,-0.46%
1/18/23,0.6941,0.6989,0.7064,0.6935,,-0.66%
1/17/23,0.6987,0.6955,0.6999,0.693,,0.47%
1/16/23,0.6954,0.6977,0.702,0.694,,-0.32%
1/13/23,0.6976,0.6973,0.6995,0.6914,,0.06%
1/12/23,0.6972,0.6901,0.6986,0.6878,,1.06%
1/11/23,0.6899,0.6888,0.6927,0.6873,,0.17%
1/10/23,0.6887,0.6917,0.693,0.6859,,-0.35%
1/9/23,0.6911,0.6876,0.6951,0.6869,,0.52%
1/6/23,0.6875,0.6754,0.6888,0.6721,,1.87%
1/5/23,0.6749,0.6833,0.6847,0.6734,,-1.21%
1/4/23,0.6832,0.6734,0.6888,0.6716,,1.47%
1/3/23,0.6733,0.6802,0.6836,0.6687,,-1.01%
1/2/23,0.6802,0.6814,0.6827,0.6793,,-0.16%
12/30/22,0.6813,0.6773,0.6823,0.6754,,0.52%
12/29/22,0.6778,0.6737,0.6788,0.671,,0.62%
12/28/22,0.6736,0.673,0.6802,0.6719,,0.10%
12/27/22,0.6729,0.6726,0.6777,0.6722,,0.04%
12/26/22,0.6726,0.6697,0.6731,0.6685,,0.13%
12/23/22,0.6717,0.6665,0.6726,0.666,,0.77%
12/22/22,0.6666,0.6706,0.6769,0.665,,-0.60%
12/21/22,0.6706,0.6676,0.673,0.6655,,0.43%
12/20/22,0.6677,0.67,0.6744,0.6628,,-0.33%
12/19/22,0.6699,0.6714,0.6733,0.6682,,0.22%
12/16/22,0.6684,0.6702,0.6737,0.6675,,-0.25%
12/15/22,0.6701,0.6864,0.687,0.6676,,-2.36%
12/14/22,0.6863,0.6854,0.6883,0.6809,,0.15%
12/13/22,0.6853,0.6744,0.6895,0.6739,,1.60%
12/12/22,0.6745,0.6804,0.6806,0.6729,,-0.74%
12/9/22,0.6795,0.6767,0.6815,0.6744,,0.40%
12/8/22,0.6768,0.6724,0.6782,0.6698,,0.70%
12/7/22,0.6721,0.6693,0.6744,0.6668,,0.43%
12/6/22,0.6692,0.67,0.6745,0.668,,-0.06%
12/5/22,0.6696,0.6802,0.6852,0.6686,,-1.37%
12/2/22,0.6789,0.6811,0.6837,0.6743,,-0.29%
12/1/22,0.6809,0.6785,0.6845,0.678,,0.34%
11/30/22,0.6786,0.6688,0.6801,0.6669,,1.50%
11/29/22,0.6686,0.6649,0.675,0.664,,0.57%
11/28/22,0.6648,0.6734,0.6737,0.6641,,-1.50%
11/25/22,0.6749,0.6764,0.6782,0.672,,-0.21%
11/24/22,0.6763,0.6732,0.6779,0.6726,,0.48%
11/23/22,0.6731,0.6649,0.674,0.6633,,1.25%
11/22/22,0.6648,0.6602,0.6653,0.6599,,0.65%
11/21/22,0.6605,0.6676,0.6688,0.6585,,-0.99%
11/18/22,0.6671,0.6685,0.6732,0.6661,,-0.15%
11/17/22,0.6681,0.6736,0.6752,0.6633,,-0.88%
11/16/22,0.674,0.675,0.6794,0.6719,,-0.24%
11/15/22,0.6756,0.6702,0.6798,0.6685,,0.90%
11/14/22,0.6696,0.6702,0.6726,0.6662,,-0.09%
11/11/22,0.6702,0.6619,0.6718,0.6578,,1.28%
11/10/22,0.6617,0.6431,0.6633,0.6386,,2.91%
11/9/22,0.643,0.6504,0.6524,0.6414,,-1.12%
11/8/22,0.6503,0.6479,0.6553,0.6443,,0.39%
11/7/22,0.6478,0.6418,0.6492,0.6401,,0.19%
11/4/22,0.6466,0.6289,0.6484,0.6284,,2.85%
11/3/22,0.6287,0.6352,0.6373,0.6271,,-0.98%
11/2/22,0.6349,0.6395,0.6493,0.6347,,-0.72%
11/1/22,0.6395,0.6399,0.6465,0.6377,,-0.03%
10/31/22,0.6397,0.6408,0.6429,0.6367,,-0.22%
10/28/22,0.6411,0.6451,0.6481,0.6388,,-0.59%
10/27/22,0.6449,0.6498,0.6524,0.6425,,-0.74%
10/26/22,0.6497,0.6393,0.6513,0.6372,,1.61%
10/25/22,0.6394,0.6313,0.6413,0.6302,,1.33%
10/24/22,0.631,0.6378,0.6412,0.6271,,-1.05%
10/21/22,0.6377,0.6281,0.6394,0.621,,1.63%
10/20/22,0.6275,0.6271,0.6357,0.6227,,0.08%
10/19/22,0.627,0.631,0.6327,0.6251,,-0.62%
10/18/22,0.6309,0.629,0.6341,0.6266,,0.30%
10/17/22,0.629,0.6194,0.6313,0.6191,,1.52%
10/14/22,0.6196,0.6299,0.6348,0.6194,,-1.62%
10/13/22,0.6298,0.6277,0.6318,0.617,,0.35%
