,Open,High,Low,Close
2024-02-28 07:00:00,0.85520,0.85530,0.85508,0.85521
2024-02-28 06:00:00,0.85516,0.85540,0.85508,0.85518
2024-02-28 05:00:00,0.85520,0.85540,0.85515,0.85518
2024-02-28 04:00:00,0.85532,0.85533,0.85505,0.85519
2024-02-28 03:00:00,0.85510,0.85541,0.85495,0.85527
2024-02-28 02:00:00,0.85500,0.85530,0.85500,0.85505
2024-02-28 01:00:00,0.85493,0.85524,0.85486,0.85502
2024-02-28 00:00:00,0.85481,0.85503,0.85461,0.85496
2024-02-27 23:00:00,0.85483,0.85502,0.85436,0.85483
2024-02-27 22:00:00,0.85515,0.85520,0.85448,0.85481
2024-02-27 21:00:00,0.85518,0.85530,0.85502,0.85514
2024-02-27 20:00:00,0.85526,0.85532,0.85496,0.85520
2024-02-27 19:00:00,0.85532,0.85540,0.85502,0.85526
2024-02-27 18:00:00,0.85535,0.85555,0.85524,0.85533
2024-02-27 17:00:00,0.85522,0.85556,0.85493,0.85538
2024-02-27 16:00:00,0.85531,0.85575,0.85515,0.85524
2024-02-27 15:00:00,0.85539,0.85551,0.85497,0.85535
2024-02-27 14:00:00,0.85619,0.85631,0.85532,0.85537
2024-02-27 13:00:00,0.85575,0.85670,0.85537,0.85616
2024-02-27 12:00:00,0.85559,0.85590,0.85538,0.85576
2024-02-27 11:00:00,0.85529,0.85580,0.85513,0.85558
2024-02-27 10:00:00,0.85559,0.85590,0.85523,0.85528
2024-02-27 09:00:00,0.85541,0.85593,0.85537,0.85558
2024-02-27 08:00:00,0.85556,0.85584,0.85537,0.85540
2024-02-27 07:00:00,0.85576,0.85583,0.85528,0.85555
2024-02-27 06:00:00,0.85558,0.85581,0.85544,0.85577
2024-02-27 05:00:00,0.85587,0.85591,0.85554,0.85559
2024-02-27 04:00:00,0.85594,0.85602,0.85576,0.85590
2024-02-27 03:00:00,0.85571,0.85600,0.85555,0.85593
2024-02-27 02:00:00,0.85552,0.85574,0.85543,0.85569
2024-02-27 01:00:00,0.85542,0.85566,0.85527,0.85551
2024-02-27 00:00:00,0.85525,0.85560,0.85500,0.85540
2024-02-26 23:00:00,0.85527,0.85544,0.85468,0.85525
2024-02-26 22:00:00,0.85538,0.85557,0.85500,0.85539
2024-02-26 21:00:00,0.85551,0.85560,0.85525,0.85540
2024-02-26 20:00:00,0.85562,0.85570,0.85544,0.85550
2024-02-26 19:00:00,0.85552,0.85562,0.85530,0.85562
2024-02-26 18:00:00,0.85591,0.85611,0.85544,0.85550
2024-02-26 17:00:00,0.85548,0.85604,0.85543,0.85593
2024-02-26 16:00:00,0.85530,0.85570,0.85501,0.85548
2024-02-26 15:00:00,0.85512,0.85542,0.85493,0.85533
2024-02-26 14:00:00,0.85533,0.85535,0.85467,0.85512
2024-02-26 13:00:00,0.85482,0.85560,0.85463,0.85533
2024-02-26 12:00:00,0.85555,0.85580,0.85459,0.85484
2024-02-26 11:00:00,0.85489,0.85563,0.85461,0.85556
2024-02-26 10:00:00,0.85484,0.85534,0.85450,0.85492
2024-02-26 09:00:00,0.85448,0.85507,0.85427,0.85485
2024-02-26 08:00:00,0.85453,0.85507,0.85439,0.85448
2024-02-26 07:00:00,0.85442,0.85472,0.85440,0.85453
2024-02-26 06:00:00,0.85431,0.85446,0.85413,0.85440
2024-02-26 05:00:00,0.85460,0.85469,0.85414,0.85431
2024-02-26 04:00:00,0.85446,0.85464,0.85443,0.85461
2024-02-26 03:00:00,0.85418,0.85450,0.85405,0.85448
2024-02-26 02:00:00,0.85417,0.85425,0.85395,0.85421
2024-02-26 01:00:00,0.85383,0.85424,0.85365,0.85420
2024-02-26 00:00:00,0.85357,0.85400,0.85347,0.85384
2024-02-25 23:00:00,0.85429,0.85450,0.85294,0.85349
2024-02-23 21:00:00,0.85387,0.85417,0.85384,0.85414
