,Open,High,Low,Close
2024-02-16,1.07739,1.07874,1.07318,1.07758
2024-02-15,1.07243,1.07848,1.07224,1.07720
2024-02-14,1.07087,1.07344,1.06945,1.07264
2024-02-13,1.07708,1.07985,1.07003,1.07079
2024-02-12,1.07778,1.08055,1.07556,1.07713
2024-02-09,1.07767,1.07951,1.07619,1.07821
2024-02-08,1.07704,1.07889,1.07414,1.07775
2024-02-07,1.07540,1.07840,1.07487,1.07717
2024-02-06,1.07418,1.07623,1.07224,1.07545
2024-02-05,1.07850,1.07861,1.07229,1.07419
2024-02-02,1.08714,1.08974,1.07802,1.07849
2024-02-01,1.08180,1.08750,1.07797,1.08713
2024-01-31,1.08446,1.08874,1.07947,1.08180
2024-01-30,1.08320,1.08573,1.08117,1.08447
2024-01-29,1.08430,1.08501,1.07956,1.08328
2024-01-26,1.08449,1.08854,1.08125,1.08512
2024-01-25,1.08843,1.09018,1.08214,1.08454
2024-01-24,1.08540,1.09323,1.08462,1.08843
2024-01-23,1.08820,1.09162,1.08214,1.08541
2024-01-22,1.08901,1.09095,1.08797,1.08824
2024-01-19,1.08757,1.08983,1.08654,1.08960
2024-01-18,1.08811,1.09068,1.08464,1.08762
2024-01-17,1.08740,1.08845,1.08443,1.08827
2024-01-16,1.09482,1.09510,1.08620,1.08751
2024-01-15,1.09530,1.09676,1.09330,1.09483
2024-01-12,1.09715,1.09870,1.09356,1.09483
2024-01-11,1.09722,1.09999,1.09300,1.09723
2024-01-10,1.09294,1.09731,1.09226,1.09724
2024-01-09,1.09501,1.09663,1.09101,1.09310
2024-01-08,1.09446,1.09788,1.09224,1.09495
2024-01-05,1.09440,1.09984,1.08767,1.09392
2024-01-04,1.09209,1.09722,1.09142,1.09447
2024-01-03,1.09414,1.09654,1.08928,1.09215
2024-01-02,1.10438,1.10454,1.09380,1.09416
2024-01-01,1.10400,1.10460,1.10340,1.10440
2023-12-29,1.10594,1.10842,1.10338,1.10374
2023-12-28,1.11044,1.11395,1.10549,1.10593
2023-12-27,1.10417,1.11226,1.10284,1.11044
2023-12-26,1.10110,1.10450,1.10073,1.10417
2023-12-25,1.10160,1.10202,1.09913,1.10080
2023-12-22,1.10109,1.10401,1.09935,1.10110
2023-12-21,1.09413,1.10126,1.09347,1.10109
2023-12-20,1.09787,1.09843,1.09296,1.09413
2023-12-19,1.09228,1.09873,1.09145,1.09805
2023-12-18,1.08970,1.09312,1.08914,1.09235
2023-12-15,1.09912,1.10038,1.08885,1.08922
2023-12-14,1.08728,1.10092,1.08700,1.09921
2023-12-13,1.07937,1.08966,1.07729,1.08742
2023-12-12,1.07631,1.08281,1.07570,1.07943
2023-12-11,1.07590,1.07790,1.07414,1.07640
2023-12-08,1.07918,1.08007,1.07230,1.07608
2023-12-07,1.07621,1.08175,1.07548,1.07936
2023-12-06,1.07965,1.08047,1.07583,1.07643
2023-12-05,1.08360,1.08474,1.07778,1.07965
2023-12-04,1.08765,1.08950,1.08039,1.08359
2023-12-01,1.08860,1.09127,1.08287,1.08818
2023-11-30,1.09675,1.09840,1.08790,1.08861
2023-11-29,1.09908,1.10171,1.09600,1.09692
2023-11-28,1.09518,1.10090,1.09342,1.09927
2023-11-27,1.09426,1.09594,1.09247,1.09531
2023-11-24,1.09031,1.09486,1.08947,1.09367
2023-11-23,1.08864,1.09304,1.08815,1.09035
2023-11-22,1.09100,1.09230,1.08522,1.08883
2023-11-21,1.09386,1.09651,1.08998,1.09110
2023-11-20,1.09095,1.09518,1.08970,1.09394
2023-11-17,1.08501,1.09148,1.08246,1.09138
2023-11-16,1.08453,1.08955,1.08299,1.08517
2023-11-15,1.08788,1.08861,1.08313,1.08468
2023-11-14,1.06975,1.08875,1.06927,1.08787
2023-11-13,1.06826,1.07061,1.06647,1.06987
2023-11-10,1.06671,1.06930,1.06559,1.06848
2023-11-09,1.07076,1.07254,1.06598,1.06671
2023-11-08,1.06993,1.07160,1.06590,1.07090
2023-11-07,1.07168,1.07221,1.06640,1.06998
2023-11-06,1.07243,1.07563,1.07158,1.07173
2023-11-03,1.06203,1.07467,1.06144,1.07300
2023-11-02,1.05670,1.06676,1.05670,1.06211
2023-11-01,1.05740,1.05806,1.05165,1.05670
2023-10-31,1.06145,1.06749,1.05571,1.05744
2023-10-30,1.05653,1.06251,1.05468,1.06147
2023-10-27,1.05596,1.05970,1.05350,1.05605
2023-10-26,1.05668,1.05691,1.05218,1.05603
2023-10-25,1.05911,1.06067,1.05634,1.05674
2023-10-24,1.06675,1.06943,1.05828,1.05900
2023-10-23,1.05928,1.06779,1.05711,1.06674
2023-10-20,1.05816,1.06036,1.05648,1.05930
2023-10-19,1.05354,1.06166,1.05278,1.05807
2023-10-18,1.05742,1.05941,1.05228,1.05358
2023-10-17,1.05589,1.05948,1.05326,1.05742
2023-10-16,1.05209,1.05628,1.05132,1.05585
2023-10-13,1.05300,1.05584,1.04952,1.05043
2023-10-12,1.06191,1.06397,1.05240,1.05297
2023-10-11,1.06046,1.06348,1.05799,1.06200
2023-10-10,1.05654,1.06198,1.05542,1.06050
2023-10-09,1.05545,1.05744,1.05192,1.05650
2023-10-06,1.05483,1.06000,1.04823,1.05857
2023-10-05,1.05062,1.05520,1.04998,1.05483
2023-10-04,1.04646,1.05321,1.04510,1.05060
2023-10-03,1.04786,1.04934,1.04480,1.04642
2023-10-02,1.05676,1.05919,1.04749,1.04790
