,Open,High,Low,Close
2024-02-16 21:00:00,1.07770,1.07775,1.07727,1.07762
2024-02-16 20:00:00,1.07851,1.07874,1.07752,1.07769
2024-02-16 19:00:00,1.07777,1.07860,1.07736,1.07848
2024-02-16 18:00:00,1.07682,1.07780,1.07624,1.07774
2024-02-16 17:00:00,1.07707,1.07753,1.07654,1.07681
2024-02-16 16:00:00,1.07502,1.07770,1.07482,1.07707
2024-02-16 15:00:00,1.07460,1.07571,1.07408,1.07519
2024-02-16 14:00:00,1.07679,1.07712,1.07318,1.07461
2024-02-16 13:00:00,1.07770,1.07780,1.07673,1.07680
2024-02-16 12:00:00,1.07679,1.07800,1.07666,1.07775
2024-02-16 11:00:00,1.07660,1.07708,1.07625,1.07681
2024-02-16 10:00:00,1.07696,1.07717,1.07638,1.07657
2024-02-16 09:00:00,1.07606,1.07714,1.07593,1.07697
2024-02-16 08:00:00,1.07625,1.07679,1.07600,1.07607
2024-02-16 07:00:00,1.07601,1.07627,1.07580,1.07626
2024-02-16 06:00:00,1.07592,1.07620,1.07580,1.07602
2024-02-16 05:00:00,1.07599,1.07612,1.07570,1.07590
2024-02-16 04:00:00,1.07602,1.07632,1.07588,1.07598
2024-02-16 03:00:00,1.07647,1.07650,1.07597,1.07604
2024-02-16 02:00:00,1.07646,1.07662,1.07610,1.07649
2024-02-16 01:00:00,1.07723,1.07740,1.07610,1.07647
2024-02-16 00:00:00,1.07727,1.07770,1.07693,1.07724
2024-02-15 23:00:00,1.07718,1.07727,1.07661,1.07721
2024-02-15 22:00:00,1.07715,1.07740,1.07700,1.07720
2024-02-15 21:00:00,1.07685,1.07719,1.07678,1.07712
2024-02-15 20:00:00,1.07669,1.07724,1.07663,1.07688
2024-02-15 19:00:00,1.07623,1.07676,1.07602,1.07669
2024-02-15 18:00:00,1.07597,1.07629,1.07563,1.07621
2024-02-15 17:00:00,1.07611,1.07631,1.07550,1.07596
2024-02-15 16:00:00,1.07762,1.07848,1.07584,1.07611
2024-02-15 15:00:00,1.07661,1.07829,1.07588,1.07760
2024-02-15 14:00:00,1.07447,1.07728,1.07425,1.07662
2024-02-15 13:00:00,1.07352,1.07487,1.07351,1.07449
2024-02-15 12:00:00,1.07346,1.07400,1.07336,1.07355
2024-02-15 11:00:00,1.07334,1.07370,1.07305,1.07345
2024-02-15 10:00:00,1.07308,1.07370,1.07278,1.07329
2024-02-15 09:00:00,1.07329,1.07376,1.07293,1.07310
2024-02-15 08:00:00,1.07310,1.07415,1.07275,1.07325
2024-02-15 07:00:00,1.07290,1.07340,1.07269,1.07307
2024-02-15 06:00:00,1.07260,1.07321,1.07257,1.07290
2024-02-15 05:00:00,1.07256,1.07270,1.07244,1.07257
2024-02-15 04:00:00,1.07291,1.07306,1.07249,1.07257
2024-02-15 03:00:00,1.07281,1.07315,1.07255,1.07290
2024-02-15 02:00:00,1.07342,1.07351,1.07260,1.07282
2024-02-15 01:00:00,1.07316,1.07355,1.07288,1.07340
2024-02-15 00:00:00,1.07259,1.07324,1.07246,1.07320
2024-02-14 23:00:00,1.07243,1.07292,1.07224,1.07264
2024-02-14 22:00:00,1.07271,1.07285,1.07249,1.07264
2024-02-14 21:00:00,1.07279,1.07290,1.07257,1.07276
2024-02-14 20:00:00,1.07268,1.07295,1.07251,1.07278
2024-02-14 19:00:00,1.07305,1.07338,1.07256,1.07269
2024-02-14 18:00:00,1.07339,1.07339,1.07275,1.07304
2024-02-14 17:00:00,1.07211,1.07344,1.07190,1.07335
2024-02-14 16:00:00,1.07160,1.07252,1.07130,1.07212
2024-02-14 15:00:00,1.07084,1.07230,1.07064,1.07158
2024-02-14 14:00:00,1.07058,1.07167,1.07056,1.07087
2024-02-14 13:00:00,1.07075,1.07103,1.07009,1.07057
2024-02-14 12:00:00,1.07035,1.07105,1.06969,1.07078
2024-02-14 11:00:00,1.06999,1.07044,1.06962,1.07034
2024-02-14 10:00:00,1.07020,1.07058,1.06960,1.07000
2024-02-14 09:00:00,1.07076,1.07082,1.06945,1.07022
2024-02-14 08:00:00,1.07163,1.07175,1.07048,1.07076
2024-02-14 07:00:00,1.07139,1.07187,1.07137,1.07162
2024-02-14 06:00:00,1.07142,1.07150,1.07113,1.07140
2024-02-14 05:00:00,1.07122,1.07145,1.07090,1.07142
2024-02-14 04:00:00,1.07094,1.07140,1.07079,1.07123
2024-02-14 03:00:00,1.07114,1.07140,1.07084,1.07094
2024-02-14 02:00:00,1.07077,1.07121,1.07030,1.07115
2024-02-14 01:00:00,1.07080,1.07144,1.07058,1.07076
2024-02-14 00:00:00,1.07100,1.07110,1.07067,1.07081
2024-02-13 23:00:00,1.07087,1.07130,1.07061,1.07093
2024-02-13 22:00:00,1.07073,1.07102,1.07067,1.07079
2024-02-13 21:00:00,1.07010,1.07101,1.07004,1.07070
2024-02-13 20:00:00,1.07078,1.07082,1.07003,1.07013
2024-02-13 19:00:00,1.07154,1.07202,1.07074,1.07081
2024-02-13 18:00:00,1.07192,1.07202,1.07120,1.07153
2024-02-13 17:00:00,1.07167,1.07221,1.07125,1.07192
2024-02-13 16:00:00,1.07177,1.07269,1.07057,1.07168
2024-02-13 15:00:00,1.07086,1.07240,1.07005,1.07176
2024-02-13 14:00:00,1.07854,1.07985,1.07028,1.07084
2024-02-13 13:00:00,1.07780,1.07865,1.07759,1.07856
2024-02-13 12:00:00,1.07719,1.07820,1.07718,1.07782
2024-02-13 11:00:00,1.07667,1.07762,1.07659,1.07720
2024-02-13 10:00:00,1.07677,1.07695,1.07566,1.07662
2024-02-13 09:00:00,1.07712,1.07746,1.07620,1.07675
2024-02-13 08:00:00,1.07703,1.07777,1.07656,1.07709
2024-02-13 07:00:00,1.07666,1.07726,1.07658,1.07705
2024-02-13 06:00:00,1.07634,1.07680,1.07633,1.07668
2024-02-13 05:00:00,1.07615,1.07643,1.07610,1.07635
2024-02-13 04:00:00,1.07642,1.07647,1.07604,1.07616
2024-02-13 03:00:00,1.07664,1.07668,1.07620,1.07642
2024-02-13 02:00:00,1.07726,1.07745,1.07655,1.07666
2024-02-13 01:00:00,1.07716,1.07730,1.07667,1.07724
2024-02-13 00:00:00,1.07721,1.07727,1.07698,1.07715
2024-02-12 23:00:00,1.07708,1.07751,1.07684,1.07724
2024-02-12 22:00:00,1.07743,1.07752,1.07696,1.07713
2024-02-12 21:00:00,1.07694,1.07750,1.07690,1.07743
2024-02-12 20:00:00,1.07814,1.07830,1.07677,1.07691
2024-02-12 19:00:00,1.07821,1.07861,1.07800,1.07811
2024-02-12 18:00:00,1.07729,1.07824,1.07725,1.07820
