,Open,High,Low,Close
2024-02-28 03:00:00,1.08394,1.08401,1.08367,1.08385
2024-02-28 02:00:00,1.08444,1.08450,1.08375,1.08395
2024-02-28 01:00:00,1.08411,1.08460,1.08402,1.08447
2024-02-28 00:00:00,1.08434,1.08452,1.08408,1.08409
2024-02-27 23:00:00,1.08437,1.08474,1.08411,1.08434
2024-02-27 22:00:00,1.08443,1.08462,1.08429,1.08437
2024-02-27 21:00:00,1.08441,1.08477,1.08416,1.08441
2024-02-27 20:00:00,1.08496,1.08496,1.08405,1.08439
2024-02-27 19:00:00,1.08505,1.08568,1.08486,1.08495
2024-02-27 18:00:00,1.08561,1.08566,1.08486,1.08508
2024-02-27 17:00:00,1.08467,1.08579,1.08445,1.08561
2024-02-27 16:00:00,1.08398,1.08513,1.08328,1.08470
2024-02-27 15:00:00,1.08483,1.08510,1.08355,1.08400
2024-02-27 14:00:00,1.08571,1.08578,1.08446,1.08480
2024-02-27 13:00:00,1.08572,1.08631,1.08555,1.08568
2024-02-27 12:00:00,1.08516,1.08590,1.08477,1.08576
2024-02-27 11:00:00,1.08527,1.08532,1.08416,1.08514
2024-02-27 10:00:00,1.08576,1.08594,1.08516,1.08528
2024-02-27 09:00:00,1.08556,1.08660,1.08527,1.08573
2024-02-27 08:00:00,1.08498,1.08626,1.08495,1.08561
2024-02-27 07:00:00,1.08520,1.08528,1.08469,1.08500
2024-02-27 06:00:00,1.08532,1.08541,1.08484,1.08517
2024-02-27 05:00:00,1.08526,1.08553,1.08520,1.08530
2024-02-27 04:00:00,1.08512,1.08530,1.08483,1.08526
2024-02-27 03:00:00,1.08496,1.08534,1.08479,1.08512
2024-02-27 02:00:00,1.08470,1.08510,1.08452,1.08500
2024-02-27 01:00:00,1.08500,1.08508,1.08464,1.08472
2024-02-27 00:00:00,1.08488,1.08513,1.08480,1.08503
2024-02-26 23:00:00,1.08504,1.08505,1.08447,1.08497
2024-02-26 22:00:00,1.08507,1.08516,1.08486,1.08509
2024-02-26 21:00:00,1.08460,1.08528,1.08459,1.08507
2024-02-26 20:00:00,1.08444,1.08475,1.08437,1.08463
2024-02-26 19:00:00,1.08451,1.08460,1.08394,1.08444
2024-02-26 18:00:00,1.08540,1.08550,1.08435,1.08450
2024-02-26 17:00:00,1.08509,1.08555,1.08468,1.08540
2024-02-26 16:00:00,1.08459,1.08544,1.08384,1.08509
2024-02-26 15:00:00,1.08579,1.08587,1.08438,1.08459
2024-02-26 14:00:00,1.08495,1.08590,1.08482,1.08579
2024-02-26 13:00:00,1.08518,1.08597,1.08487,1.08493
2024-02-26 12:00:00,1.08477,1.08540,1.08448,1.08516
2024-02-26 11:00:00,1.08397,1.08490,1.08382,1.08476
2024-02-26 10:00:00,1.08321,1.08403,1.08302,1.08397
2024-02-26 09:00:00,1.08320,1.08356,1.08268,1.08320
2024-02-26 08:00:00,1.08240,1.08368,1.08227,1.08318
2024-02-26 07:00:00,1.08231,1.08256,1.08218,1.08240
2024-02-26 06:00:00,1.08208,1.08241,1.08185,1.08231
2024-02-26 05:00:00,1.08183,1.08227,1.08170,1.08209
2024-02-26 04:00:00,1.08168,1.08194,1.08158,1.08185
2024-02-26 03:00:00,1.08161,1.08177,1.08140,1.08168
2024-02-26 02:00:00,1.08163,1.08195,1.08124,1.08164
2024-02-26 01:00:00,1.08187,1.08202,1.08156,1.08166
2024-02-26 00:00:00,1.08223,1.08230,1.08184,1.08188
2024-02-25 23:00:00,1.08319,1.08322,1.08159,1.08219
