,Open,High,Low,Close
2024-04-10 17:00:00,1.07365,1.07375,1.07287,1.07291
2024-04-10 16:00:00,1.07532,1.07548,1.07331,1.07366
2024-04-10 15:00:00,1.07518,1.07673,1.07454,1.07531
2024-04-10 14:00:00,1.07808,1.07812,1.07492,1.07510
2024-04-10 13:00:00,1.08556,1.08647,1.07780,1.07807
2024-04-10 12:00:00,1.08641,1.08665,1.08545,1.08554
2024-04-10 11:00:00,1.08616,1.08660,1.08600,1.08645
2024-04-10 10:00:00,1.08604,1.08655,1.08565,1.08613
2024-04-10 09:00:00,1.08549,1.08606,1.08510,1.08601
2024-04-10 08:00:00,1.08532,1.08572,1.08506,1.08554
2024-04-10 07:00:00,1.08518,1.08550,1.08476,1.08531
2024-04-10 06:00:00,1.08525,1.08557,1.08510,1.08517
2024-04-10 05:00:00,1.08530,1.08535,1.08500,1.08525
2024-04-10 04:00:00,1.08534,1.08544,1.08518,1.08529
2024-04-10 03:00:00,1.08541,1.08555,1.08506,1.08532
2024-04-10 02:00:00,1.08569,1.08590,1.08511,1.08542
2024-04-10 01:00:00,1.08586,1.08590,1.08548,1.08571
2024-04-10 00:00:00,1.08584,1.08600,1.08573,1.08586
2024-04-09 23:00:00,1.08569,1.08590,1.08562,1.08583
2024-04-09 22:00:00,1.08548,1.08593,1.08523,1.08575
2024-04-09 21:00:00,1.08562,1.08591,1.08553,1.08561
2024-04-09 20:00:00,1.08530,1.08573,1.08475,1.08563
2024-04-09 19:00:00,1.08511,1.08550,1.08497,1.08530
2024-04-09 18:00:00,1.08545,1.08554,1.08508,1.08515
2024-04-09 17:00:00,1.08555,1.08601,1.08534,1.08543
2024-04-09 16:00:00,1.08573,1.08590,1.08520,1.08554
2024-04-09 15:00:00,1.08787,1.08822,1.08528,1.08573
2024-04-09 14:00:00,1.08804,1.08851,1.08759,1.08784
2024-04-09 13:00:00,1.08610,1.08839,1.08600,1.08806
2024-04-09 12:00:00,1.08690,1.08730,1.08590,1.08612
2024-04-09 11:00:00,1.08648,1.08707,1.08648,1.08688
2024-04-09 10:00:00,1.08571,1.08660,1.08560,1.08650
2024-04-09 09:00:00,1.08532,1.08587,1.08489,1.08572
2024-04-09 08:00:00,1.08521,1.08601,1.08512,1.08532
2024-04-09 07:00:00,1.08578,1.08630,1.08509,1.08521
2024-04-09 06:00:00,1.08563,1.08586,1.08558,1.08577
2024-04-09 05:00:00,1.08552,1.08584,1.08550,1.08562
2024-04-09 04:00:00,1.08565,1.08574,1.08537,1.08552
2024-04-09 03:00:00,1.08593,1.08623,1.08555,1.08569
2024-04-09 02:00:00,1.08586,1.08620,1.08565,1.08593
2024-04-09 01:00:00,1.08617,1.08635,1.08573,1.08587
2024-04-09 00:00:00,1.08600,1.08634,1.08600,1.08618
2024-04-08 23:00:00,1.08589,1.08610,1.08585,1.08600
2024-04-08 22:00:00,1.08574,1.08630,1.08521,1.08590
2024-04-08 21:00:00,1.08567,1.08600,1.08558,1.08583
2024-04-08 20:00:00,1.08573,1.08590,1.08556,1.08567
2024-04-08 19:00:00,1.08575,1.08621,1.08554,1.08574
2024-04-08 18:00:00,1.08498,1.08594,1.08492,1.08576
2024-04-08 17:00:00,1.08526,1.08530,1.08463,1.08499
2024-04-08 16:00:00,1.08533,1.08590,1.08490,1.08523
2024-04-08 15:00:00,1.08517,1.08564,1.08432,1.08534
2024-04-08 14:00:00,1.08342,1.08535,1.08340,1.08516
2024-04-08 13:00:00,1.08237,1.08355,1.08213,1.08342
2024-04-08 12:00:00,1.08323,1.08332,1.08231,1.08235
2024-04-08 11:00:00,1.08278,1.08341,1.08256,1.08323
2024-04-08 10:00:00,1.08233,1.08299,1.08206,1.08277
2024-04-08 09:00:00,1.08322,1.08353,1.08220,1.08235
2024-04-08 08:00:00,1.08339,1.08380,1.08282,1.08322
2024-04-08 07:00:00,1.08345,1.08376,1.08294,1.08337
2024-04-08 06:00:00,1.08321,1.08373,1.08319,1.08345
2024-04-08 05:00:00,1.08333,1.08354,1.08309,1.08320
2024-04-08 04:00:00,1.08404,1.08417,1.08319,1.08333
2024-04-08 03:00:00,1.08354,1.08432,1.08346,1.08405
2024-04-08 02:00:00,1.08269,1.08363,1.08265,1.08352
2024-04-08 01:00:00,1.08297,1.08299,1.08227,1.08270
2024-04-08 00:00:00,1.08278,1.08330,1.08274,1.08295
2024-04-07 23:00:00,1.08371,1.08381,1.08268,1.08278
2024-04-05 21:00:00,1.08354,1.08377,1.08334,1.08352
2024-04-05 20:00:00,1.08348,1.08370,1.08315,1.08355
2024-04-05 19:00:00,1.08326,1.08380,1.08305,1.08349
2024-04-05 18:00:00,1.08357,1.08390,1.08310,1.08328
2024-04-05 17:00:00,1.08400,1.08445,1.08328,1.08355
2024-04-05 16:00:00,1.08189,1.08434,1.08158,1.08402
2024-04-05 15:00:00,1.08008,1.08264,1.07968,1.08186
2024-04-05 14:00:00,1.08093,1.08138,1.07912,1.08011
2024-04-05 13:00:00,1.08347,1.08480,1.08000,1.08094
2024-04-05 12:00:00,1.08345,1.08417,1.08304,1.08349
2024-04-05 11:00:00,1.08384,1.08392,1.08324,1.08347
2024-04-05 10:00:00,1.08375,1.08422,1.08346,1.08385
2024-04-05 09:00:00,1.08386,1.08463,1.08359,1.08373
2024-04-05 08:00:00,1.08304,1.08410,1.08298,1.08390
2024-04-05 07:00:00,1.08268,1.08331,1.08223,1.08305
2024-04-05 06:00:00,1.08261,1.08280,1.08249,1.08273
2024-04-05 05:00:00,1.08266,1.08280,1.08246,1.08263
2024-04-05 04:00:00,1.08253,1.08280,1.08245,1.08266
2024-04-05 03:00:00,1.08265,1.08283,1.08230,1.08251
2024-04-05 02:00:00,1.08416,1.08431,1.08247,1.08266
2024-04-05 01:00:00,1.08364,1.08439,1.08346,1.08413
2024-04-05 00:00:00,1.08365,1.08401,1.08357,1.08364
2024-04-04 23:00:00,1.08381,1.08401,1.08354,1.08362
2024-04-04 22:00:00,1.08367,1.08413,1.08324,1.08382
2024-04-04 21:00:00,1.08336,1.08387,1.08314,1.08363
2024-04-04 20:00:00,1.08498,1.08508,1.08329,1.08336
2024-04-04 19:00:00,1.08598,1.08600,1.08460,1.08501
2024-04-04 18:00:00,1.08588,1.08620,1.08579,1.08599
2024-04-04 17:00:00,1.08647,1.08670,1.08579,1.08588
2024-04-04 16:00:00,1.08675,1.08689,1.08620,1.08650
2024-04-04 15:00:00,1.08695,1.08765,1.08664,1.08674
2024-04-04 14:00:00,1.08697,1.08766,1.08640,1.08701
2024-04-04 13:00:00,1.08530,1.08705,1.08505,1.08697
2024-04-04 12:00:00,1.08600,1.08623,1.08517,1.08527
2024-04-04 11:00:00,1.08590,1.08616,1.08555,1.08597
2024-04-04 10:00:00,1.08617,1.08655,1.08551,1.08584
2024-04-04 09:00:00,1.08570,1.08626,1.08505,1.08617
2024-04-04 08:00:00,1.08399,1.08583,1.08388,1.08569
2024-04-04 07:00:00,1.08418,1.08463,1.08387,1.08397
2024-04-04 06:00:00,1.08423,1.08465,1.08409,1.08419
2024-04-04 05:00:00,1.08425,1.08450,1.08423,1.08426
2024-04-04 04:00:00,1.08428,1.08434,1.08396,1.08425
2024-04-04 03:00:00,1.08405,1.08444,1.08379,1.08428
2024-04-04 02:00:00,1.08430,1.08440,1.08396,1.08405
2024-04-04 01:00:00,1.08376,1.08434,1.08344,1.08430
2024-04-04 00:00:00,1.08374,1.08407,1.08360,1.08378
2024-04-03 23:00:00,1.08331,1.08382,1.08325,1.08376
2024-04-03 22:00:00,1.08341,1.08356,1.08311,1.08334
2024-04-03 21:00:00,1.08335,1.08367,1.08320,1.08355
2024-04-03 20:00:00,1.08348,1.08350,1.08289,1.08332
2024-04-03 19:00:00,1.08318,1.08370,1.08312,1.08348
2024-04-03 18:00:00,1.08307,1.08342,1.08253,1.08319
2024-04-03 17:00:00,1.08265,1.08362,1.08202,1.08303
2024-04-03 16:00:00,1.08229,1.08305,1.08189,1.08264
2024-04-03 15:00:00,1.07890,1.08242,1.07890,1.08229
2024-04-03 14:00:00,1.07778,1.07927,1.07776,1.07889
2024-04-03 13:00:00,1.07835,1.07864,1.07728,1.07779
2024-04-03 12:00:00,1.07756,1.07850,1.07752,1.07841
2024-04-03 11:00:00,1.07678,1.07767,1.07660,1.07753
2024-04-03 10:00:00,1.07713,1.07750,1.07648,1.07679
