,Open,High,Low,Close
2024-02-19 21:00:00,1.25973,1.25979,1.25955,1.25960
2024-02-19 20:00:00,1.25963,1.25996,1.25958,1.25974
2024-02-19 19:00:00,1.25912,1.25996,1.25893,1.25960
2024-02-19 18:00:00,1.25839,1.25937,1.25829,1.25907
2024-02-19 17:00:00,1.25872,1.25893,1.25829,1.25842
2024-02-19 16:00:00,1.25943,1.25984,1.25838,1.25869
2024-02-19 15:00:00,1.25993,1.26004,1.25908,1.25941
2024-02-19 14:00:00,1.26070,1.26132,1.25976,1.25991
2024-02-19 13:00:00,1.26110,1.26156,1.26058,1.26067
2024-02-19 12:00:00,1.26164,1.26218,1.26105,1.26111
2024-02-19 11:00:00,1.26142,1.26190,1.26079,1.26165
2024-02-19 10:00:00,1.26159,1.26231,1.26067,1.26143
2024-02-19 09:00:00,1.26200,1.26279,1.26137,1.26160
2024-02-19 08:00:00,1.26236,1.26295,1.26185,1.26200
2024-02-19 07:00:00,1.26188,1.26244,1.26144,1.26238
2024-02-19 06:00:00,1.26153,1.26212,1.26153,1.26184
2024-02-19 05:00:00,1.26124,1.26160,1.26110,1.26158
2024-02-19 04:00:00,1.26153,1.26184,1.26115,1.26124
2024-02-19 03:00:00,1.26138,1.26163,1.26115,1.26154
2024-02-19 02:00:00,1.26212,1.26271,1.26113,1.26139
2024-02-19 01:00:00,1.26104,1.26223,1.26099,1.26212
2024-02-19 00:00:00,1.26012,1.26110,1.25988,1.26101
2024-02-18 23:00:00,1.25990,1.26051,1.25950,1.25994
2024-02-16 21:00:00,1.26059,1.26064,1.25979,1.26001
2024-02-16 20:00:00,1.26189,1.26245,1.26034,1.26058
2024-02-16 19:00:00,1.26071,1.26228,1.25987,1.26187
2024-02-16 18:00:00,1.25870,1.26084,1.25826,1.26076
2024-02-16 17:00:00,1.25840,1.25944,1.25832,1.25874
2024-02-16 16:00:00,1.25622,1.25853,1.25591,1.25838
2024-02-16 15:00:00,1.25665,1.25725,1.25529,1.25623
2024-02-16 14:00:00,1.25822,1.25864,1.25503,1.25665
2024-02-16 13:00:00,1.25988,1.26004,1.25817,1.25825
2024-02-16 12:00:00,1.25887,1.26010,1.25870,1.25992
2024-02-16 11:00:00,1.25853,1.25910,1.25824,1.25886
2024-02-16 10:00:00,1.25764,1.25888,1.25742,1.25853
2024-02-16 09:00:00,1.25899,1.25917,1.25746,1.25761
2024-02-16 08:00:00,1.25826,1.26061,1.25812,1.25897
2024-02-16 07:00:00,1.25823,1.25842,1.25787,1.25831
2024-02-16 06:00:00,1.25815,1.25857,1.25795,1.25822
2024-02-16 05:00:00,1.25809,1.25841,1.25767,1.25818
2024-02-16 04:00:00,1.25837,1.25863,1.25785,1.25811
2024-02-16 03:00:00,1.25878,1.25885,1.25829,1.25842
2024-02-16 02:00:00,1.25844,1.25893,1.25794,1.25881
2024-02-16 01:00:00,1.25979,1.26001,1.25805,1.25842
2024-02-16 00:00:00,1.26011,1.26050,1.25963,1.25981
