,Open,High,Low,Close
2024-02-28 07:00:00,7.82670,7.82705,7.82558,7.82620
2024-02-28 06:00:00,7.82592,7.82720,7.82565,7.82643
2024-02-28 05:00:00,7.82534,7.82630,7.82521,7.82610
2024-02-28 04:00:00,7.82611,7.82630,7.82494,7.82534
2024-02-28 03:00:00,7.82600,7.82650,7.82544,7.82604
2024-02-28 02:00:00,7.82547,7.82652,7.82486,7.82611
2024-02-28 01:00:00,7.82424,7.82561,7.82382,7.82530
2024-02-28 00:00:00,7.82384,7.82500,7.82317,7.82408
2024-02-27 23:00:00,7.82393,7.82430,7.82380,7.82420
2024-02-27 22:00:00,7.82426,7.82490,7.82329,7.82401
2024-02-27 21:00:00,7.82469,7.82480,7.82404,7.82416
2024-02-27 20:00:00,7.82392,7.82500,7.82376,7.82429
2024-02-27 19:00:00,7.82461,7.82510,7.82372,7.82429
2024-02-27 18:00:00,7.82446,7.82512,7.82415,7.82500
2024-02-27 17:00:00,7.82444,7.82500,7.82373,7.82488
2024-02-27 16:00:00,7.82455,7.82490,7.82392,7.82460
2024-02-27 15:00:00,7.82451,7.82480,7.82374,7.82440
2024-02-27 14:00:00,7.82414,7.82510,7.82374,7.82444
2024-02-27 13:00:00,7.82392,7.82454,7.82364,7.82430
2024-02-27 12:00:00,7.82356,7.82460,7.82349,7.82415
2024-02-27 11:00:00,7.82394,7.82420,7.82333,7.82401
2024-02-27 10:00:00,7.82392,7.82428,7.82313,7.82401
2024-02-27 09:00:00,7.82318,7.82443,7.82299,7.82400
2024-02-27 08:00:00,7.82363,7.82380,7.82302,7.82370
2024-02-27 07:00:00,7.82305,7.82380,7.82260,7.82370
2024-02-27 06:00:00,7.82317,7.82353,7.82255,7.82338
2024-02-27 05:00:00,7.82244,7.82320,7.82238,7.82284
2024-02-27 04:00:00,7.82215,7.82303,7.82179,7.82282
2024-02-27 03:00:00,7.82243,7.82340,7.82176,7.82224
2024-02-27 02:00:00,7.82250,7.82310,7.82184,7.82224
2024-02-27 01:00:00,7.82420,7.82450,7.82186,7.82244
2024-02-27 00:00:00,7.82362,7.82460,7.82325,7.82400
2024-02-26 23:00:00,7.82382,7.82410,7.82326,7.82400
2024-02-26 22:00:00,7.82383,7.82430,7.82297,7.82386
2024-02-26 21:00:00,7.82370,7.82410,7.82294,7.82342
2024-02-26 20:00:00,7.82278,7.82390,7.82278,7.82380
2024-02-26 19:00:00,7.82350,7.82380,7.82278,7.82294
2024-02-26 18:00:00,7.82356,7.82400,7.82305,7.82317
2024-02-26 17:00:00,7.82346,7.82430,7.82285,7.82394
2024-02-26 16:00:00,7.82373,7.82430,7.82304,7.82380
2024-02-26 15:00:00,7.82251,7.82390,7.82238,7.82372
2024-02-26 14:00:00,7.82273,7.82330,7.82214,7.82297
2024-02-26 13:00:00,7.82285,7.82344,7.82242,7.82313
2024-02-26 12:00:00,7.82234,7.82320,7.82218,7.82244
2024-02-26 11:00:00,7.82280,7.82330,7.82212,7.82280
2024-02-26 10:00:00,7.82300,7.82380,7.82260,7.82312
2024-02-26 09:00:00,7.82384,7.82440,7.82274,7.82340
2024-02-26 08:00:00,7.82370,7.82500,7.82357,7.82380
2024-02-26 07:00:00,7.82437,7.82490,7.82358,7.82390
2024-02-26 06:00:00,7.82417,7.82500,7.82399,7.82490
2024-02-26 05:00:00,7.82406,7.82480,7.82376,7.82424
2024-02-26 04:00:00,7.82400,7.82470,7.82383,7.82450
2024-02-26 03:00:00,7.82291,7.82440,7.82277,7.82410
2024-02-26 02:00:00,7.82424,7.82450,7.82279,7.82300
2024-02-26 01:00:00,7.82368,7.82460,7.82330,7.82420
2024-02-26 00:00:00,7.82380,7.82490,7.82266,7.82410
2024-02-25 23:00:00,7.82400,7.82430,7.82340,7.82430
2024-02-23 21:00:00,7.82399,7.82500,7.82369,7.82400
2024-02-23 20:00:00,7.82376,7.82460,7.82357,7.82437
2024-02-23 19:00:00,7.82390,7.82497,7.82366,7.82420
2024-02-23 18:00:00,7.82350,7.82470,7.82331,7.82390
2024-02-23 17:00:00,7.82394,7.82440,7.82325,7.82337
2024-02-23 16:00:00,7.82370,7.82430,7.82330,7.82394
