,Open,High,Low,Close
2024-02-28 07:00:00,150.60000,150.61700,150.58500,150.59700
2024-02-28 06:00:00,150.61800,150.63900,150.59000,150.59900
2024-02-28 05:00:00,150.53200,150.64000,150.51200,150.61800
2024-02-28 04:00:00,150.45600,150.54000,150.43800,150.53200
2024-02-28 03:00:00,150.39600,150.47500,150.36800,150.45600
2024-02-28 02:00:00,150.47000,150.49300,150.37800,150.39300
2024-02-28 01:00:00,150.51100,150.53700,150.37200,150.46700
2024-02-28 00:00:00,150.47800,150.51800,150.44400,150.50900
2024-02-27 23:00:00,150.50300,150.50700,150.44100,150.46300
2024-02-27 22:00:00,150.49400,150.53200,150.47600,150.48700
2024-02-27 21:00:00,150.53200,150.53500,150.45200,150.49500
2024-02-27 20:00:00,150.46200,150.58300,150.45300,150.52600
2024-02-27 19:00:00,150.42200,150.47800,150.29600,150.46200
2024-02-27 18:00:00,150.46400,150.53600,150.39800,150.41800
2024-02-27 17:00:00,150.43300,150.49200,150.36800,150.46300
2024-02-27 16:00:00,150.37300,150.54800,150.24100,150.43500
2024-02-27 15:00:00,150.27200,150.44300,150.26200,150.39000
2024-02-27 14:00:00,150.22100,150.31800,150.06800,150.26900
2024-02-27 13:00:00,150.31200,150.31400,150.16300,150.22400
2024-02-27 12:00:00,150.26900,150.37700,150.25400,150.30900
2024-02-27 11:00:00,150.26600,150.29600,150.22400,150.27000
2024-02-27 10:00:00,150.17100,150.26600,150.13600,150.26200
2024-02-27 09:00:00,150.35000,150.36100,150.11300,150.16800
2024-02-27 08:00:00,150.48700,150.50300,150.31800,150.35300
2024-02-27 07:00:00,150.51400,150.53700,150.45800,150.48700
2024-02-27 06:00:00,150.45400,150.52800,150.40200,150.51400
2024-02-27 05:00:00,150.41900,150.46800,150.40400,150.45500
2024-02-27 04:00:00,150.49000,150.50000,150.41800,150.42000
2024-02-27 03:00:00,150.50200,150.51700,150.45800,150.49200
2024-02-27 02:00:00,150.56700,150.57500,150.48500,150.50700
2024-02-27 01:00:00,150.57000,150.60900,150.52300,150.56800
2024-02-27 00:00:00,150.65500,150.70300,150.49800,150.56800
2024-02-26 23:00:00,150.68900,150.70500,150.62400,150.64800
2024-02-26 22:00:00,150.67600,150.72400,150.67400,150.69700
2024-02-26 21:00:00,150.76400,150.76600,150.66800,150.67900
2024-02-26 20:00:00,150.77400,150.79600,150.72800,150.76400
2024-02-26 19:00:00,150.76400,150.81600,150.75500,150.77700
2024-02-26 18:00:00,150.79300,150.83800,150.71900,150.76900
2024-02-26 17:00:00,150.74400,150.81700,150.73200,150.79300
2024-02-26 16:00:00,150.70700,150.80800,150.66500,150.74500
2024-02-26 15:00:00,150.64200,150.74500,150.61900,150.70400
2024-02-26 14:00:00,150.60700,150.65200,150.52700,150.64500
2024-02-26 13:00:00,150.68400,150.68900,150.52200,150.61000
2024-02-26 12:00:00,150.63300,150.69700,150.58900,150.68600
2024-02-26 11:00:00,150.63200,150.65700,150.58800,150.62700
2024-02-26 10:00:00,150.58500,150.67000,150.57200,150.63300
2024-02-26 09:00:00,150.44800,150.59200,150.40200,150.58400
2024-02-26 08:00:00,150.41600,150.45500,150.36200,150.45500
2024-02-26 07:00:00,150.43400,150.48900,150.37800,150.41400
2024-02-26 06:00:00,150.49700,150.50500,150.36200,150.43300
2024-02-26 05:00:00,150.47400,150.51900,150.43600,150.50000
2024-02-26 04:00:00,150.49000,150.49700,150.45100,150.47200
2024-02-26 03:00:00,150.42200,150.49300,150.42000,150.49000
2024-02-26 02:00:00,150.36600,150.43200,150.28800,150.42200
2024-02-26 01:00:00,150.50100,150.50100,150.29400,150.36800
2024-02-26 00:00:00,150.39600,150.56200,150.39100,150.50000
2024-02-25 23:00:00,150.47600,150.49800,150.35000,150.37400
2024-02-23 21:00:00,150.45700,150.51000,150.43700,150.49500
2024-02-23 20:00:00,150.37300,150.46400,150.35000,150.45700
2024-02-23 19:00:00,150.40800,150.42000,150.33900,150.37100
2024-02-23 18:00:00,150.35800,150.42400,150.31400,150.40900
2024-02-23 17:00:00,150.52400,150.53900,150.29000,150.35800
2024-02-23 16:00:00,150.35500,150.55700,150.34200,150.52500
2024-02-23 15:00:00,150.47400,150.49800,150.31500,150.35600
2024-02-23 14:00:00,150.41400,150.49200,150.33000,150.47200
2024-02-23 13:00:00,150.65000,150.65600,150.39400,150.41800
2024-02-23 12:00:00,150.72800,150.74600,150.64600,150.65300
2024-02-23 11:00:00,150.74600,150.77000,150.69400,150.72900
2024-02-23 10:00:00,150.62600,150.76200,150.62400,150.74200
2024-02-23 09:00:00,150.55600,150.67400,150.52200,150.62400
2024-02-23 08:00:00,150.57900,150.60800,150.52000,150.55700
2024-02-23 07:00:00,150.60000,150.65100,150.55400,150.57900
2024-02-23 06:00:00,150.52700,150.60700,150.52400,150.60200
2024-02-23 05:00:00,150.47900,150.53500,150.45400,150.52700
2024-02-23 04:00:00,150.48600,150.50900,150.46400,150.48400
2024-02-23 03:00:00,150.45700,150.49300,150.41800,150.49000
2024-02-23 02:00:00,150.43900,150.48300,150.36800,150.46000
2024-02-23 01:00:00,150.47000,150.56000,150.38800,150.44100
2024-02-23 00:00:00,150.51200,150.51300,150.44300,150.47300
2024-02-22 23:00:00,150.52700,150.54400,150.46700,150.50700
2024-02-22 22:00:00,150.50200,150.56400,150.49700,150.52800
2024-02-22 21:00:00,150.55100,150.57000,150.49200,150.50100
2024-02-22 20:00:00,150.53700,150.58100,150.49700,150.55100
2024-02-22 19:00:00,150.60600,150.65100,150.47600,150.54200
2024-02-22 18:00:00,150.62500,150.68900,150.54500,150.60600
2024-02-22 17:00:00,150.50300,150.64000,150.47200,150.62200
2024-02-22 16:00:00,150.42400,150.59600,150.41600,150.50600
2024-02-22 15:00:00,150.56400,150.64600,150.40000,150.42300
