,Open,High,Low,Close
2024-02-28 08:00:00,1335.06000,1335.06000,1333.28000,1334.29000
2024-02-28 07:00:00,1334.90000,1335.23000,1332.93000,1335.05000
2024-02-28 06:00:00,1335.62000,1336.02000,1334.04000,1334.91000
2024-02-28 05:00:00,1336.30000,1336.68000,1334.75000,1335.61000
2024-02-28 04:00:00,1336.30000,1336.50000,1336.30000,1336.50000
2024-02-28 03:00:00,1332.46000,1334.47000,1331.46000,1334.44000
2024-02-28 02:00:00,1332.29000,1332.91000,1331.06000,1332.45000
2024-02-28 01:00:00,1331.75000,1332.37000,1330.94000,1332.28000
2024-02-28 00:00:00,1332.16000,1332.16000,1332.16000,1332.16000
2024-02-27 23:00:00,1332.03000,1332.16000,1332.03000,1332.16000
2024-02-27 22:00:00,1332.27000,1332.50000,1331.37000,1332.04000
2024-02-27 21:00:00,1331.90000,1332.82000,1331.42000,1332.26000
2024-02-27 20:00:00,1331.53000,1332.04000,1330.73000,1331.87000
2024-02-27 19:00:00,1331.27000,1331.58000,1331.27000,1331.52000
2024-02-27 18:00:00,1331.53000,1331.91000,1330.70000,1331.64000
2024-02-27 17:00:00,1331.45000,1332.00000,1330.41000,1331.54000
2024-02-27 16:00:00,1331.77000,1332.16000,1330.44000,1331.44000
2024-02-27 15:00:00,1331.13000,1332.06000,1330.88000,1331.80000
2024-02-27 14:00:00,1330.79000,1331.65000,1330.19000,1331.35000
2024-02-27 13:00:00,1330.52000,1331.20000,1329.95000,1330.71000
2024-02-27 12:00:00,1330.49000,1330.81000,1329.74000,1330.51000
2024-02-27 11:00:00,1330.63000,1331.34000,1330.01000,1330.47000
2024-02-27 10:00:00,1330.54000,1331.00000,1329.20000,1330.76000
2024-02-27 09:00:00,1330.41000,1331.00000,1329.03000,1330.88000
2024-02-27 08:00:00,1331.11000,1331.11000,1329.98000,1330.49000
2024-02-27 07:00:00,1331.37000,1331.48000,1330.16000,1331.12000
2024-02-27 06:00:00,1331.20000,1331.54000,1330.02000,1331.36000
2024-02-27 05:00:00,1331.13000,1331.43000,1329.78000,1331.18000
2024-02-27 04:00:00,1331.60000,1331.83000,1330.49000,1331.12000
2024-02-27 03:00:00,1330.29000,1331.59000,1329.15000,1331.59000
2024-02-27 02:00:00,1331.71000,1331.86000,1329.11000,1330.30000
2024-02-27 01:00:00,1331.27000,1332.58000,1330.16000,1331.70000
2024-02-27 00:00:00,1331.28000,1331.28000,1331.28000,1331.28000
2024-02-26 23:00:00,1331.88000,1331.93000,1330.25000,1331.28000
2024-02-26 22:00:00,1332.13000,1332.30000,1330.93000,1331.87000
2024-02-26 21:00:00,1331.84000,1332.15000,1331.00000,1332.14000
2024-02-26 20:00:00,1332.15000,1332.20000,1331.18000,1331.96000
2024-02-26 19:00:00,1332.25000,1332.51000,1331.16000,1332.16000
2024-02-26 18:00:00,1332.28000,1332.44000,1331.42000,1332.24000
2024-02-26 17:00:00,1332.35000,1332.60000,1331.50000,1332.33000
2024-02-26 16:00:00,1332.18000,1332.48000,1330.91000,1332.33000
2024-02-26 15:00:00,1331.29000,1332.41000,1330.54000,1332.20000
2024-02-26 14:00:00,1330.76000,1331.64000,1329.96000,1331.30000
2024-02-26 13:00:00,1330.87000,1331.11000,1330.05000,1330.51000
2024-02-26 12:00:00,1331.36000,1331.36000,1330.07000,1330.86000
2024-02-26 11:00:00,1330.70000,1331.50000,1329.85000,1331.37000
2024-02-26 10:00:00,1331.18000,1331.35000,1329.62000,1330.69000
2024-02-26 09:00:00,1330.22000,1331.92000,1330.20000,1331.17000
2024-02-26 08:00:00,1332.02000,1332.02000,1330.58000,1331.14000
2024-02-26 07:00:00,1330.80000,1332.01000,1330.38000,1332.01000
2024-02-26 06:00:00,1330.61000,1330.92000,1329.78000,1330.68000
2024-02-26 05:00:00,1331.02000,1331.28000,1328.60000,1330.58000
2024-02-26 04:00:00,1330.06000,1331.96000,1329.78000,1331.03000
2024-02-26 03:00:00,1331.88000,1332.02000,1329.87000,1330.07000
2024-02-26 02:00:00,1330.56000,1332.70000,1330.02000,1331.86000
2024-02-26 01:00:00,1329.65000,1332.38000,1329.65000,1332.18000
2024-02-26 00:00:00,1329.93000,1329.93000,1329.93000,1329.93000
2024-02-25 23:00:00,1329.93000,1329.93000,1329.93000,1329.93000
2024-02-23 21:00:00,1330.90000,1331.33000,1329.68000,1330.16000
2024-02-23 20:00:00,1329.89000,1331.12000,1329.87000,1330.91000
2024-02-23 19:00:00,1329.99000,1330.23000,1329.57000,1329.93000
2024-02-23 18:00:00,1330.12000,1330.13000,1329.58000,1330.00000
2024-02-23 17:00:00,1330.95000,1331.33000,1329.95000,1330.13000
2024-02-23 16:00:00,1330.56000,1331.48000,1330.00000,1330.96000
2024-02-23 15:00:00,1330.71000,1331.22000,1329.84000,1330.79000
2024-02-23 14:00:00,1329.44000,1330.75000,1329.43000,1330.68000
2024-02-23 13:00:00,1331.47000,1331.47000,1329.32000,1329.43000
2024-02-23 12:00:00,1331.53000,1332.15000,1329.84000,1331.48000
2024-02-23 11:00:00,1333.38000,1333.39000,1330.99000,1331.54000
2024-02-23 10:00:00,1330.94000,1333.76000,1330.00000,1333.37000
2024-02-23 09:00:00,1329.37000,1331.08000,1329.07000,1330.95000
2024-02-23 08:00:00,1330.02000,1331.00000,1328.87000,1329.54000
2024-02-23 07:00:00,1329.79000,1331.28000,1329.08000,1330.01000
2024-02-23 06:00:00,1329.20000,1329.94000,1327.78000,1329.78000
2024-02-23 05:00:00,1329.96000,1330.17000,1328.07000,1329.21000
2024-02-23 04:00:00,1330.31000,1330.51000,1328.78000,1329.97000
2024-02-23 03:00:00,1328.34000,1330.30000,1327.34000,1330.30000
2024-02-23 02:00:00,1329.25000,1329.58000,1327.30000,1328.36000
2024-02-23 01:00:00,1328.37000,1329.73000,1326.11000,1329.24000
2024-02-23 00:00:00,1327.12000,1327.12000,1327.12000,1327.12000
2024-02-22 23:00:00,1327.29000,1327.30000,1326.51000,1327.12000
2024-02-22 22:00:00,1327.44000,1327.61000,1326.71000,1327.37000
2024-02-22 21:00:00,1327.69000,1327.76000,1326.70000,1327.43000
2024-02-22 20:00:00,1327.58000,1327.90000,1326.85000,1327.68000
2024-02-22 19:00:00,1327.48000,1328.03000,1326.81000,1327.61000
2024-02-22 18:00:00,1328.23000,1328.27000,1326.72000,1327.47000
2024-02-22 17:00:00,1328.33000,1328.93000,1327.37000,1328.22000
2024-02-22 16:00:00,1327.57000,1328.97000,1327.16000,1328.31000
2024-02-22 15:00:00,1328.14000,1330.84000,1326.78000,1327.58000
2024-02-22 14:00:00,1326.44000,1328.52000,1326.19000,1328.10000
2024-02-22 13:00:00,1325.14000,1326.80000,1324.40000,1326.43000
2024-02-22 12:00:00,1324.95000,1325.98000,1324.54000,1325.29000
2024-02-22 11:00:00,1325.83000,1328.60000,1324.19000,1324.94000
2024-02-22 10:00:00,1324.61000,1328.60000,1324.14000,1325.91000
2024-02-22 09:00:00,1326.29000,1328.60000,1323.74000,1325.40000
2024-02-22 08:00:00,1327.93000,1328.60000,1325.63000,1326.30000
2024-02-22 07:00:00,1328.88000,1329.33000,1327.48000,1327.92000
2024-02-22 06:00:00,1330.10000,1330.21000,1327.43000,1328.87000
2024-02-22 05:00:00,1330.96000,1331.28000,1329.20000,1330.06000
2024-02-22 04:00:00,1331.53000,1332.17000,1330.03000,1330.93000
2024-02-22 03:00:00,1330.96000,1332.85000,1329.91000,1331.50000
2024-02-22 02:00:00,1330.70000,1331.77000,1329.63000,1330.94000
