,Open,High,Low,Close
2024-02-19 21:00:00,1.34892,1.34900,1.34840,1.34893
2024-02-19 20:00:00,1.34903,1.34910,1.34830,1.34894
2024-02-19 19:00:00,1.34902,1.34910,1.34840,1.34902
2024-02-19 18:00:00,1.34903,1.34914,1.34840,1.34901
2024-02-19 17:00:00,1.34890,1.34952,1.34860,1.34880
2024-02-19 16:00:00,1.34867,1.34964,1.34820,1.34924
2024-02-19 15:00:00,1.34798,1.34869,1.34720,1.34830
2024-02-19 14:00:00,1.34768,1.34810,1.34700,1.34796
2024-02-19 13:00:00,1.34737,1.34780,1.34660,1.34720
2024-02-19 12:00:00,1.34784,1.34810,1.34670,1.34735
2024-02-19 11:00:00,1.34739,1.34800,1.34680,1.34783
2024-02-19 10:00:00,1.34769,1.34780,1.34660,1.34735
2024-02-19 09:00:00,1.34760,1.34786,1.34670,1.34768
2024-02-19 08:00:00,1.34732,1.34773,1.34670,1.34761
2024-02-19 07:00:00,1.34773,1.34790,1.34670,1.34732
2024-02-19 06:00:00,1.34802,1.34805,1.34710,1.34750
2024-02-19 05:00:00,1.34813,1.34834,1.34750,1.34802
2024-02-19 04:00:00,1.34800,1.34820,1.34720,1.34790
2024-02-19 03:00:00,1.34777,1.34810,1.34730,1.34770
2024-02-19 02:00:00,1.34689,1.34790,1.34630,1.34779
2024-02-19 01:00:00,1.34780,1.34780,1.34630,1.34687
2024-02-19 00:00:00,1.34818,1.34850,1.34730,1.34775
2024-02-18 23:00:00,1.34800,1.34870,1.34739,1.34831
2024-02-16 21:00:00,1.34900,1.34904,1.34780,1.34869
2024-02-16 20:00:00,1.34765,1.34922,1.34650,1.34870
2024-02-16 19:00:00,1.34747,1.34830,1.34670,1.34730
2024-02-16 18:00:00,1.34848,1.34880,1.34700,1.34745
2024-02-16 17:00:00,1.34819,1.34854,1.34650,1.34850
2024-02-16 16:00:00,1.34975,1.35003,1.34690,1.34823
2024-02-16 15:00:00,1.34955,1.35059,1.34850,1.34972
2024-02-16 14:00:00,1.34803,1.35075,1.34730,1.34920
2024-02-16 13:00:00,1.34710,1.34822,1.34670,1.34807
2024-02-16 12:00:00,1.34810,1.34822,1.34700,1.34754
2024-02-16 11:00:00,1.34801,1.34846,1.34730,1.34811
2024-02-16 10:00:00,1.34835,1.34844,1.34710,1.34804
2024-02-16 09:00:00,1.34772,1.34851,1.34710,1.34835
2024-02-16 08:00:00,1.34833,1.34834,1.34710,1.34774
2024-02-16 07:00:00,1.34823,1.34855,1.34750,1.34832
2024-02-16 06:00:00,1.34841,1.34850,1.34760,1.34826
2024-02-16 05:00:00,1.34831,1.34860,1.34770,1.34838
2024-02-16 04:00:00,1.34810,1.34860,1.34770,1.34832
2024-02-16 03:00:00,1.34776,1.34840,1.34730,1.34837
2024-02-16 02:00:00,1.34778,1.34830,1.34720,1.34776
2024-02-16 01:00:00,1.34654,1.34790,1.34610,1.34786
2024-02-16 00:00:00,1.34654,1.34663,1.34560,1.34652
2024-02-15 23:00:00,1.34631,1.34682,1.34600,1.34659
2024-02-15 22:00:00,1.34679,1.34704,1.34590,1.34638
2024-02-15 21:00:00,1.34702,1.34750,1.34620,1.34676
2024-02-15 20:00:00,1.34800,1.34810,1.34640,1.34660
2024-02-15 19:00:00,1.34878,1.34885,1.34740,1.34802
2024-02-15 18:00:00,1.34949,1.34959,1.34830,1.34860
2024-02-15 17:00:00,1.34994,1.35111,1.34900,1.34952
2024-02-15 16:00:00,1.34933,1.35000,1.34710,1.34997
2024-02-15 15:00:00,1.35168,1.35240,1.34870,1.34934
2024-02-15 14:00:00,1.35389,1.35401,1.35060,1.35140
2024-02-15 13:00:00,1.35405,1.35424,1.35280,1.35392
2024-02-15 12:00:00,1.35374,1.35424,1.35310,1.35406
2024-02-15 11:00:00,1.35368,1.35390,1.35290,1.35340
2024-02-15 10:00:00,1.35325,1.35425,1.35280,1.35366
2024-02-15 09:00:00,1.35438,1.35443,1.35240,1.35328
2024-02-15 08:00:00,1.35420,1.35455,1.35340,1.35437
2024-02-15 07:00:00,1.35441,1.35458,1.35360,1.35420
2024-02-15 06:00:00,1.35440,1.35454,1.35370,1.35442
2024-02-15 05:00:00,1.35447,1.35464,1.35390,1.35441
2024-02-15 04:00:00,1.35412,1.35454,1.35350,1.35447
2024-02-15 03:00:00,1.35451,1.35520,1.35360,1.35417
2024-02-15 02:00:00,1.35393,1.35470,1.35340,1.35448
2024-02-15 01:00:00,1.35385,1.35439,1.35330,1.35390
2024-02-15 00:00:00,1.35402,1.35411,1.35350,1.35382
2024-02-14 23:00:00,1.35390,1.35430,1.35364,1.35402
2024-02-14 22:00:00,1.35410,1.35455,1.35360,1.35415
2024-02-14 21:00:00,1.35453,1.35470,1.35370,1.35434
2024-02-14 20:00:00,1.35486,1.35521,1.35380,1.35449
2024-02-14 19:00:00,1.35476,1.35531,1.35360,1.35487
2024-02-14 18:00:00,1.35516,1.35607,1.35420,1.35474
2024-02-14 17:00:00,1.35539,1.35586,1.35440,1.35516
2024-02-14 16:00:00,1.35494,1.35630,1.35460,1.35543
2024-02-14 15:00:00,1.35510,1.35615,1.35390,1.35503
2024-02-14 14:00:00,1.35402,1.35540,1.35350,1.35505
2024-02-14 13:00:00,1.35343,1.35420,1.35260,1.35402
2024-02-14 12:00:00,1.35339,1.35414,1.35260,1.35343
2024-02-14 11:00:00,1.35428,1.35466,1.35280,1.35344
2024-02-14 10:00:00,1.35530,1.35557,1.35370,1.35428
