,Open,High,Low,Close
2024-02-28 07:00:00,0.88026,0.88030,0.88005,0.88029
2024-02-28 06:00:00,0.88002,0.88055,0.87990,0.88022
2024-02-28 05:00:00,0.87951,0.88021,0.87941,0.88000
2024-02-28 04:00:00,0.87957,0.88000,0.87944,0.87954
2024-02-28 03:00:00,0.87919,0.87964,0.87909,0.87960
2024-02-28 02:00:00,0.87917,0.87964,0.87903,0.87919
2024-02-28 01:00:00,0.87898,0.87941,0.87886,0.87922
2024-02-28 00:00:00,0.87863,0.87901,0.87839,0.87896
2024-02-27 23:00:00,0.87849,0.87964,0.87776,0.87860
2024-02-27 22:00:00,0.87950,0.87953,0.87841,0.87860
2024-02-27 21:00:00,0.87970,0.87983,0.87912,0.87950
2024-02-27 20:00:00,0.87961,0.88021,0.87956,0.87968
2024-02-27 19:00:00,0.87977,0.87995,0.87895,0.87959
2024-02-27 18:00:00,0.87925,0.87996,0.87914,0.87977
2024-02-27 17:00:00,0.87928,0.87960,0.87862,0.87926
2024-02-27 16:00:00,0.87978,0.88106,0.87901,0.87927
2024-02-27 15:00:00,0.87983,0.88030,0.87936,0.87973
2024-02-27 14:00:00,0.87919,0.88021,0.87884,0.87983
2024-02-27 13:00:00,0.87983,0.87987,0.87846,0.87916
2024-02-27 12:00:00,0.87971,0.88053,0.87963,0.87984
2024-02-27 11:00:00,0.87961,0.88080,0.87958,0.87971
2024-02-27 10:00:00,0.87912,0.87983,0.87856,0.87966
2024-02-27 09:00:00,0.87898,0.87970,0.87876,0.87914
2024-02-27 08:00:00,0.87972,0.87985,0.87841,0.87892
2024-02-27 07:00:00,0.87982,0.88019,0.87955,0.87966
2024-02-27 06:00:00,0.87960,0.88010,0.87950,0.87984
2024-02-27 05:00:00,0.87954,0.87973,0.87914,0.87958
2024-02-27 04:00:00,0.87998,0.88020,0.87950,0.87955
2024-02-27 03:00:00,0.88024,0.88039,0.87978,0.87998
2024-02-27 02:00:00,0.88042,0.88070,0.88010,0.88023
2024-02-27 01:00:00,0.88005,0.88054,0.87997,0.88044
2024-02-27 00:00:00,0.87973,0.88010,0.87920,0.88005
2024-02-26 23:00:00,0.87992,0.88023,0.87886,0.87974
2024-02-26 22:00:00,0.88011,0.88026,0.87984,0.87994
2024-02-26 21:00:00,0.88087,0.88090,0.87991,0.88008
2024-02-26 20:00:00,0.88097,0.88111,0.88066,0.88087
2024-02-26 19:00:00,0.88078,0.88130,0.88070,0.88100
2024-02-26 18:00:00,0.88009,0.88100,0.88000,0.88081
2024-02-26 17:00:00,0.88058,0.88093,0.88003,0.88012
2024-02-26 16:00:00,0.88045,0.88140,0.88013,0.88052
2024-02-26 15:00:00,0.87922,0.88085,0.87905,0.88050
2024-02-26 14:00:00,0.87994,0.88011,0.87913,0.87925
2024-02-26 13:00:00,0.87964,0.88005,0.87927,0.87996
2024-02-26 12:00:00,0.87936,0.88000,0.87875,0.87970
2024-02-26 11:00:00,0.87976,0.88030,0.87899,0.87937
2024-02-26 10:00:00,0.88071,0.88134,0.87974,0.87978
2024-02-26 09:00:00,0.88063,0.88097,0.88023,0.88069
2024-02-26 08:00:00,0.88082,0.88110,0.88030,0.88059
2024-02-26 07:00:00,0.88094,0.88111,0.88067,0.88082
2024-02-26 06:00:00,0.88114,0.88126,0.88076,0.88091
2024-02-26 05:00:00,0.88134,0.88144,0.88073,0.88110
2024-02-26 04:00:00,0.88167,0.88180,0.88131,0.88133
2024-02-26 03:00:00,0.88158,0.88221,0.88150,0.88170
2024-02-26 02:00:00,0.88183,0.88201,0.88129,0.88157
2024-02-26 01:00:00,0.88125,0.88190,0.88110,0.88186
2024-02-26 00:00:00,0.88040,0.88141,0.88013,0.88130
2024-02-25 23:00:00,0.87930,0.88092,0.87925,0.88046
2024-02-23 21:00:00,0.88116,0.88143,0.88100,0.88109
2024-02-23 20:00:00,0.88074,0.88144,0.88070,0.88117
2024-02-23 19:00:00,0.88057,0.88081,0.88026,0.88074
2024-02-23 18:00:00,0.88044,0.88082,0.88022,0.88054
2024-02-23 17:00:00,0.88096,0.88180,0.88023,0.88042
2024-02-23 16:00:00,0.88013,0.88166,0.88007,0.88095
2024-02-23 15:00:00,0.87981,0.88050,0.87959,0.88013
2024-02-23 14:00:00,0.87839,0.88007,0.87835,0.87981
2024-02-23 13:00:00,0.88015,0.88018,0.87808,0.87839
2024-02-23 12:00:00,0.88087,0.88108,0.87988,0.88014
2024-02-23 11:00:00,0.88165,0.88168,0.88068,0.88086
2024-02-23 10:00:00,0.88112,0.88195,0.88094,0.88160
2024-02-23 09:00:00,0.88048,0.88146,0.88020,0.88114
2024-02-23 08:00:00,0.88043,0.88094,0.88025,0.88046
2024-02-23 07:00:00,0.88084,0.88087,0.88027,0.88040
2024-02-23 06:00:00,0.88041,0.88100,0.88035,0.88083
2024-02-23 05:00:00,0.88050,0.88060,0.88011,0.88042
2024-02-23 04:00:00,0.88046,0.88071,0.88039,0.88045
2024-02-23 03:00:00,0.88035,0.88050,0.88010,0.88048
2024-02-23 02:00:00,0.88045,0.88052,0.87998,0.88036
2024-02-23 01:00:00,0.88003,0.88089,0.87978,0.88045
2024-02-23 00:00:00,0.88017,0.88029,0.87994,0.88003
2024-02-22 23:00:00,0.87978,0.88035,0.87947,0.88028
2024-02-22 22:00:00,0.88002,0.88044,0.87995,0.88010
2024-02-22 21:00:00,0.88102,0.88124,0.87995,0.88003
2024-02-22 20:00:00,0.88101,0.88144,0.88084,0.88101
2024-02-22 19:00:00,0.88155,0.88174,0.88071,0.88105
2024-02-22 18:00:00,0.88162,0.88212,0.88109,0.88153
2024-02-22 17:00:00,0.88185,0.88212,0.88106,0.88162
2024-02-22 16:00:00,0.88024,0.88200,0.88023,0.88190
2024-02-22 15:00:00,0.88022,0.88190,0.88011,0.88025
2024-02-22 14:00:00,0.87925,0.88045,0.87866,0.88022
2024-02-22 13:00:00,0.87786,0.87952,0.87759,0.87919
2024-02-22 12:00:00,0.87719,0.87873,0.87719,0.87782
2024-02-22 11:00:00,0.87707,0.87797,0.87691,0.87720
2024-02-22 10:00:00,0.87523,0.87733,0.87520,0.87707
2024-02-22 09:00:00,0.87604,0.87610,0.87418,0.87528
2024-02-22 08:00:00,0.87726,0.87778,0.87501,0.87599
2024-02-22 07:00:00,0.87807,0.87810,0.87720,0.87726
2024-02-22 06:00:00,0.87838,0.87844,0.87760,0.87805
2024-02-22 05:00:00,0.87886,0.87903,0.87833,0.87839
2024-02-22 04:00:00,0.87884,0.87905,0.87870,0.87892
2024-02-22 03:00:00,0.87883,0.87941,0.87873,0.87880
2024-02-22 02:00:00,0.87831,0.87893,0.87821,0.87881
2024-02-22 01:00:00,0.87914,0.87944,0.87830,0.87840
2024-02-22 00:00:00,0.87932,0.87942,0.87889,0.87917
2024-02-21 23:00:00,0.87948,0.87971,0.87844,0.87933
2024-02-21 22:00:00,0.87965,0.87990,0.87940,0.87963
2024-02-21 21:00:00,0.87974,0.87987,0.87914,0.87964
2024-02-21 20:00:00,0.88001,0.88063,0.87878,0.87975
2024-02-21 19:00:00,0.88050,0.88117,0.87992,0.88000
2024-02-21 18:00:00,0.87993,0.88084,0.87988,0.88052
2024-02-21 17:00:00,0.88083,0.88120,0.87938,0.87990
2024-02-21 16:00:00,0.87978,0.88086,0.87924,0.88082
2024-02-21 15:00:00,0.87996,0.88027,0.87949,0.87974
2024-02-21 14:00:00,0.88028,0.88036,0.87955,0.88001
2024-02-21 13:00:00,0.88020,0.88043,0.87962,0.88026
2024-02-21 12:00:00,0.88038,0.88076,0.88000,0.88021
2024-02-21 11:00:00,0.88055,0.88088,0.87964,0.88033
2024-02-21 10:00:00,0.88103,0.88158,0.88028,0.88058
2024-02-21 09:00:00,0.88106,0.88184,0.88089,0.88104
2024-02-21 08:00:00,0.88115,0.88155,0.88057,0.88107
2024-02-21 07:00:00,0.88067,0.88155,0.88063,0.88118
2024-02-21 06:00:00,0.88094,0.88101,0.88051,0.88068
2024-02-21 05:00:00,0.88055,0.88100,0.88049,0.88098
2024-02-21 04:00:00,0.88095,0.88100,0.88043,0.88058
2024-02-21 03:00:00,0.88142,0.88150,0.88070,0.88094
2024-02-21 02:00:00,0.88168,0.88193,0.88134,0.88145
2024-02-21 01:00:00,0.88188,0.88201,0.88151,0.88166
2024-02-21 00:00:00,0.88138,0.88204,0.88068,0.88189
2024-02-20 23:00:00,0.88174,0.88200,0.88069,0.88142
2024-02-20 22:00:00,0.88131,0.88211,0.88125,0.88184
2024-02-20 21:00:00,0.88173,0.88195,0.88112,0.88129
2024-02-20 20:00:00,0.88156,0.88183,0.88116,0.88173
2024-02-20 19:00:00,0.88122,0.88172,0.88108,0.88157
2024-02-20 18:00:00,0.88068,0.88131,0.88046,0.88123
2024-02-20 17:00:00,0.87995,0.88074,0.87987,0.88072
2024-02-20 16:00:00,0.87964,0.88087,0.87917,0.87999
2024-02-20 15:00:00,0.87971,0.88070,0.87852,0.87964
2024-02-20 14:00:00,0.88239,0.88250,0.87949,0.87977
