,Open,High,Low,Close
2024-02-28 07:00:00,7.19910,7.19920,7.19900,7.19910
2024-02-28 06:00:00,7.19910,7.19920,7.19890,7.19910
2024-02-28 05:00:00,7.19910,7.19920,7.19890,7.19900
2024-02-28 04:00:00,7.19890,7.19920,7.19880,7.19910
2024-02-28 03:00:00,7.19860,7.19900,7.19840,7.19880
2024-02-28 02:00:00,7.19790,7.19870,7.19760,7.19840
2024-02-27 20:00:00,7.19810,7.19810,7.19810,7.19810
2024-02-27 19:00:00,7.19810,7.19810,7.19810,7.19810
2024-02-27 18:00:00,7.19810,7.19810,7.19810,7.19810
2024-02-27 17:00:00,7.19810,7.19810,7.19810,7.19810
2024-02-27 16:00:00,7.19790,7.19810,7.19770,7.19810
2024-02-27 15:00:00,7.19780,7.19800,7.19770,7.19790
2024-02-27 14:00:00,7.19760,7.19800,7.19760,7.19780
2024-02-27 13:00:00,7.19770,7.19770,7.19760,7.19760
2024-02-27 12:00:00,7.19820,7.19820,7.19760,7.19770
2024-02-27 11:00:00,7.19880,7.19880,7.19820,7.19820
2024-02-27 10:00:00,7.19850,7.19880,7.19800,7.19870
2024-02-27 09:00:00,7.19840,7.19850,7.19750,7.19850
2024-02-27 08:00:00,7.19770,7.19850,7.19690,7.19850
2024-02-27 07:00:00,7.19840,7.19850,7.19580,7.19780
2024-02-27 06:00:00,7.19790,7.19840,7.19770,7.19830
2024-02-27 05:00:00,7.19800,7.19830,7.19780,7.19790
2024-02-27 04:00:00,7.19840,7.19850,7.19790,7.19800
2024-02-27 03:00:00,7.19810,7.19860,7.19770,7.19850
2024-02-27 02:00:00,7.19710,7.19830,7.19700,7.19800
2024-02-26 20:00:00,7.19800,7.19800,7.19800,7.19800
2024-02-26 19:00:00,7.19800,7.19800,7.19800,7.19800
2024-02-26 18:00:00,7.19800,7.19800,7.19710,7.19800
2024-02-26 17:00:00,7.19800,7.19800,7.19710,7.19800
2024-02-26 16:00:00,7.19770,7.19800,7.19720,7.19800
2024-02-26 15:00:00,7.19760,7.19770,7.19710,7.19770
2024-02-26 14:00:00,7.19680,7.19760,7.19670,7.19760
2024-02-26 13:00:00,7.19700,7.19740,7.19680,7.19680
2024-02-26 12:00:00,7.19770,7.19770,7.19690,7.19700
2024-02-26 11:00:00,7.19760,7.19790,7.19700,7.19770
2024-02-26 10:00:00,7.19840,7.19880,7.19760,7.19760
2024-02-26 09:00:00,7.19830,7.19880,7.19800,7.19830
