Date,Close,Open,High,Low,Vol.,Change %
3/1/23,1.0665,1.0576,1.0692,1.0565,,0.84%
2/28/23,1.0576,1.0605,1.0646,1.0574,,-0.29%
2/27/23,1.0607,1.0541,1.062,1.0532,,0.58%
2/24/23,1.0546,1.0597,1.0616,1.0536,,-0.46%
2/23/23,1.0595,1.0603,1.0628,1.0576,,-0.06%
2/22/23,1.0601,1.0648,1.0664,1.0598,,-0.42%
2/21/23,1.0646,1.0686,1.0698,1.0637,,-0.34%
2/20/23,1.0682,1.0688,1.0705,1.067,,-0.11%
2/17/23,1.0694,1.0674,1.0699,1.0612,,0.24%
2/16/23,1.0668,1.069,1.0723,1.0654,,-0.20%
2/15/23,1.0689,1.0738,1.0746,1.066,,-0.43%
2/14/23,1.0735,1.0723,1.0805,1.0706,,0.14%
2/13/23,1.072,1.0679,1.0731,1.0655,,0.42%
2/10/23,1.0675,1.0738,1.0754,1.0666,,-0.57%
2/9/23,1.0736,1.0711,1.0793,1.0709,,0.25%
2/8/23,1.0709,1.0726,1.0761,1.0709,,-0.13%
2/7/23,1.0723,1.0727,1.0768,1.0667,,-0.07%
2/6/23,1.073,1.079,1.0799,1.0709,,-0.58%
2/3/23,1.0793,1.0909,1.0941,1.0791,,-1.07%
2/2/23,1.091,1.099,1.1034,1.0885,,-0.72%
2/1/23,1.0989,1.0864,1.1001,1.0852,,1.17%
1/31/23,1.0862,1.085,1.0876,1.0802,,0.17%
1/30/23,1.0844,1.0875,1.0914,1.0839,,-0.21%
1/27/23,1.0867,1.0892,1.0901,1.0836,,-0.20%
1/26/23,1.0889,1.0917,1.093,1.0849,,-0.24%
1/25/23,1.0915,1.0881,1.0925,1.0856,,0.28%
1/24/23,1.0885,1.0872,1.0898,1.0834,,0.16%
1/23/23,1.0868,1.086,1.0927,1.0846,,0.12%
1/20/23,1.0855,1.0833,1.086,1.0802,,0.26%
1/19/23,1.0827,1.079,1.0841,1.0782,,0.32%
1/18/23,1.0792,1.079,1.0889,1.0766,,0.04%
1/17/23,1.0788,1.0822,1.087,1.0775,,-0.26%
1/16/23,1.0816,1.0834,1.0875,1.0801,,-0.11%
1/13/23,1.0828,1.0854,1.0869,1.078,,-0.17%
1/12/23,1.0846,1.0757,1.0868,1.073,,0.85%
1/11/23,1.0755,1.0736,1.0777,1.0725,,0.20%
1/10/23,1.0734,1.0725,1.076,1.0711,,0.06%
1/9/23,1.0728,1.0637,1.0761,1.0636,,0.79%
1/6/23,1.0644,1.0522,1.0648,1.0483,,1.18%
1/5/23,1.052,1.0604,1.0632,1.0515,,-0.75%
1/4/23,1.0599,1.0552,1.0636,1.054,,0.50%
1/3/23,1.0546,1.0663,1.0684,1.0519,,-1.09%
1/2/23,1.0662,1.0702,1.0708,1.065,,-0.37%
12/30/22,1.0702,1.0663,1.0714,1.0639,,0.38%
12/29/22,1.0661,1.0609,1.0691,1.0609,,0.50%
12/28/22,1.0608,1.0642,1.0675,1.0606,,-0.28%
12/27/22,1.0638,1.0638,1.067,1.0611,,0.03%
12/26/22,1.0635,1.0611,1.0638,1.0604,,0.20%
12/23/22,1.0614,1.0595,1.0633,1.0586,,0.20%
12/22/22,1.0593,1.0607,1.066,1.0573,,-0.09%
12/21/22,1.0603,1.0625,1.0647,1.0589,,-0.17%
12/20/22,1.0621,1.0606,1.066,1.0579,,0.15%
12/19/22,1.0605,1.0591,1.0659,1.0575,,0.22%
12/16/22,1.0582,1.0626,1.0663,1.0584,,-0.41%
12/15/22,1.0626,1.0683,1.0737,1.0592,,-0.52%
12/14/22,1.0682,1.0633,1.0696,1.0618,,0.49%
12/13/22,1.063,1.0534,1.0674,1.0527,,0.90%
12/12/22,1.0535,1.0528,1.0581,1.0506,,0.05%
12/9/22,1.053,1.0559,1.0589,1.0507,,-0.25%
12/8/22,1.0556,1.0508,1.0566,1.0489,,0.49%
12/7/22,1.0505,1.0469,1.0551,1.0443,,0.34%
12/6/22,1.0469,1.0489,1.0533,1.0459,,-0.21%
12/5/22,1.0491,1.0517,1.0596,1.048,,-0.45%
12/2/22,1.0538,1.0524,1.0546,1.0428,,0.15%
12/1/22,1.0522,1.0407,1.0534,1.0393,,1.12%
11/30/22,1.0405,1.0329,1.043,1.0289,,0.76%
11/29/22,1.0327,1.034,1.0395,1.0319,,-0.10%
11/28/22,1.0337,1.0382,1.0497,1.033,,-0.56%
11/25/22,1.0395,1.0409,1.043,1.0354,,-0.12%
11/24/22,1.0408,1.0398,1.045,1.0381,,0.13%
11/23/22,1.0395,1.0304,1.0405,1.0296,,0.90%
11/22/22,1.0302,1.0243,1.0309,1.0239,,0.60%
11/21/22,1.0241,1.0318,1.0334,1.0223,,-0.80%
