,Id,wanted_price,actual_price,wanted_time,actual_time,pair,units,latency,slippage
0,87,1.07219,1.07219,2024-04-30 07:10:08.915800-04:00,2024-04-30 11:10:09.655595716+00:00,EUR_USD,1000,0 days 00:00:00.739795716,0.0
1,89,0.65283,0.65283,2024-04-30 07:10:08.991362-04:00,2024-04-30 11:10:09.731593951+00:00,AUD_USD,1000,0 days 00:00:00.740231951,0.0
2,91,1.2538,1.2538,2024-04-30 07:10:09.080793-04:00,2024-04-30 11:10:09.806193826+00:00,GBP_USD,1000,0 days 00:00:00.725400826,0.0
3,95,1.25373,1.25373,2024-04-30 07:11:02.962260-04:00,2024-04-30 11:11:03.358873104+00:00,GBP_USD,1000,0 days 00:00:00.396613104,0.0
4,99,1.07214,1.07214,2024-04-30 07:11:14.098622-04:00,2024-04-30 11:11:14.532705134+00:00,EUR_USD,1000,0 days 00:00:00.434083134,0.0
5,107,1.07216,1.0723,2024-04-30 07:12:07.665391-04:00,2024-04-30 11:12:08.646952908+00:00,EUR_USD,-1000,0 days 00:00:00.981561908,0.000140000000000029
6,109,0.65287,0.65298,2024-04-30 07:12:07.746639-04:00,2024-04-30 11:12:08.707483326+00:00,AUD_USD,-1000,0 days 00:00:00.960844326,0.0001100000000000545
7,111,1.25369,1.25385,2024-04-30 07:12:07.827456-04:00,2024-04-30 11:12:08.769765372+00:00,GBP_USD,-1000,0 days 00:00:00.942309372,0.00015999999999993797
8,115,0.85516,0.85516,2024-04-30 07:15:01.692435-04:00,2024-04-30 11:15:01.904343200+00:00,EUR_GBP,1000,0 days 00:00:00.211908200,0.0
9,119,7.82108,7.82108,2024-04-30 07:16:06.326788-04:00,2024-04-30 11:16:06.619871362+00:00,USD_HKD,1000,0 days 00:00:00.293083362,0.0
10,125,7.82083,7.82083,2024-04-30 07:17:54.352104-04:00,2024-04-30 11:17:54.690241376+00:00,USD_HKD,1000,0 days 00:00:00.338137376,0.0
11,127,0.855,0.85512,2024-04-30 07:17:54.426241-04:00,2024-04-30 11:17:54.762224276+00:00,EUR_GBP,-1000,0 days 00:00:00.335983276,0.00012000000000000899
12,135,1.36901,1.36901,2024-04-30 07:18:06.340300-04:00,2024-04-30 11:18:07.851315369+00:00,USD_CAD,1000,0 days 00:00:01.511015369,0.0
13,137,156.93,156.93,2024-04-30 07:18:06.516139-04:00,2024-04-30 11:18:08.029974792+00:00,USD_JPY,1000,0 days 00:00:01.513835792,0.0
14,139,7.82083,7.82083,2024-04-30 07:18:06.984073-04:00,2024-04-30 11:18:08.207937936+00:00,USD_HKD,1000,0 days 00:00:01.223864936,0.0
15,143,0.85498,0.85498,2024-04-30 07:19:12.467513-04:00,2024-04-30 11:19:12.670999360+00:00,EUR_GBP,1000,0 days 00:00:00.203486360,0.0
16,135,1.36901,1.36901,2024-04-30 07:18:06.340300-04:00,2024-04-30 11:18:07.851315369+00:00,USD_CAD,1000,0 days 00:00:01.511015369,0.0
17,137,156.93,156.93,2024-04-30 07:18:06.516139-04:00,2024-04-30 11:18:08.029974792+00:00,USD_JPY,1000,0 days 00:00:01.513835792,0.0
18,139,7.82083,7.82083,2024-04-30 07:18:06.984073-04:00,2024-04-30 11:18:08.207937936+00:00,USD_HKD,1000,0 days 00:00:01.223864936,0.0
19,143,0.85498,0.85498,2024-04-30 07:19:12.467513-04:00,2024-04-30 11:19:12.670999360+00:00,EUR_GBP,1000,0 days 00:00:00.203486360,0.0
20,111,1.25369,1.25385,2024-04-30 07:12:07.827456-04:00,2024-04-30 11:12:08.769765372+00:00,GBP_USD,-1000,0 days 00:00:00.942309372,0.00015999999999993797
21,115,0.85516,0.85516,2024-04-30 07:15:01.692435-04:00,2024-04-30 11:15:01.904343200+00:00,EUR_GBP,1000,0 days 00:00:00.211908200,0.0
22,119,7.82108,7.82108,2024-04-30 07:16:06.326788-04:00,2024-04-30 11:16:06.619871362+00:00,USD_HKD,1000,0 days 00:00:00.293083362,0.0
23,125,7.82083,7.82083,2024-04-30 07:17:54.352104-04:00,2024-04-30 11:17:54.690241376+00:00,USD_HKD,1000,0 days 00:00:00.338137376,0.0
24,127,0.855,0.85512,2024-04-30 07:17:54.426241-04:00,2024-04-30 11:17:54.762224276+00:00,EUR_GBP,-1000,0 days 00:00:00.335983276,0.00012000000000000899
25,135,1.36901,1.36901,2024-04-30 07:18:06.340300-04:00,2024-04-30 11:18:07.851315369+00:00,USD_CAD,1000,0 days 00:00:01.511015369,0.0
26,137,156.93,156.93,2024-04-30 07:18:06.516139-04:00,2024-04-30 11:18:08.029974792+00:00,USD_JPY,1000,0 days 00:00:01.513835792,0.0
27,139,7.82083,7.82083,2024-04-30 07:18:06.984073-04:00,2024-04-30 11:18:08.207937936+00:00,USD_HKD,1000,0 days 00:00:01.223864936,0.0
28,143,0.85498,0.85498,2024-04-30 07:19:12.467513-04:00,2024-04-30 11:19:12.670999360+00:00,EUR_GBP,1000,0 days 00:00:00.203486360,0.0
29,143,0.85498,0.85498,2024-04-30 07:19:12.467513-04:00,2024-04-30 11:19:12.670999360+00:00,EUR_GBP,1000,0 days 00:00:00.203486360,0.0
