Date,Close/Last,Volume,Open,High,Low
2/2/24,1.2631,N/A,1.2742,1.2772,1.2614
2/1/24,1.2745,N/A,1.2742,1.2756,1.2742
1/31/24,1.2681,N/A,1.2685,1.2698,1.2674
1/30/24,1.2681,N/A,1.2697,1.2703,1.2672
1/29/24,1.2705,N/A,1.2707,1.2722,1.2702
1/28/24,1.2706,N/A,1.2702,1.2708,1.2691
1/26/24,1.2702,N/A,1.2708,1.2759,1.2675
1/25/24,1.2704,N/A,1.2708,1.2716,1.2701
1/24/24,1.271,N/A,1.2723,1.2729,1.2703
1/23/24,1.2704,N/A,1.2687,1.2705,1.2677
1/22/24,1.2727,N/A,1.2706,1.2729,1.2703
1/19/24,1.2704,N/A,1.2705,1.2715,1.2662
1/18/24,1.2708,N/A,1.2705,1.2715,1.2695
1/17/24,1.2681,N/A,1.2672,1.2696,1.267
1/16/24,1.2624,N/A,1.2636,1.2644,1.2616
1/15/24,1.2678,N/A,1.2725,1.2737,1.2677
1/14/24,1.2755,N/A,1.2751,1.2766,1.2729
1/12/24,1.2751,N/A,1.2751,1.2786,1.2719
1/11/24,1.2772,N/A,1.276,1.2785,1.2749
1/10/24,1.2765,N/A,1.2739,1.2771,1.273
1/9/24,1.2704,N/A,1.2704,1.2718,1.2697
1/8/24,1.2748,N/A,1.2747,1.2765,1.274
1/7/24,1.2704,N/A,1.2716,1.2731,1.2698
1/5/24,1.2717,N/A,1.2679,1.2771,1.2611
1/4/24,1.2679,N/A,1.2679,1.2696,1.2678
1/3/24,1.267,N/A,1.2662,1.2676,1.2657
1/2/24,1.2638,N/A,1.2614,1.2642,1.2615
1/1/24,1.2712,N/A,1.2723,1.2736,1.271
12/29/23,1.2732,N/A,1.273,1.2773,1.27
12/28/23,1.2746,N/A,1.273,1.2747,1.2724
12/27/23,1.2811,N/A,1.2794,1.2815,1.279
12/26/23,1.2729,N/A,1.2729,1.2731,1.2716
12/25/23,1.2709,N/A,1.2689,1.2714,1.2687
12/24/23,1.2687,N/A,1.27,1.2727,1.2682
12/22/23,1.2698,N/A,1.2688,1.2744,1.2672
12/21/23,1.2688,N/A,1.2688,1.2693,1.2672
12/20/23,1.2641,N/A,1.2641,1.2651,1.2629
12/19/23,1.2724,N/A,1.273,1.2737,1.2716
12/18/23,1.2658,N/A,1.2658,1.2665,1.2636
12/17/23,1.2692,N/A,1.2675,1.27,1.2661
12/15/23,1.2681,N/A,1.2766,1.279,1.2668
12/14/23,1.2771,N/A,1.2766,1.2774,1.2747
12/13/23,1.2639,N/A,1.2618,1.2653,1.2614
12/12/23,1.255,N/A,1.2561,1.2574,1.2548
12/11/23,1.2574,N/A,1.2553,1.2576,1.2552
12/10/23,1.2536,N/A,1.2536,1.2559,1.2535
12/8/23,1.2548,N/A,1.259,1.2602,1.2502
12/7/23,1.259,N/A,1.259,1.2602,1.2581
12/6/23,1.2548,N/A,1.2559,1.2578,1.2548
12/5/23,1.2622,N/A,1.2632,1.2646,1.2607
12/4/23,1.2639,N/A,1.2632,1.2645,1.2628
12/3/23,1.2675,N/A,1.27,1.2725,1.2668
12/1/23,1.2711,N/A,1.2622,1.2716,1.2614
11/30/23,1.2638,N/A,1.2622,1.2657,1.2615
11/29/23,1.27,N/A,1.2694,1.2706,1.2685
11/28/23,1.2712,N/A,1.2712,1.2733,1.2693
11/27/23,1.263,N/A,1.2625,1.2642,1.2622
11/26/23,1.2607,N/A,1.2603,1.2611,1.2591
11/24/23,1.2605,N/A,1.2533,1.2616,1.2524
11/23/23,1.2537,N/A,1.2533,1.2545,1.2524
11/22/23,1.2502,N/A,1.2492,1.2507,1.2489
11/21/23,1.2536,N/A,1.2537,1.255,1.2529
11/20/23,1.2532,N/A,1.2532,1.2541,1.25
11/19/23,1.2489,N/A,1.2461,1.2496,1.2446
11/17/23,1.2462,N/A,1.2406,1.2465,1.2374
11/16/23,1.2409,N/A,1.2406,1.2423,1.2404
11/15/23,1.2393,N/A,1.2418,1.2425,1.238
11/14/23,1.2496,N/A,1.2497,1.2502,1.2479
11/13/23,1.227,N/A,1.2278,1.2281,1.2265
11/12/23,1.223,N/A,1.2222,1.2236,1.2212
11/10/23,1.2225,N/A,1.2221,1.2238,1.2188
11/9/23,1.2226,N/A,1.2221,1.2229,1.2212
11/8/23,1.2287,N/A,1.2287,1.2299,1.2275
11/7/23,1.2283,N/A,1.2299,1.2308,1.2278
11/6/23,1.233,N/A,1.2341,1.2352,1.2328
11/5/23,1.2376,N/A,1.2374,1.2382,1.2365
11/3/23,1.238,N/A,1.2201,1.239,1.2184
11/2/23,1.2199,N/A,1.2201,1.2208,1.2184
11/1/23,1.2191,N/A,1.2191,1.2197,1.2138
10/31/23,1.2146,N/A,1.2152,1.2155,1.2134
10/30/23,1.2142,N/A,1.2142,1.2171,1.2137
10/29/23,1.212,N/A,1.2122,1.2131,1.2106
10/27/23,1.2121,N/A,1.2126,1.2163,1.2105
10/26/23,1.2134,N/A,1.2126,1.214,1.2121
10/25/23,1.2079,N/A,1.2079,1.2116,1.2077
10/24/23,1.2172,N/A,1.2159,1.2176,1.2156
10/23/23,1.2266,N/A,1.2266,1.2275,1.2234
10/22/23,1.2151,N/A,1.216,1.2167,1.215
10/20/23,1.2164,N/A,1.2143,1.217,1.2093
10/19/23,1.2137,N/A,1.2143,1.2146,1.2118
10/18/23,1.2127,N/A,1.214,1.2149,1.2127
10/17/23,1.2174,N/A,1.2178,1.2196,1.2159
10/16/23,1.2201,N/A,1.2216,1.2219,1.2193
