,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
0,3,2,30,3,399,8.757682177348551,364,0.07748024582967515,1343.2421563757787
1,3,2,30,4,435,9.547848990342406,359,0.07462686567164178,1409.6956130007839
2,3,2,30,5,447,9.811237928007024,357,0.07506584723441616,1417.8346869207276
3,3,2,30,6,452,9.920983318700614,356,0.07484635645302898,1433.6258644499867
4,3,2,30,7,457,10.030728709394205,355,0.07462686567164178,1432.0895299948725
5,3,2,40,3,481,10.557506584723441,351,0.07418788410886742,1204.8668720412616
6,3,2,40,4,529,11.611062335381915,345,0.07177348551360843,1279.4835333848348
7,3,2,40,5,551,12.093942054433715,341,0.07221246707638279,1318.6818139871928
8,3,2,40,6,560,12.291483757682178,340,0.07199297629499561,1340.16259897035
9,3,2,40,7,568,12.467076382791923,339,0.07177348551360843,1354.102571689058
10,3,2,50,3,562,12.335381913959614,339,0.07243195785776997,1185.6419088416687
11,3,2,50,4,629,13.805970149253731,331,0.07111501316944688,1499.1001673321118
12,3,2,50,5,669,14.683933274802458,327,0.0708955223880597,1535.1095404688008
13,3,2,50,6,687,15.079016681299386,324,0.0708955223880597,1542.352743822272
14,3,2,50,7,703,15.430201931518877,322,0.07001755926251098,1589.427315889179
15,3,2,60,3,671,14.727831431079895,331,0.07045654082528534,1123.5860397822798
16,3,2,60,4,760,16.681299385425813,319,0.06804214223002635,1437.152063853348
17,3,2,60,5,831,18.2396839332748,315,0.06826163301141353,1459.0448491838627
18,3,2,60,6,868,19.051799824407375,311,0.0684811237928007,1522.2010111438933
19,3,2,60,7,894,19.62247585601405,306,0.06782265144863915,1563.2732517262418
20,3,2,70,3,782,17.16417910447761,326,0.06540825285338016,1029.3247782662056
21,3,2,70,4,889,19.512730465320455,307,0.06343283582089553,1140.9570592753064
22,3,2,70,5,992,21.773485513608428,301,0.06299385425812117,1248.5044351529823
23,3,2,70,6,1056,23.17822651448639,295,0.06189640035118525,1275.1915947366683
24,3,2,70,7,1090,23.92449517120281,284,0.05992098331870061,1242.5224302420813
25,3,3,30,3,394,8.647936786654961,366,0.07748024582967515,1431.6305569152992
26,3,3,30,4,434,9.525899912203688,360,0.07396839332748024,1422.2531740792797
27,3,3,30,5,453,9.942932396839332,356,0.07462686567164178,1407.8206851031946
28,3,3,30,6,462,10.140474100087797,355,0.0744073748902546,1437.1184295581731
29,3,3,30,7,472,10.359964881474978,355,0.0744073748902546,1467.939212286059
30,3,3,40,3,529,11.611062335381915,344,0.07243195785776997,1143.9305626560733
31,3,3,40,4,595,13.059701492537313,336,0.0695785776997366,1436.0953736926026
32,3,3,40,5,636,13.959613696224759,331,0.07023705004389816,1448.6691828237051
33,3,3,40,6,662,14.53028972783143,328,0.06935908691834942,1459.4832951314693
34,3,3,40,7,679,14.90342405618964,324,0.06892010535557506,1461.207384442456
35,3,3,50,3,658,14.442493415276559,333,0.07001755926251098,1088.2825389164534
36,3,3,50,4,754,16.549604916593502,321,0.06782265144863915,1415.1211296393706
37,3,3,50,5,828,18.173836698858647,317,0.06782265144863915,1458.438450076316
38,3,3,50,6,875,19.2054433713784,315,0.06760316066725197,1581.5562096099186
39,3,3,50,7,898,19.71027216856892,307,0.0660667251975417,1484.90141688313
40,3,3,60,3,785,17.230026338893765,326,0.06562774363476734,1000.5997413861994
41,3,3,60,4,906,19.885864793678664,307,0.06409130816505706,1135.4903172536838
42,3,3,60,5,1014,22.25636523266023,300,0.06343283582089553,1222.7220784811232
43,3,3,60,6,1094,24.012291483757682,295,0.061018437225636525,1301.6641203606441
44,3,3,60,7,1139,25.0,284,0.058823529411764705,1289.4496599385352
45,3,3,70,3,889,19.512730465320455,323,0.06782265144863915,986.8625298542794
46,3,3,70,4,1052,23.090430201931518,298,0.06299385425812117,1028.073521140127
47,3,3,70,5,1202,26.382791922739244,288,0.06343283582089553,1207.6811617488563
48,3,3,70,6,1319,28.95083406496927,279,0.059043020193151885,1171.5400774026168
49,3,3,70,7,1399,30.706760316066724,268,0.055970149253731345,1339.7720972879397
50,3,4,30,3,359,7.879719051799825,371,0.0792361720807726,1345.8206594217195
51,3,4,30,4,401,8.801580333625989,365,0.07594381035996488,1536.828848233835
52,3,4,30,5,424,9.306409130816506,360,0.07638279192273925,1494.5652709786025
53,3,4,30,6,440,9.657594381035997,358,0.07594381035996488,1498.5907169642758
54,3,4,30,7,453,9.942932396839332,357,0.0757243195785777,1575.4487262305674
55,3,4,40,3,539,11.830553116769096,347,0.07309043020193152,1213.8537714167417
56,3,4,40,4,611,13.410886742756805,338,0.07133450395083407,1470.1648041155086
57,3,4,40,5,653,14.332748024582967,331,0.07133450395083407,1419.4341106378356
58,3,4,40,6,690,15.14486391571554,329,0.07045654082528534,1428.4421435822637
59,3,4,40,7,712,15.62774363476734,324,0.07023705004389816,1441.93075675351
60,3,4,50,3,678,14.881474978050921,331,0.06913959613696224,1016.548680796977
61,3,4,50,4,782,17.16417910447761,318,0.06628621597892889,1273.6588098162324
62,3,4,50,5,878,19.271290605794558,314,0.06562774363476734,1343.0510465712762
63,3,4,50,6,943,20.697980684811238,311,0.06584723441615452,1441.1842022716553
64,3,4,50,7,971,21.312554872695348,301,0.06409130816505706,1386.600069966745
65,3,4,60,3,831,18.2396839332748,325,0.0660667251975417,1055.5190855953763
66,3,4,60,4,975,21.40035118525022,303,0.06189640035118525,1166.234871434759
67,3,4,60,5,1107,24.29762949956102,294,0.06233538191395961,1241.4308024142588
68,3,4,60,6,1224,26.865671641791046,290,0.058604038630377525,1376.8780207390785
69,3,4,60,7,1284,28.182616330114136,279,0.05684811237928007,1446.821725996053
70,3,4,70,3,915,20.08340649692713,322,0.06804214223002635,995.1199194838708
71,3,4,70,4,1097,24.078138718173836,296,0.06343283582089553,992.9491180874215
72,3,4,70,5,1282,28.1387181738367,286,0.0636523266022827,1270.672466018086
73,3,4,70,6,1417,31.101843722563654,274,0.05992098331870061,1130.2762977822833
74,3,4,70,7,1532,33.62598770851624,262,0.05816505706760316,1262.742598034174
75,3,5,30,3,304,6.672519754170325,383,0.08033362598770852,1325.5258421183025
76,3,5,30,4,337,7.396839332748025,379,0.07835820895522388,1274.5570473710334
77,3,5,30,5,354,7.769973661106233,374,0.07835820895522388,1226.1576951500142
78,3,5,30,6,369,8.099209833187006,372,0.0781387181738367,1233.0635406102829
79,3,5,30,7,380,8.340649692712907,370,0.0781387181738367,1232.036792802965
80,3,5,40,3,507,11.128182616330115,354,0.07396839332748024,1233.7548792022658
81,3,5,40,4,581,12.75241439859526,346,0.07155399473222125,1510.503056436549
82,3,5,40,5,622,13.652326602282704,339,0.07155399473222125,1435.8148355319572
83,3,5,40,6,662,14.53028972783143,337,0.07045654082528534,1420.10572154242
84,3,5,40,7,685,15.035118525021948,329,0.0695785776997366,1351.7242053121536
85,3,5,50,3,698,15.320456540825285,333,0.06892010535557506,1031.8040886836905
86,3,5,50,4,809,17.756804214223003,318,0.06650570676031607,1339.5615329502025
87,3,5,50,5,915,20.08340649692713,313,0.06628621597892889,1433.659385038976
88,3,5,50,6,995,21.83933274802458,311,0.06518876207199298,1543.0174577753771
89,3,5,50,7,1030,22.60755048287972,302,0.06321334503950835,1495.5514056186985
