,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
0,3,2,30,3,190,5.627962085308057,263,0.07671800947867298,7111.136882054085
1,3,2,30,4,199,5.894549763033176,262,0.07819905213270142,7138.6713217861
2,3,2,30,5,205,6.072274881516588,260,0.07671800947867298,6595.23134225703
3,3,2,30,6,210,6.220379146919432,260,0.07731042654028436,6828.095490004715
4,3,2,30,7,212,6.279620853080568,260,0.07671800947867298,7057.043587787801
5,3,2,40,3,233,6.901658767772512,259,0.07582938388625593,7476.020375676323
6,3,2,40,4,249,7.375592417061611,258,0.07701421800947868,7532.852320137742
7,3,2,40,5,259,7.671800947867299,256,0.07582938388625593,7016.013599838813
8,3,2,40,6,265,7.849526066350711,255,0.07612559241706161,7011.891189732398
9,3,2,40,7,268,7.938388625592417,255,0.07582938388625593,7239.657682593718
10,3,2,50,3,277,8.204976303317535,254,0.07345971563981042,7216.01377093454
11,3,2,50,4,299,8.856635071090047,252,0.07345971563981042,7548.34979066073
12,3,2,50,5,307,9.093601895734597,249,0.07227488151658767,6865.436883887433
13,3,2,50,6,318,9.419431279620854,248,0.07316350710900474,6980.145912966258
14,3,2,50,7,326,9.656398104265403,246,0.07168246445497631,6577.069293196392
15,3,2,60,3,369,10.930094786729859,244,0.07079383886255924,7052.82398508973
16,3,2,60,4,418,12.381516587677725,239,0.06723933649289099,7178.087266015849
17,3,2,60,5,444,13.151658767772512,234,0.06753554502369669,6515.805369044641
18,3,2,60,6,466,13.803317535545023,231,0.06723933649289099,6351.361957237257
19,3,2,60,7,483,14.306872037914692,228,0.06605450236966824,6219.596329642461
20,3,2,70,3,530,15.699052132701421,239,0.06605450236966824,6914.257154187392
21,3,2,70,4,605,17.920616113744074,227,0.06398104265402843,5284.1059615916765
22,3,2,70,5,661,19.579383886255926,217,0.06279620853080568,5037.288973689632
23,3,2,70,6,715,21.178909952606634,214,0.06309241706161138,5271.586055559749
24,3,2,70,7,763,22.600710900473935,209,0.06072274881516588,5193.175432934772
25,3,3,30,3,188,5.568720379146919,265,0.07731042654028436,7736.663968602021
26,3,3,30,4,201,5.953791469194313,265,0.07908767772511849,7637.758121110715
27,3,3,30,5,211,6.25,263,0.07790284360189574,7200.1795791825
28,3,3,30,6,215,6.368483412322274,262,0.07819905213270142,7156.964684525914
29,3,3,30,7,217,6.427725118483412,262,0.07819905213270142,7313.704905126525
30,3,3,40,3,257,7.612559241706161,256,0.07434834123222749,6847.769610869885
31,3,3,40,4,282,8.35308056872038,254,0.07434834123222749,7088.315508046018
32,3,3,40,5,292,8.649289099526067,248,0.07286729857819906,5933.093606340448
33,3,3,40,6,307,9.093601895734597,247,0.07316350710900474,6285.707339390472
34,3,3,40,7,316,9.360189573459715,245,0.07197867298578199,6050.855234428006
35,3,3,50,3,328,9.71563981042654,250,0.07168246445497631,7540.394156649101
36,3,3,50,4,373,11.048578199052132,246,0.07020142180094786,7895.686641745225
37,3,3,50,5,397,11.759478672985782,239,0.06812796208530805,6552.188889298792
38,3,3,50,6,426,12.618483412322275,237,0.06872037914691943,6683.059212950335
39,3,3,50,7,444,13.151658767772512,234,0.06723933649289099,6417.947229294208
40,3,3,60,3,495,14.662322274881516,239,0.06635071090047394,6599.634805885413
41,3,3,60,4,579,17.150473933649288,227,0.06575829383886256,5059.313873449615
42,3,3,60,5,642,19.01658767772512,217,0.06131516587677725,4839.186498527313
43,3,3,60,6,696,20.61611374407583,213,0.06398104265402843,5141.926227290844
44,3,3,60,7,741,21.94905213270142,208,0.059537914691943125,5150.8751493820255
45,3,3,70,3,641,18.98696682464455,235,0.061611374407582936,5514.563454211719
46,3,3,70,4,755,22.363744075829384,215,0.05894549763033175,3196.0397884653307
47,3,3,70,5,851,25.20734597156398,202,0.054502369668246446,3433.6652130056846
48,3,3,70,6,955,28.28791469194313,196,0.05509478672985782,3842.6754888290193
49,3,3,70,7,1024,30.33175355450237,187,0.052132701421800945,3834.057553657772
50,3,4,30,3,156,4.62085308056872,272,0.07908767772511849,7854.702386409154
51,3,4,30,4,169,5.0059241706161135,272,0.07997630331753554,7427.555217319599
52,3,4,30,5,176,5.213270142180095,271,0.07879146919431279,7317.200571010098
53,3,4,30,6,179,5.302132701421801,270,0.07938388625592417,7051.168815300897
54,3,4,30,7,182,5.390995260663507,270,0.07908767772511849,7212.006744036379
55,3,4,40,3,256,7.5829383886255926,257,0.07523696682464455,7284.420375732337
56,3,4,40,4,287,8.501184834123222,256,0.07523696682464455,7666.143152968969
57,3,4,40,5,301,8.915876777251185,249,0.07316350710900474,6041.0632102778145
58,3,4,40,6,318,9.419431279620854,247,0.07316350710900474,6403.968293676855
59,3,4,40,7,324,9.597156398104266,244,0.07168246445497631,6065.180828463846
60,3,4,50,3,361,10.693127962085308,247,0.06990521327014218,6695.892317139007
61,3,4,50,4,423,12.52962085308057,240,0.06812796208530805,6376.883047123218
62,3,4,50,5,464,13.744075829383887,232,0.06546208530805687,5330.462534085111
63,3,4,50,6,498,14.751184834123222,229,0.06664691943127962,5760.984234908259
64,3,4,50,7,523,15.49170616113744,225,0.06398104265402843,5454.5345239305425
65,3,4,60,3,568,16.824644549763033,239,0.06457345971563981,6156.991815072479
66,3,4,60,4,672,19.90521327014218,223,0.06427725118483413,3684.4914185148587
67,3,4,60,5,749,22.186018957345972,211,0.05835308056872038,3779.8911122764684
68,3,4,60,6,820,24.28909952606635,205,0.060130331753554506,4134.907535534038
69,3,4,60,7,867,25.68127962085308,198,0.057464454976303314,4457.466525107564
70,3,4,70,3,670,19.845971563981042,235,0.061611374407582936,5196.047983471261
71,3,4,70,4,801,23.726303317535546,214,0.05894549763033175,2904.0355047922153
72,3,4,70,5,914,27.07345971563981,200,0.05302132701421801,3032.623058118388
73,3,4,70,6,1049,31.072274881516588,196,0.054206161137440756,4046.529475681936
74,3,4,70,7,1128,33.41232227488152,184,0.0485781990521327,3682.127918796353
75,3,5,30,3,129,3.821090047393365,276,0.07849526066350711,7277.755920130169
76,3,5,30,4,137,4.058056872037914,276,0.07938388625592417,6847.864925044528
77,3,5,30,5,142,4.206161137440758,275,0.07819905213270142,6670.435884337362
78,3,5,30,6,145,4.295023696682464,274,0.07879146919431279,6427.918578376589
79,3,5,30,7,148,4.38388625592417,273,0.07849526066350711,6538.704564484836
80,3,5,40,3,244,7.2274881516587675,260,0.07434834123222749,7206.60690109938
81,3,5,40,4,275,8.145734597156398,259,0.07464454976303317,7442.129266387434
82,3,5,40,5,288,8.530805687203792,251,0.07257109004739337,5795.180610976601
83,3,5,40,6,308,9.123222748815166,249,0.07227488151658767,6097.541144623442
84,3,5,40,7,317,9.389810426540285,246,0.07109004739336493,5811.553830861759
85,3,5,50,3,374,11.078199052132701,247,0.07020142180094786,6875.744417239687
86,3,5,50,4,442,13.092417061611375,240,0.06872037914691943,6549.339201662404
87,3,5,50,5,481,14.247630331753555,232,0.06664691943127962,5314.5697797344
88,3,5,50,6,520,15.402843601895734,229,0.0669431279620853,5952.313834473166
89,3,5,50,7,550,16.291469194312796,225,0.06368483412322275,5559.597892832847
90,3,5,60,3,599,17.742890995260662,238,0.06279620853080568,5880.380956414248
91,3,5,60,4,708,20.971563981042653,220,0.06279620853080568,3323.214306996968
92,3,5,60,5,799,23.667061611374407,208,0.05539099526066351,3695.837659666661
93,3,5,60,6,893,26.451421800947866,201,0.05627962085308057,4082.775117479053
94,3,5,60,7,963,28.524881516587676,195,0.05479857819905213,4915.395670155764
95,3,5,70,3,684,20.260663507109005,234,0.06072274881516588,4934.532454569894
96,3,5,70,4,820,24.28909952606635,213,0.05835308056872038,2839.5218594939224
97,3,5,70,5,940,27.843601895734597,199,0.052132701421800945,3007.435430603893
98,3,5,70,6,1082,32.04976303317535,194,0.0533175355450237,4175.958451204975
99,3,5,70,7,1174,34.774881516587676,182,0.04739336492890995,3974.5495000523315
100,3,6,30,3,110,3.258293838862559,276,0.07849526066350711,6582.461475222027
101,3,6,30,4,118,3.495260663507109,276,0.07879146919431279,6168.491620408933
102,3,6,30,5,122,3.6137440758293837,274,0.07760663507109004,5627.225729288894
103,3,6,30,6,126,3.7322274881516586,273,0.07790284360189574,5460.35557243778
104,3,6,30,7,129,3.821090047393365,272,0.07760663507109004,5671.359111190818
105,3,6,40,3,226,6.694312796208531,262,0.07523696682464455,7483.483127039201
106,3,6,40,4,257,7.612559241706161,261,0.0764218009478673,7572.562119623576
107,3,6,40,5,270,7.997630331753554,254,0.07375592417061612,6062.1065925213725
108,3,6,40,6,290,8.590047393364928,252,0.07345971563981042,6191.998414584347
109,3,6,40,7,300,8.886255924170616,249,0.07168246445497631,5945.902220898601
110,3,6,50,3,385,11.404028436018958,247,0.06872037914691943,6572.43422373185
111,3,6,50,4,462,13.684834123222748,240,0.06812796208530805,6381.590330924089
112,3,6,50,5,503,14.899289099526067,231,0.06516587677725119,5145.680745184457
113,3,6,50,6,543,16.084123222748815,226,0.0648696682464455,5751.684379829022
114,3,6,50,7,578,17.120853080568722,221,0.06309241706161138,5480.720128924409
115,3,6,60,3,614,18.187203791469194,237,0.06338862559241706,5601.1137381010285
116,3,6,60,4,733,21.71208530805687,219,0.06101895734597156,3390.204336159217
117,3,6,60,5,835,24.73341232227488,207,0.05539099526066351,3631.6993934457646
118,3,6,60,6,936,27.725118483412324,200,0.055983412322274884,4101.339807016677
119,3,6,60,7,1007,29.828199052132703,191,0.052428909952606635,4638.7925530718085
120,3,6,70,3,696,20.61611374407583,234,0.06072274881516588,4805.212255045869
121,3,6,70,4,839,24.851895734597157,213,0.058056872037914695,2803.8681944112695
122,3,6,70,5,970,28.732227488151658,199,0.05124407582938389,2878.1156524143025
123,3,6,70,6,1105,32.731042654028435,191,0.052132701421800945,4000.7504159034884
124,3,6,70,7,1197,35.45616113744076,179,0.04768957345971564,4031.980088821249
125,3,7,30,3,91,2.6954976303317535,278,0.07849526066350711,6662.0615524848035
126,3,7,30,4,98,2.9028436018957344,278,0.07938388625592417,6519.914195592929
127,3,7,30,5,103,3.050947867298578,277,0.07819905213270142,6285.260621218859
128,3,7,30,6,107,3.169431279620853,276,0.07819905213270142,6266.769248641462
129,3,7,30,7,107,3.169431279620853,275,0.07760663507109004,6510.188772459893
130,3,7,40,3,212,6.279620853080568,266,0.0740521327014218,7502.459093821716
131,3,7,40,4,240,7.109004739336493,265,0.0764218009478673,7475.160546719763
132,3,7,40,5,254,7.523696682464455,260,0.07375592417061612,6281.873664158103
133,3,7,40,6,273,8.086492890995261,258,0.07286729857819906,6131.079976789403
134,3,7,40,7,284,8.412322274881516,254,0.07138625592417061,5521.414487498804
135,3,7,50,3,400,11.848341232227488,249,0.07020142180094786,5884.864677482245
136,3,7,50,4,480,14.218009478672986,241,0.06842417061611375,5445.104808538924
137,3,7,50,5,525,15.550947867298579,232,0.06546208530805687,4428.863882513542
138,3,7,50,6,573,16.972748815165875,227,0.06516587677725119,4913.602862800019
139,3,7,50,7,608,18.009478672985782,222,0.06309241706161138,4784.268839070459
140,3,7,60,3,623,18.453791469194314,236,0.061611374407582936,5559.845464805115
141,3,7,60,4,749,22.186018957345972,218,0.059537914691943125,3397.0211722938247
142,3,7,60,5,851,25.20734597156398,205,0.05568720379146919,3505.7227463602153
143,3,7,60,6,967,28.643364928909953,200,0.05361374407582938,4332.428697558053
144,3,7,60,7,1036,30.687203791469194,189,0.050651658767772514,4459.696017762307
145,3,7,70,3,697,20.645734597156398,234,0.06042654028436019,4786.768503171591
146,3,7,70,4,842,24.94075829383886,213,0.057760663507109004,2838.414686265203
147,3,7,70,5,976,28.90995260663507,199,0.050651658767772514,2899.7604815163227
148,3,7,70,6,1115,33.02725118483412,191,0.052132701421800945,4048.148811009671
149,3,7,70,7,1207,35.752369668246445,179,0.047097156398104266,3988.2492567986465
150,4,2,30,3,150,4.443127962085308,225,0.06605450236966824,6378.717167449503
151,4,2,30,4,158,4.680094786729858,224,0.06783175355450237,6350.05443778945
152,4,2,30,5,164,4.85781990521327,222,0.06635071090047394,5866.648871385338
153,4,2,30,6,169,5.0059241706161135,222,0.0669431279620853,6073.788260236942
154,4,2,30,7,171,5.065165876777251,222,0.06635071090047394,6277.444209476977
155,4,2,40,3,189,5.598341232227488,222,0.06605450236966824,6456.195669558862
156,4,2,40,4,204,6.042654028436019,221,0.06723933649289099,6677.300730241761
157,4,2,40,5,212,6.279620853080568,218,0.06635071090047394,5880.878465602897
