,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
0,3,2,30,3,327,9.55302366345311,278,0.07741747005550687,1057.1479678176668
1,3,2,30,4,352,10.283377154542798,275,0.07712532865907099,1095.6921224834614
2,3,2,30,5,369,10.780017528483786,273,0.07712532865907099,1069.3637539804145
3,3,2,30,6,379,11.07215892491966,267,0.07654104586619924,1000.0192286132768
4,3,2,30,7,389,11.364300321355536,267,0.07624890446976336,1022.7539249287371
5,3,2,40,3,384,11.2182296231376,273,0.07478819748758399,1040.9927562823705
6,3,2,40,4,428,12.503651767455448,268,0.07508033888401987,1121.9652905408775
7,3,2,40,5,454,13.263219398188724,264,0.07332749050540462,1100.873764794553
8,3,2,40,6,471,13.75985977212971,258,0.07449605609114812,1037.8781025807505
9,3,2,40,7,483,14.110429447852761,258,0.07303534910896874,1058.1807791423523
10,3,2,50,3,467,13.64300321355536,263,0.07303534910896874,986.1021170546825
11,3,2,50,4,524,15.308209173239849,258,0.07215892491966111,1103.7075642231591
12,3,2,50,5,569,16.622845457201286,252,0.06836108676599474,1106.968391931514
13,3,2,50,6,592,17.294770669003796,242,0.06894536955886649,964.1151672236418
14,3,2,50,7,609,17.791411042944784,242,0.06748466257668712,1011.1644177336008
15,3,2,60,3,553,16.155419222903884,260,0.07128250073035348,1024.0286457451655
16,3,2,60,4,640,18.697049371895996,253,0.07040607654104587,1133.888919246822
17,3,2,60,5,697,20.362255331580485,244,0.06602395559450774,1090.3167511164618
18,3,2,60,6,730,21.32632193981887,235,0.06573181419807186,1026.2927441160878
19,3,2,60,7,757,22.115103710195736,232,0.06456324861232837,1033.6935472076152
20,3,2,70,3,629,18.375693835816534,257,0.07215892491966111,980.1480766945881
21,3,2,70,4,736,21.501606777680397,249,0.06952965235173825,1086.8098744170375
22,3,2,70,5,810,23.663453111305873,239,0.067776803973123,1027.1582308911843
23,3,2,70,6,857,25.036517674554485,226,0.06397896581945661,984.0455073030264
24,3,2,70,7,892,26.059012562080046,221,0.06397896581945661,1017.7956166968468
25,3,3,30,3,338,9.874379199532573,280,0.07887817703768624,1087.6594967860897
26,3,3,30,4,373,10.896874087058135,275,0.07829389424481449,1134.2974183350043
27,3,3,30,5,395,11.539585159217062,273,0.07770961145194274,1137.6626345663856
28,3,3,30,6,409,11.948583114227286,265,0.07800175284837861,994.977692730469
29,3,3,30,7,421,12.299152789950336,265,0.07654104586619924,1017.3037539893182
30,3,3,40,3,431,12.591294186386211,272,0.07537248028045573,1123.9194704201961
31,3,3,40,4,490,14.314928425357873,267,0.07391177329827636,1233.725975971997
32,3,3,40,5,529,15.454279871457786,261,0.06952965235173825,1201.8925743570846
33,3,3,40,6,550,16.06777680397312,250,0.07099035933391762,1038.21452560441
34,3,3,40,7,572,16.71048787613205,249,0.06952965235173825,1084.5638284499485
35,3,3,50,3,536,15.658778848962898,262,0.06806894536955886,1013.404347305658
36,3,3,50,4,626,18.28805141688577,255,0.06806894536955886,1142.89883933648
37,3,3,50,5,684,19.98247151621385,245,0.06456324861232837,1061.0109081092558
38,3,3,50,6,723,21.12182296231376,235,0.06397896581945661,985.6018501578486
39,3,3,50,7,758,22.14431784983932,232,0.061933976044405495,1021.3510628432463
40,3,3,60,3,641,18.726263511539585,255,0.07011393514460999,951.0515555581213
41,3,3,60,4,756,22.085889570552148,247,0.06836108676599474,1025.2179688849844
42,3,3,60,5,843,24.62751971954426,235,0.06485539000876424,949.2935572578066
43,3,3,60,6,887,25.91294186386211,219,0.05930470347648262,893.2453135789302
44,3,3,60,7,934,27.28600642711072,213,0.05988898626935437,918.1819682529292
45,3,3,70,3,707,20.65439672801636,254,0.07332749050540462,974.1121590978426
46,3,3,70,4,857,25.036517674554485,244,0.06923751095530237,1070.2810428417235
47,3,3,70,5,965,28.191644756061933,231,0.06573181419807186,997.2478090503512
48,3,3,70,6,1027,30.00292141396436,214,0.061933976044405495,892.1056706182543
49,3,3,70,7,1103,32.223196026877005,205,0.06076541045866199,920.7772267577843
50,3,4,30,3,300,8.76424189307625,290,0.08063102541630149,1157.688424902233
51,3,4,30,4,332,9.69909436167105,285,0.07887817703768624,1174.8495753880031
52,3,4,30,5,351,10.254163014899211,282,0.07800175284837861,1186.464479122343
53,3,4,30,6,361,10.546304411335086,276,0.07887817703768624,1084.0042549587567
54,3,4,30,7,373,10.896874087058135,276,0.07683318726263512,1090.12167514926
55,3,4,40,3,433,12.649722465673387,273,0.07566462167689161,1166.995996772648
56,3,4,40,4,495,14.46099912357581,268,0.07537248028045573,1254.9905771941678
