,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
0,3,2,30,3,241,6.608171099533863,207,0.05127502056484782,1016.4743927922777
1,3,2,30,4,260,7.129147244310392,202,0.04990403071017274,1012.7569800628507
2,3,2,30,5,272,7.45818480943241,199,0.04853304085549767,1014.7924080510388
3,3,2,30,6,282,7.732382780367425,196,0.048258842884562655,1019.2474081414156
4,3,2,30,7,289,7.924321360021936,195,0.04798464491362764,1015.0786877892338
5,3,2,40,3,263,7.211406635590897,205,0.050452426652042776,1023.6212333427496
6,3,2,40,4,285,7.81464217164793,199,0.048258842884562655,1018.5608009465092
7,3,2,40,5,300,8.225939128050452,195,0.04688785302988758,1015.7823764873716
8,3,2,40,6,310,8.500137098985467,192,0.04688785302988758,1027.3243342092035
9,3,2,40,7,318,8.71949547573348,191,0.046339457088017545,1022.3673117654282
10,3,2,50,3,307,8.417877707704964,201,0.04853304085549767,1033.6806647395774
11,3,2,50,4,336,9.213051823416507,189,0.044968467233342475,1020.5198735303153
12,3,2,50,5,359,9.843707156567042,184,0.043871675349602415,1019.3305173870382
13,3,2,50,6,380,10.419522895530573,180,0.042774883465862355,1017.8362546716223
14,3,2,50,7,393,10.775980257746093,178,0.041952289553057305,1013.7815391492276
15,3,2,60,3,346,9.487249794351522,195,0.04798464491362764,1021.5018682503752
16,3,2,60,4,387,10.611461475185084,182,0.044145873320537425,1004.7243481905099
17,3,2,60,5,427,11.708253358925145,175,0.04332327940773238,1003.6337556223326
18,3,2,60,6,459,12.585686865917193,171,0.041952289553057305,1003.3371400518649
19,3,2,60,7,481,13.188922401974226,168,0.04030710172744722,997.474396986706
20,3,2,70,3,439,12.037290924047163,187,0.04222648752399232,1010.3986344440808
21,3,2,70,4,504,13.81957773512476,170,0.040855497669317245,996.8933811774501
22,3,2,70,5,567,15.547024952015356,164,0.03838771593090211,1004.4722963372609
23,3,2,70,6,606,16.616397038661916,161,0.037565122018097065,1006.6936726067341
24,3,2,70,7,641,17.576089936934466,154,0.03482314230874692,993.649300302946
25,3,3,30,3,229,6.279133534411845,210,0.05182341650671785,1017.9506446333224
26,3,3,30,4,251,6.8823690704688785,205,0.049355634768302716,1016.3962015269632
27,3,3,30,5,266,7.293666026871401,200,0.04798464491362764,1010.898047391376
28,3,3,30,6,274,7.513024403619413,198,0.04798464491362764,1023.1525325220615
29,3,3,30,7,282,7.732382780367425,197,0.04743624897175761,1018.2156397626566
30,3,3,40,3,283,7.759802577460927,202,0.04962983273923773,1025.2350295928022
