,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
0,3,2,30,3,101,2.7497958072420365,131,0.037026953444051186,1077.5605001741062
1,3,2,30,4,111,3.02205281786006,131,0.03811598148652328,1080.6067625983676
2,3,2,30,5,117,3.185407024230874,131,0.037026953444051186,1080.6850300732808
3,3,2,30,6,121,3.294309828478083,131,0.03811598148652328,1079.5123997173957
4,3,2,30,7,125,3.4032126327252925,131,0.037026953444051186,1079.454807453125
5,3,2,40,3,128,3.4848897359107,130,0.037299210454669204,1076.2031033212108
6,3,2,40,4,142,3.8660495507759323,130,0.037843724475905255,1079.4590855583504
7,3,2,40,5,150,4.083855159270351,130,0.037026953444051186,1079.4913560604439
8,3,2,40,6,157,4.274435066702968,129,0.037299210454669204,1077.247960018505
9,3,2,40,7,161,4.383337870950177,128,0.03675469643343316,1077.02116906417
10,3,2,50,3,168,4.573917778382794,128,0.034848897359107,1078.226017338145
11,3,2,50,4,190,5.172883201742445,125,0.03457664034848897,1075.0657021595161
12,3,2,50,5,201,5.47236591342227,123,0.03348761230601688,1077.605152704335
13,3,2,50,6,212,5.771848625102097,122,0.03321535529539885,1074.9473541337175
14,3,2,50,7,218,5.93520283147291,122,0.03267084127416281,1075.309118247891
15,3,2,60,3,210,5.717397222978492,128,0.031581813231690715,1081.5126791464781
16,3,2,60,4,239,6.5069425537707595,125,0.03321535529539885,1077.7760782499888
17,3,2,60,5,259,7.051456575006807,123,0.0302205281786006,1081.0483223539422
18,3,2,60,6,277,7.541519194119249,121,0.031581813231690715,1078.3543164719254
19,3,2,60,7,290,7.895453307922679,121,0.029131500136128505,1079.457465979218
20,3,2,70,3,302,8.222161720664307,126,0.031581813231690715,1078.0630537601241
21,3,2,70,4,352,9.583446773754424,122,0.032398584263544784,1051.6834757619247
22,3,2,70,5,386,10.509120609855703,119,0.029403757146746527,1069.880249515904
23,3,2,70,6,419,11.407568744895181,117,0.031581813231690715,1069.4717937287535
24,3,2,70,7,443,12.060985570378437,117,0.02804247209365641,1069.7699951623076
25,3,3,30,3,111,3.02205281786006,131,0.03675469643343316,1075.967773021839
26,3,3,30,4,125,3.4032126327252925,131,0.037299210454669204,1079.2230432825174
27,3,3,30,5,133,3.6210182412197116,131,0.036482439422815136,1079.2553067281112
28,3,3,30,6,140,3.811598148652328,130,0.03675469643343316,1077.0124012432643
29,3,3,30,7,144,3.920500952899537,129,0.03621018241219712,1076.7856598806684
30,3,3,40,3,156,4.247209365641165,129,0.03593792540157909,1078.1814104638886
31,3,3,40,4,175,4.764497685815409,128,0.03621018241219712,1081.1242405405444
32,3,3,40,5,183,4.982303294309829,126,0.03539341138034304,1080.8089638390875
33,3,3,40,6,193,5.2545603049278515,125,0.03539341138034304,1078.1071174197189
34,3,3,40,7,199,5.417914511298666,125,0.034848897359107,1078.469944924545
35,3,3,50,3,209,5.69017152191669,128,0.032398584263544784,1082.5146503099343
36,3,3,50,4,239,6.5069425537707595,125,0.033759869316634904,1079.5015429310363
37,3,3,50,5,259,7.051456575006807,123,0.03130955622107269,1082.834862027632
38,3,3,50,6,279,7.595970596242854,122,0.032943098284780835,1081.1196329680156
39,3,3,50,7,292,7.949904710046284,122,0.03049278518921862,1082.4324847959315
