,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259,3259
Period,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00,3247 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,104.88091931346446,104.59919981264675,104.59919981264675,102.09264702733991,100.0,104.88091931346446,105.45157600392828,105.45157600392828,105.45157600392828,105.45157600392828,104.88091931346446,105.45157600392828,105.45157600392828,105.45157600392828,105.45157600392828,105.83442263120546,105.83442263120546,105.83442263120546,105.83442263120546,105.83442263120546,105.83442263120546,105.83442263120546,105.83442263120546,105.83442263120546,105.83442263120546
Total Return [%],4.88091931346446,4.599199812646745,4.599199812646745,2.0926470273399076,0.0,4.88091931346446,5.451576003928281,5.451576003928281,5.451576003928281,5.451576003928281,4.88091931346446,5.451576003928281,5.451576003928281,5.451576003928281,5.451576003928281,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456
Benchmark Return [%],-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639,-5.834422631204639
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],486.33761463541623,489.1153592725083,489.1153592725083,514.5172889752388,,486.33761463541623,480.75724989870355,480.75724989870355,480.75724989870355,480.75724989870355,486.33761463541623,480.75724989870355,480.75724989870355,480.75724989870355,480.75724989870355,477.047778847517,477.047778847517,477.047778847517,477.047778847517,477.047778847517,477.047778847517,477.047778847517,477.047778847517,477.047778847517,477.047778847517
Max Drawdown Duration,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00,2613 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Open Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,4.88091931346446,4.599199812646745,4.599199812646745,2.0926470273399076,0.0,4.88091931346446,5.451576003928281,5.451576003928281,5.451576003928281,5.451576003928281,4.88091931346446,5.451576003928281,5.451576003928281,5.451576003928281,5.451576003928281,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456,5.834422631205456
Win Rate [%],,,,,,,,,,,,,,,,,,,,,,,,,
Best Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Worst Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpe Ratio,-0.23025736601962984,-0.23101295177452852,-0.23101295177452852,-0.23731489170142847,inf,-0.23025736601962984,-0.22870750005665122,-0.22870750005665122,-0.22870750005665122,-0.22870750005665122,-0.23025736601962984,-0.22870750005665122,-0.22870750005665122,-0.22870750005665122,-0.22870750005665122,-0.22763990684044783,-0.22763990684044783,-0.22763990684044783,-0.22763990684044783,-0.22763990684044783,-0.22763990684044783,-0.22763990684044783,-0.22763990684044783,-0.22763990684044783,-0.22763990684044783
Calmar Ratio,,,,,,,,,,,,,,,,,,,,,,,,,
Omega Ratio,0.7920437840133663,0.791550637041338,0.791550637041338,0.7878626945898718,inf,0.7920437840133663,0.7928515530907408,0.7928515530907408,0.7928515530907408,0.7928515530907408,0.7920437840133663,0.7928515530907408,0.7928515530907408,0.7928515530907408,0.7928515530907408,0.7935412407100713,0.7935412407100713,0.7935412407100713,0.7935412407100713,0.7935412407100713,0.7935412407100713,0.7935412407100713,0.7935412407100713,0.7935412407100713,0.7935412407100713
Sortino Ratio,-0.2377451946846414,-0.2384303871512786,-0.2384303871512786,-0.2441367946726079,inf,-0.2377451946846414,-0.23633966785921937,-0.23633966785921937,-0.23633966785921937,-0.23633966785921937,-0.2377451946846414,-0.23633966785921937,-0.23633966785921937,-0.23633966785921937,-0.23633966785921937,-0.23537070186383016,-0.23537070186383016,-0.23537070186383016,-0.23537070186383016,-0.23537070186383016,-0.23537070186383016,-0.23537070186383016,-0.23537070186383016,-0.23537070186383016,-0.23537070186383016
