,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607
End,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581
Period,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,99.13667207679423,99.13667207679423,99.13667207679423,102.59654595011015,100.0,99.13667207679423,99.13667207679423,99.13667207679423,100.16531171385772,100.16531171385772,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282,98.72571713519282
Total Return [%],-0.8633279232057731,-0.8633279232057731,-0.8633279232057731,2.596545950110155,0.0,-0.8633279232057731,-0.8633279232057731,-0.8633279232057731,0.1653117138577187,0.1653117138577187,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765
Benchmark Return [%],1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],17.787294662406197,17.787294662406197,17.787294662406197,16.64178267386463,,17.787294662406197,17.787294662406197,17.787294662406197,17.43910186248215,17.43910186248215,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964,17.928271359214964
Max Drawdown Duration,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00,786 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],0.0,0.0,0.0,100.0,,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Best Trade [%],-0.8633279232057731,-0.8633279232057731,-0.8633279232057731,2.596545950110155,,-0.8633279232057731,-0.8633279232057731,-0.8633279232057731,0.1653117138577187,0.1653117138577187,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765,-1.2742828648071765
