,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697
End,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280
Period,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,111.95651858100419,111.95651858100419,111.95651858100419,111.96735498931352,100.0,111.95651858100419,111.95651858100419,111.95651858100419,112.2339524283187,112.2339524283187,111.95651858100419,111.95651858100419,111.95651858100419,112.55039464381052,112.55039464381052,111.95651858100419,111.95651858100419,111.95651858100419,112.55039464381052,112.55039464381052,111.95651858100419,111.95651858100419,111.95651858100419,112.55039464381052,112.55039464381052
Total Return [%],11.95651858100419,11.95651858100419,11.95651858100419,11.96735498931352,0.0,11.95651858100419,11.95651858100419,11.95651858100419,12.233952428318702,12.233952428318702,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052
Benchmark Return [%],-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],12.06120319221059,12.06120319221059,12.06120319221059,12.058585662484479,,12.06120319221059,12.06120319221059,12.06120319221059,11.994343706290564,11.994343706290564,12.06120319221059,12.06120319221059,12.06120319221059,11.918474177973954,11.918474177973954,12.06120319221059,12.06120319221059,12.06120319221059,11.918474177973954,11.918474177973954,12.06120319221059,12.06120319221059,12.06120319221059,11.918474177973954,11.918474177973954
Max Drawdown Duration,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00,547 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052
Win Rate [%],100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,
Best Trade [%],11.95651858100419,11.95651858100419,11.95651858100419,11.967354989313522,,11.95651858100419,11.95651858100419,11.95651858100419,12.233952428318702,12.233952428318702,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052,,,,,,,,,,
Worst Trade [%],11.95651858100419,11.95651858100419,11.95651858100419,11.967354989313522,,11.95651858100419,11.95651858100419,11.95651858100419,12.233952428318702,12.233952428318702,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052,,,,,,,,,,
Avg Winning Trade [%],11.95651858100419,11.95651858100419,11.95651858100419,11.967354989313522,,11.95651858100419,11.95651858100419,11.95651858100419,12.233952428318702,12.233952428318702,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052,,,,,,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,1583 days 00:00:00,1583 days 00:00:00,1583 days 00:00:00,1570 days 00:00:00,,1583 days 00:00:00,1583 days 00:00:00,1583 days 00:00:00,1575 days 00:00:00,1575 days 00:00:00,1583 days 00:00:00,1583 days 00:00:00,1583 days 00:00:00,1581 days 00:00:00,1581 days 00:00:00,,,,,,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,inf,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,
Expectancy,11.95651858100419,11.95651858100419,11.95651858100419,11.96735498931352,,11.95651858100419,11.95651858100419,11.95651858100419,12.233952428318702,12.233952428318702,11.95651858100419,11.95651858100419,11.95651858100419,12.55039464381052,12.55039464381052,,,,,,,,,,
Sharpe Ratio,0.4046088864895125,0.4046088864895125,0.4046088864895125,0.40775875031508946,inf,0.4046088864895125,0.4046088864895125,0.4046088864895125,0.41622175372906595,0.41622175372906595,0.4046088864895125,0.4046088864895125,0.4046088864895125,0.4265080497083148,0.4265080497083148,0.4046088864895125,0.4046088864895125,0.4046088864895125,0.4265080497083148,0.4265080497083148,0.4046088864895125,0.4046088864895125,0.4046088864895125,0.4265080497083148,0.4265080497083148
Calmar Ratio,0.21860483977561124,0.21860483977561124,0.21860483977561124,0.21884212125466423,,0.21860483977561124,0.21860483977561124,0.21860483977561124,0.224704973152227,0.224704973152227,0.21860483977561124,0.21860483977561124,0.21860483977561124,0.23172737277717229,0.23172737277717229,0.21860483977561124,0.21860483977561124,0.21860483977561124,0.23172737277717229,0.23172737277717229,0.21860483977561124,0.21860483977561124,0.21860483977561124,0.23172737277717229,0.23172737277717229
Omega Ratio,1.0574294259246393,1.0574294259246393,1.0574294259246393,1.058211504022731,inf,1.0574294259246393,1.0574294259246393,1.0574294259246393,1.0593417781899799,1.0593417781899799,1.0574294259246393,1.0574294259246393,1.0574294259246393,1.060692674660219,1.060692674660219,1.0574294259246393,1.0574294259246393,1.0574294259246393,1.060692674660219,1.060692674660219,1.0574294259246393,1.0574294259246393,1.0574294259246393,1.060692674660219,1.060692674660219
Sortino Ratio,0.5896028639810478,0.5896028639810478,0.5896028639810478,0.5946914520035987,inf,0.5896028639810478,0.5896028639810478,0.5896028639810478,0.6069803520440582,0.6069803520440582,0.5896028639810478,0.5896028639810478,0.5896028639810478,0.6218608040614982,0.6218608040614982,0.5896028639810478,0.5896028639810478,0.5896028639810478,0.6218608040614982,0.6218608040614982,0.5896028639810478,0.5896028639810478,0.5896028639810478,0.6218608040614982,0.6218608040614982
