,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705
End,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292
Period,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,108.75043243736327,108.75043243736327,109.87541338974361,109.87541338974361,100.0,108.75043243736327,108.75043243736327,109.31545396178996,109.31545396178996,109.31545396178996,108.75043243736327,108.75043243736327,109.53412569948034,109.53412569948034,109.53412569948034,108.75043243736327,108.75043243736327,109.53412569948034,109.53412569948034,109.53412569948034,108.75043243736327,108.75043243736327,109.06390667702551,109.06390667702551,109.06390667702551
Total Return [%],8.750432437363273,8.750432437363273,9.875413389743613,9.875413389743613,0.0,8.750432437363273,8.750432437363273,9.315453961789956,9.315453961789956,9.315453961789956,8.750432437363273,8.750432437363273,9.534125699480342,9.534125699480342,9.534125699480342,8.750432437363273,8.750432437363273,9.534125699480342,9.534125699480342,9.534125699480342,8.750432437363273,8.750432437363273,9.063906677025514,9.063906677025514,9.063906677025514
Benchmark Return [%],-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],16.85590657743605,16.85590657743605,16.50382059852098,16.50382059852098,,16.85590657743605,16.85590657743605,16.678305341937303,16.678305341937303,16.678305341937303,16.85590657743605,16.85590657743605,16.6099870727191,16.6099870727191,16.6099870727191,16.85590657743605,16.85590657743605,16.6099870727191,16.6099870727191,16.6099870727191,16.85590657743605,16.85590657743605,16.757181181705167,16.757181181705167,16.757181181705167
