,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744
Period,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,107.87590720777872,107.87590720777872,107.87590720777872,107.87590720777872,100.0,107.87590720777872,107.87590720777872,107.87590720777872,107.87590720777872,106.25716101171776,107.87590720777872,107.87590720777872,107.87590720777872,107.87590720777872,106.70173542939109,107.87590720777872,107.87590720777872,107.87590720777872,107.87590720777872,107.08730041505522,107.87590720777872,107.87590720777872,107.87590720777872,107.87590720777872,107.08730041505522
Total Return [%],7.875907207778724,7.875907207778724,7.875907207778724,7.875907207778724,0.0,7.875907207778724,7.875907207778724,7.875907207778724,7.875907207778724,6.257161011717756,7.875907207778724,7.875907207778724,7.875907207778724,7.875907207778724,6.701735429391093,7.875907207778724,7.875907207778724,7.875907207778724,7.875907207778724,7.087300415055226,7.875907207778724,7.875907207778724,7.875907207778724,7.875907207778724,7.087300415055226
Benchmark Return [%],-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],29.7073903842182,29.7073903842182,29.7073903842182,29.7073903842182,,29.7073903842182,29.7073903842182,29.7073903842182,29.7073903842182,30.5007114113949,29.7073903842182,29.7073903842182,29.7073903842182,29.7073903842182,30.281417773039376,29.7073903842182,29.7073903842182,29.7073903842182,29.7073903842182,30.092102895677677,29.7073903842182,29.7073903842182,29.7073903842182,29.7073903842182,30.092102895677677
