,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742
Period,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00,3729 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,130.8781797918931,130.46181255746262,129.02618632244634,128.66885260988232,100.0,130.8781797918931,130.46181255746262,129.02618632244634,128.66885260988232,129.79880031781983,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634,132.27493321404634
Total Return [%],30.87817979189309,30.461812557462608,29.026186322446335,28.668852609882332,0.0,30.87817979189309,30.461812557462608,29.026186322446335,28.668852609882332,29.798800317819822,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634
Benchmark Return [%],-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632,-32.27493321404632
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],15.503327976089842,15.631038205893471,16.075723896269846,16.187467066784706,,15.503327976089842,15.631038205893471,16.075723896269846,16.187467066784706,15.835564874060784,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054,15.078975424618054
Max Drawdown Duration,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Open Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,30.87817979189309,30.461812557462608,29.026186322446335,28.668852609882336,0.0,30.87817979189309,30.461812557462608,29.026186322446335,28.668852609882336,29.798800317819826,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634,32.27493321404634
Win Rate [%],,,,,,,,,,,,,,,,,,,,,,,,,
Best Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Worst Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpe Ratio,0.3286914635991945,0.32306601018772074,0.3043099859509365,0.30016565492046365,inf,0.3286914635991945,0.32306601018772074,0.3043099859509365,0.30016565492046365,0.315216376363883,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866,0.34811767963584866
Calmar Ratio,0.17215362397995734,0.1686988175852683,0.15712102492321992,0.1543173355907664,,0.17215362397995734,0.1686988175852683,0.15712102492321992,0.1543173355907664,0.16328844581296098,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456,0.18407683091230456
Omega Ratio,1.0533105970216239,1.0524236231588557,1.0493461916485998,1.0487079089408333,inf,1.0533105970216239,1.0524236231588557,1.0493461916485998,1.0487079089408333,1.0513042414114508,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404,1.0564999743371404
Sortino Ratio,0.5055701025595561,0.4968753464757125,0.46757179452492276,0.46141199833787533,inf,0.5055701025595561,0.4968753464757125,0.46757179452492276,0.46141199833787533,0.48504731695126824,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012,0.5361983353455012
