,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978
End,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683
Period,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,89.99832832495622,90.49298779497288,90.75598549285716,90.75598549285716,100.0,89.99832832495622,90.49298779497288,90.75598549285716,90.75598549285716,91.48536957705939,89.99832832495622,90.49298779497288,90.75598549285716,90.75598549285716,91.07024076700719,89.99832832495622,90.25038074614088,90.25038074614088,90.25038074614088,90.25038074614088,90.13868498464564,90.13868498464564,90.13868498464564,90.13868498464564,90.13868498464564
Total Return [%],-10.00167167504378,-9.507012205027124,-9.244014507142836,-9.244014507142836,0.0,-10.00167167504378,-9.507012205027124,-9.244014507142836,-9.244014507142836,-8.514630422940613,-10.00167167504378,-9.507012205027124,-9.244014507142836,-9.244014507142836,-8.929759232992808,-10.00167167504378,-9.749619253859123,-9.749619253859123,-9.749619253859123,-9.749619253859123,-9.861315015354364,-9.861315015354364,-9.861315015354364,-9.861315015354364,-9.861315015354364
Benchmark Return [%],9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],15.404953363883653,15.273132434695583,15.203483521923808,15.203483521923808,,15.404953363883653,15.273132434695583,15.203483521923808,15.203483521923808,15.011890546208924,15.404953363883653,15.273132434695583,15.203483521923808,15.203483521923808,15.120654444012976,15.404953363883653,15.33764972902841,15.33764972902841,15.33764972902841,15.33764972902841,15.367440379114218,15.367440379114218,15.367440379114218,15.367440379114218,15.367440379114218
