,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017
Period,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,99.6976797188949,99.6976797188949,99.6976797188949,99.6976797188949,100.0,99.6976797188949,99.6976797188949,99.6976797188949,99.6976797188949,99.70025509892174,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489,99.70282421531489
Total Return [%],-0.30232028110509646,-0.30232028110509646,-0.30232028110509646,-0.30232028110509646,0.0,-0.30232028110509646,-0.30232028110509646,-0.30232028110509646,-0.30232028110509646,-0.299744901078256,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091
Benchmark Return [%],0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],2.41443954267071,2.41443954267071,2.41443954267071,2.41443954267071,,2.41443954267071,2.41443954267071,2.41443954267071,2.41443954267071,2.414317998898517,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816,2.4141967567090816
Max Drawdown Duration,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00,2429 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Open Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-0.30232028110509646,-0.30232028110509646,-0.30232028110509646,-0.30232028110509646,0.0,-0.30232028110509646,-0.30232028110509646,-0.30232028110509646,-0.30232028110509646,-0.299744901078256,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091,-0.2971757846851091
Win Rate [%],,,,,,,,,,,,,,,,,,,,,,,,,
Best Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Worst Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpe Ratio,-0.012483305269877634,-0.012483305269877634,-0.012483305269877634,-0.012483305269877634,inf,-0.012483305269877634,-0.012483305269877634,-0.012483305269877634,-0.012483305269877634,-0.012317997410018546,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519,-0.012153055199369519
Calmar Ratio,-0.011415769885574483,-0.011415769885574483,-0.011415769885574483,-0.011415769885574483,,-0.011415769885574483,-0.011415769885574483,-0.011415769885574483,-0.011415769885574483,-0.011318959202516857,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282,-0.011222376512829282
