,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981
End,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114
Period,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,72.78902963249644,70.54232118585756,70.54232118585756,70.54232118585756,100.0,72.78902963249644,70.54232118585756,70.54232118585756,70.54232118585756,65.51463129680036,72.78902963249644,70.54232118585756,70.54232118585756,70.54232118585756,65.51463129680036,72.78902963249644,74.7997252306686,74.7997252306686,74.7997252306686,74.7997252306686,72.78902963249644,74.7997252306686,74.7997252306686,74.7997252306686,74.7997252306686
Total Return [%],-27.210970367503563,-29.45767881414244,-29.45767881414244,-29.45767881414244,0.0,-27.210970367503563,-29.45767881414244,-29.45767881414244,-29.45767881414244,-34.48536870319964,-27.210970367503563,-29.45767881414244,-29.45767881414244,-29.45767881414244,-34.48536870319964,-27.210970367503563,-25.2002747693314,-25.2002747693314,-25.2002747693314,-25.2002747693314,-27.210970367503563,-25.2002747693314,-25.2002747693314,-25.2002747693314,-25.2002747693314
Benchmark Return [%],27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],37.5052531793245,38.66214282428077,38.66214282428077,38.66214282428077,,37.5052531793245,38.66214282428077,38.66214282428077,38.66214282428077,41.362877149175056,37.5052531793245,38.66214282428077,38.66214282428077,38.66214282428077,41.362877149175056,37.5052531793245,36.49470275985584,36.49470275985584,36.49470275985584,36.49470275985584,37.5052531793245,36.49470275985584,36.49470275985584,36.49470275985584,36.49470275985584
Max Drawdown Duration,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00,1988 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Open Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-27.210970367503563,-29.45767881414244,-29.45767881414244,-29.45767881414244,0.0,-27.210970367503563,-29.45767881414244,-29.45767881414244,-29.45767881414244,-34.48536870319964,-27.210970367503563,-29.45767881414244,-29.45767881414244,-29.45767881414244,-34.48536870319964,-27.210970367503563,-25.2002747693314,-25.2002747693314,-25.2002747693314,-25.2002747693314,-27.210970367503563,-25.2002747693314,-25.2002747693314,-25.2002747693314,-25.2002747693314
Win Rate [%],,,,,,,,,,,,,,,,,,,,,,,,,
Best Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Worst Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
