,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696
End,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279
Period,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,73.01900221694635,73.01900221694635,73.01900221694635,73.01900221694635,100.0,73.01900221694635,73.01900221694635,73.01900221694635,73.01900221694635,74.90508437139442,73.01900221694635,73.01900221694635,73.01900221694635,73.01900221694635,73.59999771564328,73.01900221694635,73.01900221694635,73.01900221694635,73.01900221694635,73.32145597461707,73.01900221694635,73.01900221694635,73.01900221694635,73.01900221694635,73.32145597461707
Total Return [%],-26.980997783053652,-26.980997783053652,-26.980997783053652,-26.980997783053652,0.0,-26.980997783053652,-26.980997783053652,-26.980997783053652,-26.980997783053652,-25.094915628605573,-26.980997783053652,-26.980997783053652,-26.980997783053652,-26.980997783053652,-26.400002284356717,-26.980997783053652,-26.980997783053652,-26.980997783053652,-26.980997783053652,-26.678544025382934,-26.980997783053652,-26.980997783053652,-26.980997783053652,-26.980997783053652,-26.678544025382934
Benchmark Return [%],26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],36.334601254858136,36.334601254858136,36.334601254858136,36.334601254858136,,36.334601254858136,36.334601254858136,36.334601254858136,36.334601254858136,35.280764901953724,36.334601254858136,36.334601254858136,36.334601254858136,36.334601254858136,36.00671484135827,36.334601254858136,36.334601254858136,36.334601254858136,36.334601254858136,36.16354413963666,36.334601254858136,36.334601254858136,36.334601254858136,36.334601254858136,36.16354413963666
Max Drawdown Duration,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00,1567 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Open Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
