,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00
End,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00,2023-09-05 01:00:00+00:00
Period,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00,8656 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,113.50228118852485,113.47138385396076,113.47588329089119,113.47588329089119,100.0,113.50228118852485,113.47138385396076,113.55183852674823,113.55183852674823,113.55183852674823,113.50228118852485,113.47138385396076,113.582097542695,113.582097542695,113.582097542695,113.50228118852485,113.47138385396076,113.582097542695,113.582097542695,113.582097542695,113.50228118852485,113.42439954049746,113.42439954049746,113.42439954049746,113.42439954049746
Total Return [%],13.502281188524847,13.471383853960758,13.475883290891188,13.475883290891188,0.0,13.502281188524847,13.471383853960758,13.551838526748227,13.551838526748227,13.551838526748227,13.502281188524847,13.471383853960758,13.582097542694996,13.582097542694996,13.582097542694996,13.502281188524847,13.471383853960758,13.582097542694996,13.582097542694996,13.582097542694996,13.502281188524847,13.424399540497461,13.424399540497461,13.424399540497461,13.424399540497461
Benchmark Return [%],-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229,-13.56214169984229
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],10.923098602653065,10.929790799337754,10.928816032848426,10.928816032848426,,10.923098602653065,10.929790799337754,10.91237188231765,10.91237188231765,10.91237188231765,10.923098602653065,10.929790799337754,10.905826614009108,10.905826614009108,10.905826614009108,10.923098602653065,10.929790799337754,10.905826614009108,10.905826614009108,10.905826614009108,10.923098602653065,10.939973902414406,10.939973902414406,10.939973902414406,10.939973902414406
Max Drawdown Duration,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00,5467 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Open Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,13.502281188524847,13.47138385396076,13.47588329089119,13.47588329089119,0.0,13.502281188524847,13.47138385396076,13.551838526748227,13.551838526748227,13.551838526748227,13.502281188524847,13.47138385396076,13.582097542694996,13.582097542694996,13.582097542694996,13.502281188524847,13.47138385396076,13.582097542694996,13.582097542694996,13.582097542694996,13.502281188524847,13.424399540497461,13.424399540497461,13.424399540497461,13.424399540497461
Win Rate [%],,,,,,,,,,,,,,,,,,,,,,,,,
Best Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Worst Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
