,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00
End,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00,2023-09-04 04:00:00+00:00
Period,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00,8653 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,97.64069460406239,97.64069460406239,97.79720849585493,97.7165661807094,100.0,97.67252447526026,97.67252447526026,97.67252447526026,97.67252447526026,97.67252447526026,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974,97.57084326868974
Total Return [%],-2.3593053959376107,-2.3593053959376107,-2.2027915041450683,-2.283433819290593,0.0,-2.3274755247397394,-2.3274755247397394,-2.3274755247397394,-2.3274755247397394,-2.3274755247397394,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576
Benchmark Return [%],2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105,2.4291567313105
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],11.1117681536628,11.1117681536628,11.078232429721194,11.095498896470946,,11.104939958638782,11.104939958638782,11.104939958638782,11.104939958638782,11.104939958638782,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027,11.126767322816027
Max Drawdown Duration,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00,8566 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Open Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-2.3593053959376107,-2.3593053959376107,-2.2027915041450683,-2.283433819290593,0.0,-2.3274755247397394,-2.3274755247397394,-2.3274755247397394,-2.3274755247397394,-2.3274755247397394,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576,-2.4291567313102576
Win Rate [%],,,,,,,,,,,,,,,,,,,,,,,,,
Best Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Worst Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpe Ratio,-0.03804644376400292,-0.03804644376400292,-0.034981546965398215,-0.036567447519505816,inf,-0.03742258843359093,-0.03742258843359093,-0.03742258843359093,-0.03742258843359093,-0.03742258843359093,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486,-0.039408985361435486
Calmar Ratio,-0.0090590514912034,-0.0090590514912034,-0.008477208510212882,-0.008777330232857827,,-0.00894093906157106,-0.00894093906157106,-0.00894093906157106,-0.00894093906157106,-0.00894093906157106,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395,-0.009317866591233395
