,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00
End,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00,2024-04-10 18:00:00+00:00
Period,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00,3698 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,100.47250338962377,100.47250338962377,100.56915325139764,100.56915325139764,100.0,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591,99.90335219435967,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591,100.56915325139764,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591,100.46177002524591
Total Return [%],0.4725033896237676,0.4725033896237676,0.569153251397637,0.569153251397637,0.0,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116,-0.09664780564033038,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.569153251397637,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116,0.4617700252459116
Benchmark Return [%],-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784,-0.4617700252451784
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],6.09981830643078,6.09981830643078,6.088338649672642,6.088338649672642,,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017,6.167846933873187,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017,6.088338649672642,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017,6.101094462267017
