,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00
End,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00
Period,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,100.56922114238071,100.56922114238071,100.56922114238071,100.73722428647874,100.0,100.56922114238071,100.56922114238071,100.56922114238071,100.7798501204029,100.7798501204029,100.56922114238071,100.56922114238071,100.56922114238071,100.67830068623314,100.67830068623314,100.52282950280028,100.52282950280028,100.52282950280028,100.52282950280028,100.52282950280028,100.51906586682713,100.51906586682713,100.51906586682713,100.51906586682713,100.51906586682713
Total Return [%],0.5692211423807123,0.5692211423807123,0.5692211423807123,0.7372242864787353,0.0,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.779850120402898,0.779850120402898,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.6783006862331433,0.6783006862331433,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.519065866827134,0.519065866827134,0.519065866827134,0.519065866827134,0.519065866827134
Benchmark Return [%],-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],6.280539228173149,6.280539228173149,6.280539228173149,6.260240865980215,,6.280539228173149,6.280539228173149,6.280539228173149,6.255100727560242,6.255100727560242,6.280539228173149,6.280539228173149,6.280539228173149,6.267352948432264,6.267352948432264,6.286155399800047,6.286155399800047,6.286155399800047,6.286155399800047,6.286155399800047,6.286611236112724,6.286611236112724,6.286611236112724,6.286611236112724,6.286611236112724
