,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00
End,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00
Period,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,99.54383533658803,99.54383533658803,99.54383533658803,99.54383533658803,100.0,99.54383533658803,99.54383533658803,99.54383533658803,99.54383533658803,99.89238868070633,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407,99.44633701717407
Total Return [%],-0.45616466341196826,-0.45616466341196826,-0.45616466341196826,-0.45616466341196826,0.0,-0.45616466341196826,-0.45616466341196826,-0.45616466341196826,-0.45616466341196826,-0.1076113192936674,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265,-0.5536629828259265
Benchmark Return [%],0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],3.605712802680921,3.605712802680921,3.605712802680921,3.605712802680921,,3.605712802680921,3.605712802680921,3.605712802680921,3.605712802680921,3.5815325601420254,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147,3.6125047961601147
