,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00
End,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00
Period,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,105.44900763428824,105.44900763428824,105.44900763428824,105.44900763428824,100.0,105.44900763428824,105.44900763428824,105.44900763428824,105.44900763428824,105.34882824923814,105.49951738005002,105.49951738005002,105.49951738005002,105.49951738005002,105.49951738005002,105.42170702073149,105.42170702073149,105.42170702073149,105.42170702073149,105.42170702073149,105.42170702073149,105.42170702073149,105.42170702073149,105.42170702073149,105.42170702073149
Total Return [%],5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,0.0,5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,5.348828249238139,5.4995173800500226,5.4995173800500226,5.4995173800500226,5.4995173800500226,5.4995173800500226,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489
Benchmark Return [%],-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],9.055584079166653,9.055584079166653,9.055584079166653,9.055584079166653,,9.055584079166653,9.055584079166653,9.055584079166653,9.055584079166653,9.074664118149805,9.045979174222007,9.045979174222007,9.045979174222007,9.045979174222007,9.045979174222007,9.060779764514756,9.060779764514756,9.060779764514756,9.060779764514756,9.060779764514756,9.060779764514756,9.060779764514756,9.060779764514756,9.060779764514756,9.060779764514756
