,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 01:00:00+00:00
End,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00,2024-04-10 15:00:00+00:00
Period,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00,2006 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,100.65510180652997,100.77366011701284,100.77366011701284,100.64281716689793,100.0,100.65510180652997,100.77366011701284,100.77366011701284,100.64281716689793,100.67828989158909,100.65510180652997,100.64418372295829,100.64418372295829,100.64418372295829,100.64418372295829,100.65510180652997,100.64418372295829,100.64418372295829,100.64418372295829,100.64418372295829,100.74370450359156,100.74370450359156,100.74370450359156,100.74370450359156,100.74370450359156
Total Return [%],0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,0.0,0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,0.6782898915890883,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588
Benchmark Return [%],-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025,-0.7437045035914025
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],1.920938214409165,1.9164743713639176,1.9164743713639176,1.921401322221582,,1.920938214409165,1.9164743713639176,1.9164743713639176,1.921401322221582,1.9200643634775563,1.920938214409165,1.9213498002521756,1.9213498002521756,1.9213498002521756,1.9213498002521756,1.920938214409165,1.9213498002521756,1.9213498002521756,1.9213498002521756,1.9213498002521756,1.9176012770032564,1.9176012770032564,1.9176012770032564,1.9176012770032564,1.9176012770032564
Max Drawdown Duration,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00,822 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Best Trade [%],0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,,0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,0.6782898915890883,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588
Worst Trade [%],0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,,0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,0.6782898915890883,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588
Avg Winning Trade [%],0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,,0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,0.6782898915890883,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,2003 days 00:00:00,1998 days 00:00:00,1998 days 00:00:00,1993 days 00:00:00,,2003 days 00:00:00,1998 days 00:00:00,1998 days 00:00:00,1993 days 00:00:00,1975 days 00:00:00,2003 days 00:00:00,2002 days 00:00:00,2002 days 00:00:00,2002 days 00:00:00,2002 days 00:00:00,2003 days 00:00:00,2002 days 00:00:00,2002 days 00:00:00,2002 days 00:00:00,2002 days 00:00:00,2005 days 00:00:00,2005 days 00:00:00,2005 days 00:00:00,2005 days 00:00:00,2005 days 00:00:00
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,inf,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Expectancy,0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,,0.6551018065299701,0.7736601170128381,0.7736601170128381,0.6428171668979275,0.6782898915890883,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6551018065299701,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.6441837229582887,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588,0.7437045035915588
Sharpe Ratio,0.12745907068168394,0.1499792434689357,0.1499792434689357,0.12537655758212637,inf,0.12745907068168394,0.1499792434689357,0.1499792434689357,0.12537655758212637,0.13284655331469455,0.12745907068168394,0.12539801198983033,0.12539801198983033,0.12539801198983033,0.12539801198983033,0.12745907068168394,0.12539801198983033,0.12539801198983033,0.12539801198983033,0.12539801198983033,0.143903524210503,0.143903524210503,0.143903524210503,0.143903524210503,0.143903524210503
Calmar Ratio,0.061886608953129404,0.07322157675061228,0.07322157675061228,0.06071449341470524,,0.061886608953129404,0.07322157675061228,0.07322157675061228,0.06071449341470524,0.0641002719664139,0.061886608953129404,0.06084485871413252,0.06084485871413252,0.06084485871413252,0.06084485871413252,0.061886608953129404,0.06084485871413252,0.06084485871413252,0.06084485871413252,0.06084485871413252,0.07035368901765823,0.07035368901765823,0.07035368901765823,0.07035368901765823,0.07035368901765823
Omega Ratio,1.0255417064999428,1.0301851432243274,1.0301851432243274,1.0252240290871062,inf,1.0255417064999428,1.0301851432243274,1.0301851432243274,1.0252240290871062,1.027006852487911,1.0255417064999428,1.0251284172041424,1.0251284172041424,1.0251284172041424,1.0251284172041424,1.0255417064999428,1.0251284172041424,1.0251284172041424,1.0251284172041424,1.0251284172041424,1.0288438525784325,1.0288438525784325,1.0288438525784325,1.0288438525784325,1.0288438525784325
Sortino Ratio,0.21647773625783276,0.25499164004778063,0.25499164004778063,0.2128835446304949,inf,0.21647773625783276,0.25499164004778063,0.25499164004778063,0.2128835446304949,0.22581779453783607,0.21647773625783276,0.21297496005392827,0.21297496005392827,0.21297496005392827,0.21297496005392827,0.21647773625783276,0.21297496005392827,0.21297496005392827,0.21297496005392827,0.21297496005392827,0.24476581753887322,0.24476581753887322,0.24476581753887322,0.24476581753887322,0.24476581753887322
