,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00
End,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00
Period,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,100.03419654930596,100.03419654930596,100.03419654930596,100.03419654930596,100.0,100.03419654930596,100.03419654930596,100.03419654930596,100.03419654930596,100.05854755355648,100.03419654930596,100.03419654930596,100.03419654930596,100.03419654930596,100.05854755355648,100.0343242634215,100.0343242634215,100.0343242634215,100.0343242634215,100.0343242634215,100.0343242634215,100.0343242634215,100.0343242634215,100.0343242634215,100.0343242634215
Total Return [%],0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.0,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.05854755355647967,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.05854755355647967,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597
Benchmark Return [%],-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],0.6166584204584611,0.6166584204584611,0.6166584204584611,0.6166584204584611,,0.6166584204584611,0.6166584204584611,0.6166584204584611,0.6166584204584611,0.6163600191095414,0.6166584204584611,0.6166584204584611,0.6166584204584611,0.6166584204584611,0.6163600191095414,0.6166568550536645,0.6166568550536645,0.6166568550536645,0.6166568550536645,0.6166568550536645,0.6166568550536645,0.6166568550536645,0.6166568550536645,0.6166568550536645,0.6166568550536645
Max Drawdown Duration,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00,2291 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Open Trades,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.05854755355647967,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597,0.03432426342149597
Win Rate [%],100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,
Best Trade [%],0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.05854755355647967,,,,,,,,,,,,,,,
Worst Trade [%],0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.05854755355647967,,,,,,,,,,,,,,,
Avg Winning Trade [%],0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.05854755355647967,,,,,,,,,,,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,3685 days 00:00:00,3685 days 00:00:00,3685 days 00:00:00,3685 days 00:00:00,,3685 days 00:00:00,3685 days 00:00:00,3685 days 00:00:00,3685 days 00:00:00,3679 days 00:00:00,,,,,,,,,,,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,
Expectancy,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.03419654930596039,0.05854755355647967,,,,,,,,,,,,,,,
Sharpe Ratio,0.016828085202166214,0.016828085202166214,0.016828085202166214,0.016828085202166214,inf,0.016828085202166214,0.016828085202166214,0.016828085202166214,0.016828085202166214,0.02810795036873016,0.016828085202166214,0.016828085202166214,0.016828085202166214,0.016828085202166214,0.02810795036873016,0.01688694952740067,0.01688694952740067,0.01688694952740067,0.01688694952740067,0.01688694952740067,0.01688694952740067,0.01688694952740067,0.01688694952740067,0.01688694952740067,0.01688694952740067
Calmar Ratio,0.005488964841029647,0.005488964841029647,0.005488964841029647,0.005488964841029647,,0.005488964841029647,0.005488964841029647,0.005488964841029647,0.005488964841029647,0.009401117879210693,0.005488964841029647,0.005488964841029647,0.005488964841029647,0.005488964841029647,0.009401117879210693,0.005509475337129997,0.005509475337129997,0.005509475337129997,0.005509475337129997,0.005509475337129997,0.005509475337129997,0.005509475337129997,0.005509475337129997,0.005509475337129997,0.005509475337129997
Omega Ratio,1.0025653551047145,1.0025653551047145,1.0025653551047145,1.0025653551047145,inf,1.0025653551047145,1.0025653551047145,1.0025653551047145,1.0025653551047145,1.004292064445186,1.0025653551047145,1.0025653551047145,1.0025653551047145,1.0025653551047145,1.004292064445186,1.002574328707553,1.002574328707553,1.002574328707553,1.002574328707553,1.002574328707553,1.002574328707553,1.002574328707553,1.002574328707553,1.002574328707553,1.002574328707553
Sortino Ratio,0.023828610365168642,0.023828610365168642,0.023828610365168642,0.023828610365168642,inf,0.023828610365168642,0.023828610365168642,0.023828610365168642,0.023828610365168642,0.03981742888222714,0.023828610365168642,0.023828610365168642,0.023828610365168642,0.023828610365168642,0.03981742888222714,0.023911962738612156,0.023911962738612156,0.023911962738612156,0.023911962738612156,0.023911962738612156,0.023911962738612156,0.023911962738612156,0.023911962738612156,0.023911962738612156,0.023911962738612156
