,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00
End,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00
Period,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,95.36543422632764,95.36543422632764,95.36543422632764,95.36543422632764,100.0,95.36543422632764,95.36543422632764,95.36543422632764,95.36543422632764,95.5604724466218,95.36543422632764,95.36543422632764,95.36543422632764,95.36543422632764,95.5604724466218,95.36543422632764,95.36543422632764,95.36543422632764,95.36543422632764,95.36829566736951,95.36543422632764,95.36543422632764,95.36543422632764,95.36543422632764,95.36829566736951
Total Return [%],-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.634565773672364,0.0,-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.439527553378198,-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.439527553378198,-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.631704332630491,-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.634565773672364,-4.631704332630491
Benchmark Return [%],4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],8.093194260604244,8.093194260604244,8.093194260604244,8.093194260604244,,8.093194260604244,8.093194260604244,8.093194260604244,8.093194260604244,8.064166920597252,8.093194260604244,8.093194260604244,8.093194260604244,8.093194260604244,8.064166920597252,8.093194260604244,8.093194260604244,8.093194260604244,8.093194260604244,8.092767669809607,8.093194260604244,8.093194260604244,8.093194260604244,8.093194260604244,8.092767669809607
