,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00
End,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00
Period,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,97.78912864662173,97.78912864662173,97.78912864662173,97.50934412486887,100.0,97.78912864662173,97.78912864662173,97.78912864662173,97.65864530374262,97.65864530374262,97.78912864662173,97.78912864662173,97.78912864662173,97.65864530374262,97.65864530374262,97.78912864662173,97.78912864662173,97.78912864662173,97.65864530374262,97.65864530374262,97.86495880447207,97.86495880447207,97.86495880447207,97.86495880447207,97.86495880447207
Total Return [%],-2.2108713533782662,-2.2108713533782662,-2.2108713533782662,-2.490655875131125,0.0,-2.2108713533782662,-2.2108713533782662,-2.2108713533782662,-2.3413546962573832,-2.3413546962573832,-2.2108713533782662,-2.2108713533782662,-2.2108713533782662,-2.3413546962573832,-2.3413546962573832,-2.2108713533782662,-2.2108713533782662,-2.2108713533782662,-2.3413546962573832,-2.3413546962573832,-2.1350411955279327,-2.1350411955279327,-2.1350411955279327,-2.1350411955279327,-2.1350411955279327
Benchmark Return [%],2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],5.88435134813245,5.88435134813245,5.88435134813245,5.915498058006586,,5.88435134813245,5.88435134813245,5.88435134813245,5.898857535060087,5.898857535060087,5.88435134813245,5.88435134813245,5.88435134813245,5.898857535060087,5.898857535060087,5.88435134813245,5.88435134813245,5.88435134813245,5.898857535060087,5.898857535060087,5.87593689755759,5.87593689755759,5.87593689755759,5.87593689755759,5.87593689755759
