,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260,3260
End,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656
Period,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00,1397 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,116.48856025889609,119.36129886752971,129.50668200421075,131.46291729675278,132.63970900478648,110.58816950922986,115.41554138809433,121.19540451396003,122.74806063630696,126.65178984878791,111.85355902426485,113.83660302528665,119.47533540555092,122.0528307312818,125.40071907167564,109.98456345560552,112.40492373667767,117.68509995773896,120.05849423016488,122.83730793665174,103.68806310202521,108.4901858773885,108.28252775195934,110.25537115646465,112.26422652478561
Total Return [%],16.488560258896086,19.36129886752971,29.506682004210745,31.462917296752778,32.639709004786496,10.588169509229857,15.415541388094326,21.19540451396003,22.74806063630696,26.651789848787917,11.853559024264854,13.836603025286651,19.475335405550922,22.0528307312818,25.40071907167564,9.984563455605524,12.404923736677674,17.685099957738956,20.058494230164882,22.83730793665174,3.688063102025211,8.490185877388498,8.282527751959336,10.255371156464648,12.264226524785613
Benchmark Return [%],-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428,-8.878905148262428
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],12.602062723538804,9.306610985367925,7.544171191233777,6.184178232106793,6.701786091433923,11.134614489827484,7.811461089203496,7.544171191233776,6.184178232106777,6.701786091433948,9.01725953124863,6.624157024533401,6.353424677143699,4.97591625256546,5.500190427711728,9.017259531248632,6.624157024533406,6.35342467714369,4.975916252565443,5.500190427711722,10.344281022148731,7.199958372487771,6.81639229852808,5.445693966006723,5.967376247461399
Max Drawdown Duration,480 days 00:00:00,266 days 00:00:00,266 days 00:00:00,263 days 00:00:00,283 days 00:00:00,517 days 00:00:00,474 days 00:00:00,266 days 00:00:00,263 days 00:00:00,269 days 00:00:00,517 days 00:00:00,414 days 00:00:00,266 days 00:00:00,266 days 00:00:00,263 days 00:00:00,517 days 00:00:00,414 days 00:00:00,293 days 00:00:00,293 days 00:00:00,293 days 00:00:00,517 days 00:00:00,517 days 00:00:00,517 days 00:00:00,517 days 00:00:00,598 days 00:00:00
Total Trades,68,67,68,67,63,60,62,61,60,56,53,55,54,53,51,51,53,53,51,49,47,49,49,47,45
Total Closed Trades,68,67,68,67,63,60,62,61,60,56,53,55,54,53,51,51,53,53,51,49,47,49,49,47,45
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],67.64705882352942,64.17910447761194,64.70588235294117,64.17910447761194,66.66666666666666,68.33333333333333,61.29032258064516,63.934426229508205,63.33333333333333,67.85714285714286,66.0377358490566,60.0,61.111111111111114,64.15094339622641,66.66666666666666,66.66666666666666,60.37735849056604,58.490566037735846,62.745098039215684,65.3061224489796,65.95744680851064,59.183673469387756,57.14285714285714,61.702127659574465,64.44444444444444
Best Trade [%],2.9599366650241388,2.959936665024133,4.234425381181408,4.2344253811814205,4.234425381181403,2.9599366650241388,2.959936665024133,4.234425381181413,4.234425381181409,4.2344253811814125,2.9599366650241388,2.959936665024133,4.2344253811814125,4.234425381181402,4.234425381181404,2.9599366650241388,2.959936665024133,4.234425381181421,4.2344253811814045,4.234425381181416,2.9599366650241388,2.959936665024133,2.959936665024141,2.959936665024127,2.959936665024137
Worst Trade [%],-4.676223280781956,-2.3704355764322322,-2.569314370156201,-2.2445809435917967,-2.2445809435918003,-4.6762232807819615,-2.3704355764322322,-2.5693143701562087,-2.2445809435917914,-2.244580943591794,-4.676223280781957,-2.3704355764322336,-2.569314370156213,-2.2445809435917976,-2.2445809435917905,-4.676223280781964,-2.3704355764322407,-2.5693143701562073,-2.244580943591788,-2.244580943591795,-4.676223280781968,-2.3704355764322274,-2.569314370156196,-2.2445809435917985,-2.244580943591806
Avg Winning Trade [%],0.9142281508017281,0.974966807367821,1.068347351796147,1.1452923892404745,1.1362206232387733,0.8550677362375757,0.9280320028659736,1.0008348131269962,1.0800472848227352,1.0987248945246588,0.9064039915950971,0.9595323876210688,1.0722713480233619,1.1078712805307724,1.1372837848200261,0.8828129593600126,0.9457786717622677,1.0820230609720298,1.1252396803681912,1.14329976760259,0.7657347238035443,0.8833073757457554,0.8718093161752613,0.9143563375791596,0.9273887557563285
Avg Losing Trade [%],-1.1892063700586124,-0.9899082380135366,-0.8582032057908494,-0.8881550090148003,-0.9003846008152054,-1.2857271016988554,-0.8933672431140312,-0.8787075221879129,-0.911382216614037,-0.9785892152261552,-1.1121259134285748,-0.8740974656169918,-0.8164716847745384,-0.9094834287587304,-0.9149978992883551,-1.1771335955680795,-0.9118282018034287,-0.7651134442724109,-0.9094834287587289,-0.9149978992883544,-1.2311223651602048,-0.9040625776593585,-0.7703048258088862,-0.9148465891938425,-0.9393026850240637
Avg Winning Trade Duration,2 days 20:52:10.434782608,3 days 05:01:23.720930232,3 days 13:38:10.909090909,3 days 22:19:32.093023255,5 days 13:08:34.285714285,2 days 21:39:30.731707317,3 days 05:41:03.157894736,3 days 14:46:09.230769230,4 days 00:00:00,5 days 20:50:31.578947368,2 days 19:53:08.571428571,3 days 02:54:32.727272727,3 days 10:10:54.545454545,3 days 23:17:38.823529411,5 days 03:31:45.882352941,2 days 21:10:35.294117647,3 days 05:15:00,3 days 11:36:46.451612903,4 days 01:30:00,5 days 07:30:00,2 days 19:21:17.419354838,3 days 02:28:57.931034482,3 days 07:42:51.428571428,3 days 22:20:41.379310344,5 days 06:37:14.482758620
Avg Losing Trade Duration,4 days 19:38:10.909090909,5 days 21:00:00,5 days 11:00:00,6 days 01:00:00,6 days 11:25:42.857142857,4 days 22:44:12.631578947,4 days 14:36:31.304347826,5 days 12:00:00,6 days 03:16:21.818181818,6 days 13:20:00,5 days 00:00:00,4 days 12:34:17.142857142,5 days 10:17:08.571428571,6 days 00:00:00,6 days 12:42:21.176470588,5 days 01:24:42.352941176,4 days 12:00:00,5 days 03:16:21.818181818,6 days 00:00:00,6 days 12:42:21.176470588,5 days 03:00:00,4 days 11:22:06.315789473,5 days 02:17:08.571428571,5 days 22:40:00,6 days 10:30:00
