,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607
End,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581
Period,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00,1975 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,92.67197473559665,99.89380308145675,109.59739685100077,102.12704307738335,114.66650565485541,95.49090263809256,99.39892150080809,108.58541362269041,102.102367940419,106.68880133092182,109.24500441397424,115.45322520527002,112.32900653388965,110.31708860951116,111.60353588985546,107.80503402564756,117.01463274184485,115.12142105101852,112.70395408510693,111.37334300524586,107.88499003358201,121.25560495921704,119.03114875966867,113.70958442561574,112.41182216411076
Total Return [%],-7.328025264403351,-0.1061969185432474,9.597396851000767,2.127043077383348,14.666505654855413,-4.509097361907436,-0.6010784991919138,8.58541362269041,2.1023679404190005,6.688801330921819,9.245004413974243,15.453225205270016,12.329006533889654,10.31708860951116,11.603535889855465,7.805034025647557,17.01463274184485,15.121421051018515,12.703954085106927,11.373343005245857,7.884990033582014,21.255604959217038,19.031148759668667,13.709584425615745,12.41182216411076
Benchmark Return [%],1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525,1.2742828648071525
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],9.423825813631453,7.781797859646367,6.690111356012853,13.133121803618081,6.8728094854183395,7.839774037642844,9.590172668389108,7.535029660152634,12.737707296417355,11.173394321472452,7.401933799691188,7.144115350709552,5.698213664517819,9.39052001773059,7.62389146761511,10.316553092178122,6.119487209422134,5.52616011614432,7.672859092635679,7.62389146761511,10.316553092178113,6.119487209422134,5.52616011614432,7.189368787495701,7.140144733306769
Max Drawdown Duration,1929 days 00:00:00,1722 days 00:00:00,806 days 00:00:00,1538 days 00:00:00,824 days 00:00:00,1388 days 00:00:00,1722 days 00:00:00,1435 days 00:00:00,1538 days 00:00:00,1435 days 00:00:00,997 days 00:00:00,1331 days 00:00:00,1435 days 00:00:00,1492 days 00:00:00,1538 days 00:00:00,997 days 00:00:00,1331 days 00:00:00,1014 days 00:00:00,1492 days 00:00:00,1538 days 00:00:00,997 days 00:00:00,896 days 00:00:00,873 days 00:00:00,1492 days 00:00:00,1538 days 00:00:00
Total Trades,89,86,88,82,82,76,73,74,70,69,61,61,60,58,58,56,56,57,54,54,52,53,55,51,50
Total Closed Trades,89,86,88,82,82,76,73,74,70,69,61,61,60,58,58,56,56,57,54,54,52,53,55,51,50
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],48.31460674157304,50.0,55.68181818181818,50.0,56.09756097560976,48.68421052631579,49.31506849315068,55.4054054054054,48.57142857142857,53.62318840579711,49.18032786885246,54.09836065573771,56.666666666666664,53.44827586206896,55.172413793103445,50.0,55.35714285714286,59.64912280701754,55.55555555555556,55.55555555555556,51.92307692307693,62.264150943396224,61.81818181818181,60.78431372549019,60.0
Best Trade [%],2.54315537555731,7.624740158661717,11.247465674940193,11.2474656749402,11.247465674940202,2.5431553755572947,3.5262630196116267,11.2474656749402,11.2474656749402,11.247465674940187,12.86603447078063,12.86603447078063,12.866034470780635,12.866034470780633,12.866034470780626,12.86603447078063,12.866034470780635,12.866034470780626,12.866034470780626,12.866034470780624,12.866034470780635,12.866034470780638,12.866034470780626,12.866034470780644,12.866034470780626
