,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697,3697
End,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280
Period,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,94.91751540989763,93.91208059245986,91.80416510282934,99.04784783415367,103.02358326314034,99.26967479880105,96.32195179945425,92.99644424735382,101.72740416323826,104.15423840912862,96.2153007169145,91.65714841795905,95.63129356838766,97.79479424645835,99.57742411968196,98.83519969109878,95.66990082257252,97.71738479682448,101.69786908597948,102.80468932590301,93.66530751621964,96.14317465326775,99.26684758177498,102.33013053025425,103.0030452043743
Total Return [%],-5.082484590102368,-6.0879194075401415,-8.195834897170656,-0.9521521658463286,3.0235832631403383,-0.7303252011989514,-3.6780482005457458,-7.003555752646179,1.727404163238262,4.154238409128624,-3.784699283085501,-8.34285158204095,-4.368706431612338,-2.205205753541648,-0.4225758803180355,-1.1648003089012207,-4.330099177427485,-2.2826152031755242,1.6978690859794767,2.804689325903013,-6.334692483780359,-3.85682534673225,-0.7331524182250178,2.3301305302542517,3.0030452043743026
Benchmark Return [%],-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083,-11.956518581004083
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],10.995956631001912,12.884419179590969,14.793248990776874,8.753742973085814,9.523786000334326,10.530629768861154,12.440046609889961,14.885593046866965,9.148244561111248,9.324236171558683,9.042123598683343,13.532208037710431,8.704186818692312,8.220150241451558,8.746988315523655,8.040607053719642,12.834473596958452,8.881345026931362,7.296638506763603,8.46351943295497,12.020665817200136,12.465954173353296,8.717102860413323,7.00268402708743,7.982890134851842
Max Drawdown Duration,828 days 00:00:00,1482 days 00:00:00,834 days 00:00:00,1482 days 00:00:00,834 days 00:00:00,809 days 00:00:00,810 days 00:00:00,809 days 00:00:00,674 days 00:00:00,809 days 00:00:00,541 days 00:00:00,809 days 00:00:00,809 days 00:00:00,809 days 00:00:00,809 days 00:00:00,805 days 00:00:00,805 days 00:00:00,805 days 00:00:00,805 days 00:00:00,806 days 00:00:00,805 days 00:00:00,805 days 00:00:00,805 days 00:00:00,805 days 00:00:00,805 days 00:00:00
Total Trades,80,84,82,80,80,73,76,72,73,72,61,63,63,65,61,58,58,58,60,56,56,54,54,56,52
Total Closed Trades,80,84,82,80,80,73,76,72,73,72,61,63,63,65,61,58,58,58,60,56,56,54,54,56,52
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],48.75,50.0,48.78048780487805,50.0,51.24999999999999,49.31506849315068,52.63157894736842,52.77777777777778,53.42465753424658,54.166666666666664,44.26229508196721,49.2063492063492,49.2063492063492,49.23076923076923,49.18032786885246,48.275862068965516,53.44827586206896,50.0,51.66666666666667,51.78571428571429,48.214285714285715,57.407407407407405,53.70370370370371,55.35714285714286,55.769230769230774
Best Trade [%],2.1790085915828676,2.179008591582867,2.1790085915828765,2.179008591582864,2.1790085915828707,2.179008591582866,2.1790085915828703,2.179008591582872,2.1790085915828685,2.179008591582872,2.1790085915828628,2.179008591582878,2.1790085915828605,2.1790085915828654,2.1790085915828725,2.1790085915828663,2.17900859158286,2.1790085915828716,2.1790085915828628,2.179008591582864,2.179008591582864,2.1790085915828645,2.1790085915828654,2.1790085915828614,2.1790085915828667
Worst Trade [%],-2.385619094120157,-3.135962919342896,-3.7119372633985783,-2.684864358326078,-4.549888876666113,-2.3856190941201487,-3.1359629193428917,-3.711937263398562,-2.6848643583260796,-4.549888876666113,-2.3856190941201567,-3.4649330816039914,-2.6492382494320377,-2.684864358326074,-4.549888876666111,-2.385619094120162,-3.4649330816039936,-2.6492382494320363,-2.684864358326068,-4.035084756361697,-2.6499515734620984,-3.464933081604,-2.649238249432041,-2.6848643583260885,-4.035084756361687
Avg Winning Trade [%],0.6529331086395118,0.6447911477584808,0.6411051824318414,0.6824969559004493,0.713924727980196,0.6976672426371766,0.6364976475504792,0.6214810170661718,0.6442383087682126,0.6805842469405166,0.7367797246611903,0.6392645287470888,0.6249967665379462,0.6290660630318408,0.6611632272463008,0.7127539669151147,0.6839267917112525,0.6944822778928667,0.6756764047269564,0.712786662672358,0.5890262264824221,0.6161925272439339,0.6724779941430883,0.6484243573563941,0.6576569873962537
Avg Losing Trade [%],-0.740437213465015,-0.7857252735597884,-0.8046401418765528,-0.6988739103972105,-0.665314055999731,-0.6905710882659671,-0.8017270252260601,-0.8968308594274219,-0.680969900443799,-0.6713240963833874,-0.6907290501557156,-0.8805636946783377,-0.7373668663740595,-0.6705497058565287,-0.6448964204746069,-0.6959735411638229,-0.9367565737732099,-0.7654363218201572,-0.6568032898591102,-0.6540766863421121,-0.7653850240107481,-0.9881366430553616,-0.799938613849868,-0.7036629897855284,-0.6906527781635957
Avg Winning Trade Duration,3 days 21:32:18.461538461,3 days 05:08:34.285714285,3 days 12:00:00,3 days 22:48:00,4 days 05:16:05.853658536,3 days 20:00:00,3 days 01:12:00,3 days 10:06:18.947368421,3 days 17:50:46.153846153,4 days 00:00:00,4 days 06:13:20,3 days 05:25:09.677419354,3 days 15:29:01.935483870,3 days 21:00:00,4 days 00:48:00,3 days 06:00:00,3 days 06:58:03.870967741,3 days 13:14:28.965517241,3 days 20:07:44.516129032,3 days 23:10:20.689655172,2 days 15:06:40,3 days 06:58:03.870967741,3 days 13:14:28.965517241,3 days 20:07:44.516129032,3 days 23:10:20.689655172
Avg Losing Trade Duration,6 days 02:20:29.268292682,5 days 18:51:25.714285714,6 days 04:00:00,8 days 00:00:00,7 days 06:46:09.230769230,6 days 03:53:30.810810810,6 days 00:00:00,6 days 16:56:28.235294117,7 days 02:07:03.529411764,7 days 12:21:49.090909091,6 days 09:10:35.294117647,6 days 12:45:00,6 days 00:45:00,6 days 02:10:54.545454545,8 days 19:21:17.419354838,6 days 15:12:00,6 days 22:13:20,6 days 12:24:49.655172413,6 days 04:08:16.551724137,9 days 08:00:00,6 days 12:24:49.655172413,7 days 06:15:39.130434782,6 days 14:24:00,6 days 00:57:36,9 days 14:36:31.304347826
Profit Factor,0.8304443958354033,0.8092907274687697,0.751224412833676,0.9660459627237129,1.1139299601168442,0.9718811760426864,0.871681034527681,0.7693733824238245,1.0718808093756176,1.1789547305405847,0.8387427388312424,0.696351573034127,0.8148314384322414,0.9018387006840807,0.9794145587056895,0.9448083726889184,0.8270880060895314,0.8982208723181538,1.0867660425557983,1.1530596580993535,0.7131166673919375,0.8309442719664214,0.964180834172806,1.1279167581301248,1.1805810984574063
Expectancy,-0.06353105737627951,-0.07247523104214454,-0.0999492060630568,-0.011901902073079118,0.03779479078925413,-0.01000445481094464,-0.04839537105981251,-0.09727160767564136,0.023663070729291302,0.05769775568234192,-0.06204425054238527,-0.1324262155879516,-0.06934454653352917,-0.03392624236217917,-0.0069274734478366184,-0.020082763946572657,-0.07465688236943946,-0.03935543453750906,0.028297818099658034,0.05008373796255389,-0.11311950863893494,-0.07142269160615283,-0.013576896633796576,0.04160947375454027,0.05775086931489043
Sharpe Ratio,-0.2798904068969271,-0.341027965503132,-0.4435544412932305,-0.02871655958608745,0.1756527669282354,-0.024430905882978363,-0.2059137829273548,-0.3851289485396815,0.11876660994320533,0.24115801121044922,-0.22449500808242287,-0.5239213751243045,-0.2554938573239456,-0.11716260590276698,-0.00192643147806306,-0.06138364852991452,-0.2629024168695983,-0.12466494642015093,0.12311444748889373,0.17309628948382028,-0.4151759351500906,-0.2386732077670994,-0.0298439308018262,0.16762215370624134,0.1894003601047248
Calmar Ratio,-0.10865529805630317,-0.11152456024525342,-0.1318961270561674,-0.025156339907702475,0.07231975631251479,-0.016025944533309876,-0.06911484049696338,-0.11146370984670943,0.043224187463169986,0.10106147242028309,-0.09788598810168095,-0.14686264597868479,-0.1176502838173055,-0.06234833945215392,-0.011150419377138832,-0.03353172520841348,-0.07907173504369105,-0.059750453461012085,0.05327220909052272,0.07555025691146267,-0.12450803982433475,-0.0723749628763956,-0.019435179030496196,0.07599676478432377,0.08569981551661018
Omega Ratio,0.9245656808190149,0.9058088114852688,0.8825267557000384,0.9926869392812696,1.0467524622225788,0.9927926933971386,0.9383691528623502,0.8917332691632659,1.034578602933374,1.0692085128506406,0.9324405278416039,0.84488411127557,0.9213088691361557,0.9641299315115428,0.9994591228176997,0.9796354261408358,0.9162361586213503,0.9597622170915622,1.0407634089230557,1.051454132482404,0.8627912902909394,0.9210841695487954,0.9898524332443144,1.0586270439840353,1.0588316425735753
