,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705
End,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292
Period,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,88.92345007167384,94.03676051133151,100.1901990523535,97.37760515686027,94.81447432627043,93.25585334328615,95.45576841980322,94.35652462866126,100.6800638398045,95.06803804085527,93.22873306836787,92.58670011198153,91.5204957649291,97.65397138699552,92.21062355930967,92.58893820649443,93.0357172217469,97.39969512797218,103.58989629702803,99.27608529442021,88.28771500592615,90.013813448368,95.76938906432476,100.79397935788282,97.94459449914089
Total Return [%],-11.076549928326159,-5.963239488668492,0.1901990523535062,-2.6223948431397304,-5.185525673729572,-6.744146656713852,-4.544231580196779,-5.643475371338738,0.6800638398045038,-4.931961959144729,-6.771266931632127,-7.413299888018471,-8.479504235070905,-2.346028613004478,-7.789376440690334,-7.411061793505567,-6.964282778253093,-2.60030487202782,3.5898962970280337,-0.7239147055797872,-11.712284994073855,-9.986186551632002,-4.230610935675244,0.7939793578828187,-2.0554055008591092
Benchmark Return [%],-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266,-8.750432437363266
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],14.83621660300723,13.67751119026169,12.765643154232508,16.517012587368892,18.307836276756337,14.301929826099997,12.597269270476735,16.462914112600817,13.121829082779929,17.06019294819548,14.830584043642714,13.136439197304096,16.978237651228735,13.657763105268131,17.571831993405453,15.806718371816029,13.554022039872168,12.918703908776271,9.762992014073479,12.843328808157159,16.473332707528364,15.767851937424194,13.58963184238492,11.439835084579853,13.661816701489968
