,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744
Period,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00,3742 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,94.27115065133275,94.59290971848813,128.42265482667662,94.47646662580262,100.85312983396062,101.55764601424744,105.33617679685133,120.19883570284968,114.18000727354904,108.78802568701958,93.33262439449662,108.00774136734526,113.53267843526925,102.93278533570374,96.76603693859452,85.51765639853055,104.83977109251677,109.05289251003087,94.43370971292798,89.71760955111768,92.5382128778141,111.04922855325675,107.8156511016057,111.28474727402015,92.37794862719768
Total Return [%],-5.728849348667254,-5.40709028151187,28.42265482667662,-5.523533374197385,0.8531298339606223,1.5576460142474389,5.336176796851333,20.198835702849678,14.180007273549036,8.788025687019584,-6.6673756055033815,8.007741367345261,13.532678435269247,2.9327853357037412,-3.233963061405475,-14.482343601469452,4.83977109251677,9.052892510030873,-5.566290287072022,-10.282390448882325,-7.461787122185896,11.049228553256754,7.815651101605696,11.284747274020148,-7.622051372802317
Benchmark Return [%],-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532,-7.875907207778532
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],24.858911984882266,28.796796494062736,20.892775376151036,24.875650577591788,21.4970831311246,22.250906581940093,24.37681770678039,14.832432991547742,17.459263736375622,19.97069253911176,27.75101999439672,17.99766065673752,11.622376560613898,16.308215509603183,20.308653179387576,28.08671316888377,17.047600552311632,12.79070091188933,19.802231787305477,23.40831723381795,23.234852784503733,13.43819942071953,11.591519420359802,17.589041512846528,19.682581946984055
