,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743,3743
End,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347
Period,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00,1605 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,101.86519104124761,103.11713756261803,104.91302464028482,105.250354771884,97.26075532986603,101.11028666830666,107.06645601420206,108.4916281032856,105.50115524158818,98.76768268682454,101.11427947962083,104.68895480584543,105.56533842676738,105.59757641905713,99.93468923679353,99.9511733178586,103.54533412901571,105.98748580622588,105.56313471491193,101.4491276903801,99.02644797664513,101.05527773006833,103.61584014011183,103.99631489407012,101.22558653565062
Total Return [%],1.8651910412476127,3.1171375626180264,4.913024640284817,5.250354771884005,-2.7392446701339708,1.1102866683066566,7.0664560142020605,8.491628103285606,5.5011552415881795,-1.2323173131754572,1.1142794796208335,4.688954805845427,5.565338426767383,5.597576419057134,-0.06531076320646889,-0.04882668214139585,3.545334129015714,5.987485806225877,5.563134714911925,1.4491276903800951,-0.9735520233548699,1.055277730068326,3.6158401401118283,3.9963148940701245,1.2255865356506206
Benchmark Return [%],-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262,-4.032991853798262
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],6.717398926811681,7.632460732528508,6.143132699615986,6.096631045904984,8.983191283301373,6.887188394877522,5.99365099300979,5.826816324052963,6.670587819295405,8.649272985377415,7.412094257067219,6.948636793294003,6.630570828830818,6.995836749534207,8.183777558746263,6.511320861004381,5.731141869291454,5.535457867790677,5.704539535312263,7.285758096254119,6.115548601076411,5.817467539133032,5.621962733104062,5.790889565948621,6.601116046557344
Max Drawdown Duration,659 days 00:00:00,1281 days 00:00:00,784 days 00:00:00,372 days 00:00:00,616 days 00:00:00,958 days 00:00:00,372 days 00:00:00,334 days 00:00:00,716 days 00:00:00,616 days 00:00:00,885 days 00:00:00,754 days 00:00:00,753 days 00:00:00,729 days 00:00:00,1000 days 00:00:00,1126 days 00:00:00,759 days 00:00:00,759 days 00:00:00,753 days 00:00:00,1000 days 00:00:00,1000 days 00:00:00,791 days 00:00:00,784 days 00:00:00,759 days 00:00:00,1000 days 00:00:00
Total Trades,74,76,75,73,64,71,70,68,64,58,60,59,59,54,54,54,55,54,49,50,49,50,49,46,46
Total Closed Trades,74,76,75,73,64,71,70,68,64,58,60,59,59,54,54,54,55,54,49,50,49,50,49,46,46
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],58.108108108108105,57.89473684210527,60.0,57.534246575342465,54.6875,57.74647887323944,60.0,60.29411764705882,57.8125,53.44827586206896,61.66666666666667,61.016949152542374,61.016949152542374,62.96296296296296,55.55555555555556,61.111111111111114,60.0,62.96296296296296,63.26530612244898,57.99999999999999,59.183673469387756,56.00000000000001,59.183673469387756,60.86956521739131,56.52173913043478
Best Trade [%],2.923050954359221,1.8548050475966664,1.8548050475966766,1.854805047596684,1.854805047596665,1.5860934846747838,1.8548050475966804,1.8548050475966833,1.8548050475966866,1.8548050475966742,1.5860934846747836,1.8548050475966797,1.8548050475966689,1.85480504759668,1.854805047596678,1.586093484674772,1.8548050475966797,1.8548050475966784,1.8548050475966693,1.8548050475966775,2.498764599052812,2.498764599052808,2.4987645990528184,2.4987645990528233,2.4987645990528295
Worst Trade [%],-3.780826104515992,-2.799586020675932,-3.1046294425117402,-3.0707372254186662,-2.9286607020962627,-3.7808261045159997,-2.799586020675941,-3.1046294425117416,-3.070737225418675,-2.928660702096257,-3.780826104515992,-2.79958602067593,-3.1046294425117575,-3.070737225418661,-2.928660702096264,-3.780826104515996,-2.799586020675933,-3.1046294425117473,-3.0707372254186605,-2.9286607020962574,-3.780826104515985,-2.7995860206759424,-3.1046294425117447,-3.0707372254186565,-2.9286607020962703
Avg Winning Trade [%],0.6723966555752451,0.6382784741913977,0.6479649712789972,0.7260112137824508,0.7628604911880865,0.6401701808779062,0.6886169413810975,0.7319397154985706,0.7734809521069909,0.807595961598502,0.6330063259985844,0.6852008930890643,0.7099005118523064,0.7338885582457851,0.8075089265115566,0.6308095673379797,0.6744726380020704,0.6850942845460869,0.728972176105298,0.7735615209087754,0.6762834525056661,0.7081236812166736,0.7253916942899608,0.7538783365359635,0.8468552575096522
Avg Losing Trade [%],-0.8601853734263553,-0.7721961886582155,-0.801213822272657,-0.8073744923093522,-1.0033247060461634,-0.8265399288107659,-0.7785482647934084,-0.7978124623601514,-0.8493102859933364,-0.9603696572614908,-0.9558079887286973,-0.8613532620132376,-0.8628287520730322,-0.9601626038112993,-0.9982300277705007,-0.978695521870846,-0.8418005289882973,-0.860395569460438,-0.9392711335687112,-0.9853616581306832,-1.0132531157224542,-0.8418005289882959,-0.8603955694604389,-0.9392711335687118,-1.0239769119953537
Avg Winning Trade Duration,4 days 22:19:32.093023255,4 days 17:27:16.363636363,4 days 02:08:00,5 days 02:17:08.571428571,7 days 00:00:00,3 days 02:20:29.268292682,4 days 19:25:42.857142857,5 days 01:45:21.951219512,6 days 20:45:24.324324324,7 days 06:58:03.870967741,3 days 03:53:30.810810810,5 days 00:00:00,4 days 01:20:00,7 days 06:21:10.588235294,4 days 08:47:59.999999999,3 days 04:21:49.090909090,3 days 16:00:00,4 days 04:56:28.235294117,7 days 16:15:29.032258064,4 days 14:53:47.586206896,3 days 02:28:57.931034482,3 days 12:00:00,4 days 01:39:18.620689655,6 days 20:34:17.142857142,4 days 14:46:09.230769230
Avg Losing Trade Duration,5 days 09:17:25.161290322,4 days 14:15:00,5 days 16:00:00,6 days 20:07:44.516129032,9 days 04:57:55.862068965,4 days 22:24:00,4 days 15:25:42.857142857,5 days 10:40:00,8 days 22:13:20,8 days 20:26:40,5 days 06:15:39.130434782,4 days 16:41:44.347826087,5 days 14:36:31.304347826,10 days 01:12:00,8 days 03:00:00,5 days 09:08:34.285714285,4 days 16:21:49.090909090,5 days 13:12:00,10 days 09:20:00,7 days 22:51:25.714285714,5 days 10:48:00,4 days 16:21:49.090909090,5 days 13:12:00,10 days 09:20:00,7 days 22:48:00
