,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978,3978
End,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683,5683
Period,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00,1699 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,107.3213055876469,104.41839757559269,102.62271644834435,105.19884455327308,107.0705027379284,106.301788568992,104.64522523971293,102.49025387119012,104.25575475581641,104.45912618548685,106.87494189445391,104.54512467992916,102.62989141981205,102.57591291676118,103.02943233457836,108.44160608322399,104.45392607756676,104.84227516387652,103.78339875457561,103.99088090019904,109.031741383481,105.49398008047731,106.39819647287901,105.91208591555527,105.32122324234736
Total Return [%],7.321305587646903,4.418397575592692,2.622716448344349,5.1988445532730765,7.0705027379283925,6.301788568991995,4.6452252397129286,2.49025387119012,4.255754755816412,4.459126185486852,6.874941894453912,4.54512467992916,2.629891419812054,2.575912916761183,3.0294323345783596,8.441606083223988,4.453926077566763,4.842275163876522,3.783398754575615,3.9908809001990444,9.031741383481005,5.493980080477314,6.3981964728790075,5.9120859155552665,5.321223242347358
Benchmark Return [%],9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212,9.861315015354212
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],3.1453418418835617,3.473254844010981,3.7381350020657305,4.090944933945943,4.468625547982905,2.4912831887706433,3.473254844010982,2.459788931943892,2.8310438478749806,3.166110770600372,2.4912831887706433,2.419572948923663,2.459788931943892,2.8310438478749806,3.166110770600372,2.4912831887706433,2.5842470142513365,2.708816149879904,3.283152085813891,3.5431799818031298,1.8130699546491547,1.8503047561074226,1.6668955232062725,2.7726683928926232,2.7726683928926206
