,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017
Period,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00,4009 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,110.24496115828006,108.66301766748552,109.52539480641661,110.58973136564923,109.79656641992078,109.88768474124765,108.04468255604299,109.76364648323528,109.50081598477774,109.23351114679458,109.67126938448506,108.33421409837945,109.81235226478924,109.7369722066386,109.37301038082899,109.69491296880999,108.688868981122,110.28927481496602,110.0094401066333,109.9934200348592,109.12753370225815,108.15374642109464,109.70551174494548,109.4828811270521,109.57263338526795
Total Return [%],10.244961158280063,8.66301766748552,9.525394806416614,10.589731365649229,9.79656641992078,9.887684741247654,8.044682556042986,9.763646483235277,9.500815984777745,9.233511146794584,9.671269384485058,8.334214098379448,9.81235226478924,9.736972206638598,9.373010380828987,9.694912968809987,8.688868981121999,10.28927481496602,10.009440106633306,9.993420034859199,9.127533702258148,8.153746421094638,9.705511744945483,9.482881127052096,9.572633385267949
Benchmark Return [%],0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833,0.29717578468548833
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],0.5252113979423645,1.717955362101797,1.717955362101797,1.71795536210179,1.7179553621017918,0.5849983470643693,1.7179553621017987,1.7179553621017998,1.7179553621017978,1.7179553621017936,0.5504796231069559,1.7179553621017993,1.717955362101789,1.7179553621017898,1.7179553621018033,0.5226197934720764,1.7179553621018009,1.7179553621017924,1.717955362101795,1.7179553621018029,0.5226197934720866,1.7179553621017993,1.7179553621018018,1.7179553621017918,1.7179553621017978
Max Drawdown Duration,1873 days 00:00:00,1873 days 00:00:00,1884 days 00:00:00,1613 days 00:00:00,1873 days 00:00:00,1873 days 00:00:00,1873 days 00:00:00,1884 days 00:00:00,1873 days 00:00:00,1873 days 00:00:00,1873 days 00:00:00,1873 days 00:00:00,1884 days 00:00:00,1873 days 00:00:00,1873 days 00:00:00,1498 days 00:00:00,1411 days 00:00:00,891 days 00:00:00,1788 days 00:00:00,1534 days 00:00:00,1498 days 00:00:00,1411 days 00:00:00,436 days 00:00:00,1788 days 00:00:00,1534 days 00:00:00
Total Trades,123,113,109,108,111,110,99,101,97,100,96,90,91,88,90,82,76,79,78,78,74,68,71,70,71
Total Closed Trades,123,113,109,108,111,110,99,101,97,100,96,90,91,88,90,82,76,79,78,78,74,68,71,70,71
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],74.79674796747967,69.91150442477876,70.64220183486239,69.44444444444444,71.17117117117117,73.63636363636363,68.68686868686868,70.29702970297029,70.10309278350515,72.0,73.95833333333334,70.0,68.13186813186813,71.5909090909091,72.22222222222221,73.17073170731707,69.73684210526315,72.15189873417721,70.51282051282051,75.64102564102564,72.97297297297297,69.11764705882352,71.83098591549296,70.0,74.64788732394366
Best Trade [%],1.7846191547658568,1.9557838061011457,1.2270852249102984,1.2205763283531628,1.2374969774583089,1.784619154765836,1.9557838061011572,1.2270852249103037,1.2205763283531705,1.2374969774583109,1.7846191547658514,1.955783806101159,1.2270852249102886,1.2205763283531634,1.2374969774582985,1.784619154765841,1.9557838061011523,1.2270852249103,1.2205763283531683,1.2374969774582991,1.7846191547658434,1.955783806101148,1.2270852249102928,1.2205763283531734,1.2374969774583162
Worst Trade [%],-0.2792061998648398,-0.22992627095835286,-0.4359896125305654,-0.2387337727653679,-0.27980697370442187,-0.2792061998648338,-0.36713283940664354,-0.22846394246056248,-0.2387337727653845,-0.2798069737044218,-0.27920619986484113,-0.36713283940665603,-0.22846394246055685,-0.23873377276537314,-0.27980697370441326,-0.2792061998648346,-0.36713283940665725,-0.22846394246056165,-0.23873377276537386,-0.279806973704408,-0.2792061998648311,-0.36713283940665337,-0.22846394246056856,-0.2387337727653797,-0.27980697370441016
Avg Winning Trade [%],0.1269279052224742,0.13008251073616434,0.14737379741000173,0.1636118678791462,0.14873294210483248,0.13988773900007448,0.14485336487923173,0.15557424702518136,0.16426171050979912,0.15382662968556796,0.15340927765537743,0.15670726626964676,0.17529970386137916,0.17517474576177622,0.16800953445919933,0.17745664167455127,0.18216870131265026,0.18770382207101102,0.1955742583107935,0.18285138930345055,0.18568129166363698,0.1925332722648967,0.19846448957698895,0.20727761328615588,0.1920861197250121
