,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981
End,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114,7114
Period,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00,2134 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,110.33742696166512,119.74494444404542,114.62209099662827,116.03783099539535,124.43018118224781,105.67648190927632,111.41239566128652,107.7942419642575,113.5151927266703,120.38041793183895,110.75898552853783,116.41991320826283,118.69080825388964,120.00233517460643,124.70356146549574,108.98786090216113,114.36492586548826,116.22844220983221,117.50636159438147,122.82722057608899,109.56524168175196,113.80145051196769,115.8266094712476,117.04461603971914,122.07090590019716
Total Return [%],10.337426961665116,19.744944444045416,14.622090996628273,16.037830995395353,24.430181182247807,5.676481909276319,11.412395661286524,7.794241964257495,13.515192726670309,20.38041793183895,10.758985528537835,16.419913208262827,18.690808253889642,20.00233517460643,24.70356146549574,8.987860902161131,14.36492586548826,16.22844220983221,17.506361594381474,22.82722057608899,9.565241681751957,13.801450511967687,15.826609471247593,17.044616039719145,22.07090590019716
Benchmark Return [%],27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887,27.708141324407887
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],6.647069466450531,8.232190351808393,11.000903783994717,8.418802835059003,8.123045371698257,7.467449357855983,8.23219035180838,11.000903783994708,8.418802835059024,8.123045371698263,6.360033777328029,6.9501264352103185,6.711075409507024,6.59580763848888,6.839456619308523,6.180089308476958,6.950126435210327,6.711075409507029,6.595807638488865,6.83945661930851,6.180089308476955,6.950126435210331,6.711075409507021,6.595807638488867,6.839456619308519
Max Drawdown Duration,848 days 00:00:00,705 days 00:00:00,434 days 00:00:00,721 days 00:00:00,414 days 00:00:00,848 days 00:00:00,924 days 00:00:00,827 days 00:00:00,841 days 00:00:00,434 days 00:00:00,833 days 00:00:00,705 days 00:00:00,285 days 00:00:00,658 days 00:00:00,285 days 00:00:00,658 days 00:00:00,705 days 00:00:00,366 days 00:00:00,659 days 00:00:00,373 days 00:00:00,658 days 00:00:00,721 days 00:00:00,366 days 00:00:00,658 days 00:00:00,373 days 00:00:00
Total Trades,93,96,95,92,94,82,84,83,82,83,74,77,77,75,76,66,68,68,66,67,62,64,64,62,63
Total Closed Trades,93,96,95,92,94,82,84,83,82,83,74,77,77,75,76,66,68,68,66,67,62,64,64,62,63
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],65.59139784946237,68.75,68.42105263157895,67.3913043478261,68.08510638297872,63.41463414634146,65.47619047619048,66.26506024096386,65.85365853658537,66.26506024096386,67.56756756756756,67.53246753246754,71.42857142857143,69.33333333333334,69.73684210526315,66.66666666666666,67.64705882352942,72.05882352941177,69.6969696969697,70.1492537313433,67.74193548387096,68.75,73.4375,70.96774193548387,71.42857142857143
Best Trade [%],3.2261750912660556,3.574216099523004,2.901887060881335,4.004313876859572,4.2692882638757625,3.2261750912660507,3.574216099522999,2.901887060881323,4.004313876859578,4.269288263875756,3.2261750912660543,3.5742160995230026,2.9018870608813465,4.004313876859585,4.2692882638757625,3.226175091266041,3.5742160995230052,2.9018870608813394,4.004313876859582,4.269288263875766,3.226175091266047,3.5742160995230052,2.9018870608813394,4.004313876859582,4.269288263875766
Worst Trade [%],-3.5651555394619256,-4.356655019668549,-5.765446650824091,-3.774403923085025,-3.8773547071935424,-3.565155539461927,-4.356655019668552,-5.765446650824084,-3.448494219204508,-3.470176021914602,-3.565155539461926,-4.356655019668558,-4.110941201440478,-3.7830028565321574,-3.470176021914604,-3.565155539461927,-4.356655019668556,-4.110941201440492,-3.7830028565321623,-3.4701760219146047,-3.565155539461926,-4.35665501966855,-4.110941201440481,-3.7830028565321623,-3.4701760219146034
