,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696,3696
End,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279
Period,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00,1584 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,123.7834940880987,120.99835876893498,121.60180504821462,121.94852960244538,126.81742319659695,111.09749735902595,123.78408206400363,122.96691853269925,119.3218462538278,124.12534999255625,111.36292882773067,123.98610705907105,124.71785347230127,120.11573189735275,124.80651325629991,106.26564842816495,120.2645512399006,120.71137220754018,116.213298603635,123.24502033160476,110.48940629976143,114.92133756462948,116.1361826600052,113.27828589927671,119.04267665676083
Total Return [%],23.783494088098706,20.998358768934978,21.601805048214615,21.948529602445376,26.817423196596945,11.097497359025951,23.784082064003627,22.966918532699253,19.3218462538278,24.125349992556252,11.36292882773067,23.986107059071045,24.71785347230127,20.115731897352745,24.806513256299908,6.265648428164951,20.264551239900598,20.71137220754018,16.213298603634996,23.245020331604763,10.489406299761427,14.921337564629484,16.136182660005204,13.27828589927671,19.042676656760833
Benchmark Return [%],26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354,26.98099778305354
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],6.353278771661529,11.805066739450389,10.028471645580952,10.157830729902456,8.7492234477795,10.380636076582837,8.723276904184504,8.736812059901007,8.868028263961543,7.439198572242023,10.380636076582835,8.723276904184504,8.73681205990103,8.868028263961559,7.43919857224202,11.623173566335558,8.723276904184493,8.736812059901021,8.868028263961552,7.439198572242002,6.353278771661534,8.723276904184495,6.804889507418549,6.386004071505151,6.353278771661537
Max Drawdown Duration,390 days 00:00:00,477 days 00:00:00,404 days 00:00:00,381 days 00:00:00,366 days 00:00:00,402 days 00:00:00,299 days 00:00:00,415 days 00:00:00,418 days 00:00:00,402 days 00:00:00,379 days 00:00:00,301 days 00:00:00,404 days 00:00:00,377 days 00:00:00,365 days 00:00:00,458 days 00:00:00,301 days 00:00:00,456 days 00:00:00,463 days 00:00:00,365 days 00:00:00,814 days 00:00:00,664 days 00:00:00,811 days 00:00:00,867 days 00:00:00,665 days 00:00:00
Total Trades,68,58,63,60,62,48,46,49,47,48,45,44,46,44,45,39,38,40,40,40,34,32,34,34,34
Total Closed Trades,68,58,63,60,62,48,46,49,47,48,45,44,46,44,45,39,38,40,40,40,34,32,34,34,34
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],64.70588235294117,68.96551724137932,60.317460317460316,66.66666666666666,67.74193548387096,64.58333333333334,73.91304347826086,63.26530612244898,70.2127659574468,68.75,68.88888888888889,77.27272727272727,67.3913043478261,72.72727272727273,71.11111111111111,66.66666666666666,76.31578947368422,65.0,70.0,72.5,67.64705882352942,71.875,67.64705882352942,70.58823529411765,73.52941176470588
