,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00,2023-09-05 02:00:00+00:00
End,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00
Period,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,97.41430036498274,100.48955637005855,98.42783862201433,98.67841844953826,98.19890365325344,97.02131935713122,98.70695414015486,98.09959022904643,99.11866267826487,98.38495606854974,99.1604537904534,100.0408844065403,99.33962468642112,100.12745841059365,99.92715812877394,99.10387710977766,100.99618684474333,101.84146821806846,100.7048571723126,102.09095990697897,98.82890250557774,101.76892145065334,101.354944454057,99.84538836726341,101.3321429913552
Total Return [%],-2.5856996350172636,0.4895563700585513,-1.5721613779856654,-1.3215815504617439,-1.8010963467465617,-2.978680642868781,-1.2930458598451366,-1.9004097709535726,-0.8813373217351311,-1.6150439314502594,-0.8395462095465973,0.04088440654030023,-0.6603753135788821,0.12745841059364693,-0.07284187122606056,-0.896122890222344,0.9961868447433346,1.8414682180684565,0.7048571723126003,2.0909599069789664,-1.1710974944222556,1.7689214506533375,1.354944454057005,-0.1546116327365894,1.332142991355198
Benchmark Return [%],1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858,1.2707689212240858
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],5.661478616588952,4.087935251807959,4.2684060949005,4.439376875220003,5.8289928277894205,5.013086656654372,3.7826413705735007,3.674802688792838,3.193981936334176,5.075276492071689,3.716811804977743,4.071908195469927,4.216875054382166,3.5138122408362187,5.230807077347294,3.6752582597943535,2.9979951862222625,2.9007341516695213,3.4096635174533043,3.61441709805159,3.3836770593588352,3.057753554885054,2.803410789148349,2.868860342350764,2.755020457104112
Max Drawdown Duration,1696 days 00:00:00,1726 days 00:00:00,1714 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,3044 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,1691 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,1164 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00,3073 days 00:00:00,1690 days 00:00:00,1322 days 00:00:00,1690 days 00:00:00,1690 days 00:00:00
Total Trades,268,257,247,247,249,240,235,227,226,225,226,223,215,211,211,201,203,196,193,192,180,182,172,172,171
Total Closed Trades,268,257,247,247,249,240,235,227,226,225,226,223,215,211,211,201,203,196,193,192,180,182,172,172,171
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],60.447761194029844,63.42412451361867,63.96761133603239,63.56275303643725,63.45381526104418,61.25000000000001,62.5531914893617,64.75770925110133,66.3716814159292,64.44444444444444,62.38938053097345,63.22869955156951,65.58139534883722,67.29857819905213,66.35071090047393,62.68656716417911,62.5615763546798,64.79591836734694,65.80310880829016,65.10416666666666,60.0,60.98901098901099,62.7906976744186,62.7906976744186,61.98830409356725
Best Trade [%],1.0614469984923447,1.0614469984923425,1.0614469984923367,1.061446998492341,1.061446998492343,1.061446998492333,1.0614469984923391,1.0614469984923436,1.0614469984923347,1.0614469984923447,1.0614469984923496,1.0614469984923467,1.0614469984923487,1.0614469984923394,1.0614469984923456,1.061446998492345,1.0614469984923467,1.0614469984923283,1.0614469984923482,1.0614469984923358,1.0614469984923314,1.0614469984923451,1.0614469984923498,1.061446998492329,1.061446998492341
Worst Trade [%],-1.6646277100506381,-1.7023787186949444,-1.5813378028318712,-1.581337802831868,-1.5813378028318632,-1.6646277100506348,-1.7023787186949264,-1.5813378028318699,-1.5813378028318763,-1.5813378028318712,-1.66462771005065,-1.7023787186949226,-1.5813378028318694,-1.581337802831876,-1.5813378028318785,-1.6646277100506461,-1.7023787186949353,-1.5813378028318767,-1.5813378028318767,-1.5813378028318832,-1.138303040761512,-1.7380469410831225,-1.5022593252835128,-1.461816277740901,-1.4618162777409123
Avg Winning Trade [%],0.1495005797054985,0.147745208971741,0.1504534006012879,0.1527923843463607,0.1533469646005529,0.15226027872406805,0.14392799983333648,0.14734561504679233,0.14668985656474443,0.1548176976234247,0.14990560746139814,0.14771987248807164,0.14903888750342562,0.14797347635926467,0.15616232013672682,0.1561645286580413,0.15447533009447856,0.15901259547109814,0.15640072902509441,0.16753510763655266,0.1594242564420065,0.16296638544388622,0.16424040152239716,0.1622376463780506,0.17434152244730694
Avg Losing Trade [%],-0.25207803166667636,-0.24995811327229908,-0.2836873478688605,-0.28016603846186966,-0.28507273442054437,-0.2719358862831167,-0.25417236454506714,-0.29347276087367447,-0.2999044908065642,-0.2997395927077503,-0.2574405842416735,-0.2524243933770008,-0.29162973580328944,-0.30134807193353425,-0.3076274336613908,-0.2731125680941268,-0.24401521979318616,-0.2649977521601493,-0.2889939062995945,-0.28042485744195983,-0.25445230473742936,-0.2291204768832642,-0.25503966637853204,-0.27505796189719717,-0.26289003546376527
Avg Winning Trade Duration,3 days 02:04:26.666666666,3 days 18:50:47.852760736,4 days 01:49:22.025316455,3 days 18:11:27.898089172,3 days 16:06:04.556962025,3 days 01:57:33.061224489,3 days 14:12:14.693877551,3 days 21:33:03.673469387,3 days 20:19:12,3 days 17:12:49.655172413,3 days 05:47:14.042553191,3 days 11:24:15.319148936,3 days 14:07:39.574468085,3 days 20:47:19.436619718,3 days 23:49:42.857142857,3 days 08:22:51.428571428,3 days 11:08:58.582677165,3 days 10:00:56.692913385,3 days 16:37:47.716535433,3 days 23:25:26.400000,3 days 05:46:40,4 days 00:51:53.513513513,4 days 00:26:39.999999999,3 days 20:53:20,4 days 05:12:27.169811320
Avg Losing Trade Duration,6 days 17:53:12.452830188,7 days 01:31:54.893617021,8 days 09:10:06.741573033,7 days 21:04:00,7 days 21:05:56.043956044,6 days 20:07:44.516129032,6 days 18:00:00,7 days 23:42:00,7 days 15:28:25.263157894,8 days 03:54:00,6 days 05:38:49.411764705,6 days 08:29:16.097560975,8 days 07:08:06.486486486,7 days 16:20:52.173913043,8 days 01:21:07.605633802,6 days 17:16:48,6 days 08:50:31.578947368,8 days 13:33:54.782608695,7 days 12:00:00,7 days 21:08:03.582089552,7 days 02:00:00,6 days 04:43:56.619718309,8 days 11:15:00,7 days 01:30:00,7 days 18:05:32.307692307
Profit Factor,0.9037740324264074,1.0204928646861249,0.9382159751960596,0.9480217520636395,0.9313811477528788,0.8825114011659573,0.9426130159986821,0.9192170012370131,0.9615747201913498,0.9333455608467045,0.9620766974623579,1.001937407235247,0.9698325336842089,1.006036190951147,0.9967393312568841,0.9567529033677532,1.0525333233804375,1.0980293554337544,1.0362144565335787,1.1077416888486735,0.9360660801373872,1.1067855761722956,1.0816836187484047,0.9912785700786698,1.076440611914592
Expectancy,-0.009648132966482328,0.0019048885994495945,-0.006365025821804288,-0.0053505325929625175,-0.007233318661632779,-0.012411169345286577,-0.005502322807851651,-0.0083718492112492,-0.003899722662544833,-0.007177973028667808,-0.003714806236931864,0.00018333814592065567,-0.0030715130864133883,0.000604068296652327,-0.00034522213851215233,-0.004458322836927056,0.004907324358341569,0.009395246010553332,0.0036521097011015663,0.010890416182182103,-0.0065060971912347665,0.009719348629963417,0.007877584035215157,-0.0008989048414917988,0.00779030989096606
Sharpe Ratio,-0.1826708211175909,0.04136023735869843,-0.09913049389344564,-0.0837739394906675,-0.12083954818391915,-0.22159714521002463,-0.09093491233336813,-0.12832752176144235,-0.0576152644425662,-0.11192413853694225,-0.062309833117382106,0.009485269992480692,-0.041918613792368525,0.016166607745091502,0.0010348317642611565,-0.06779456630965564,0.0867296980056804,0.14511652450814955,0.06204178510772292,0.1694157194278004,-0.09789813055454231,0.15422748071272027,0.11307484102839521,-0.00742183495014188,0.11679611159631687
