,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00
End,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00
Period,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00,3709 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,106.15647089320511,107.05747640358044,107.51154595282257,106.40367862624886,106.83458948397953,105.50401112123222,106.05027175647515,107.10527662092785,106.39686178484669,105.87743825415785,104.4792347288975,106.112354842569,106.91067254959928,105.71907293729436,105.61639208481978,104.80790146265747,106.54972839157972,107.03919786051661,105.45120333024013,105.72094840376445,104.29271997552297,106.55450803751916,106.88966171774666,104.96508258673934,104.9719193039219
Total Return [%],6.15647089320511,7.057476403580437,7.511545952822572,6.403678626248861,6.834589483979528,5.5040111212322245,6.050271756475155,7.105276620927853,6.396861784846691,5.877438254157852,4.479234728897495,6.112354842569005,6.910672549599283,5.7190729372943565,5.616392084819779,4.807901462657469,6.549728391579719,7.039197860516609,5.4512033302401335,5.720948403764453,4.292719975522971,6.554508037519156,6.8896617177466615,4.965082586739342,4.971919303921894
Benchmark Return [%],0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967,0.14964223485784967
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],0.9411806791975483,0.9888618523363374,0.9020985854633764,0.8562933753322822,0.8768097516139682,0.8393652075375186,0.8513593879519208,0.6632521227381375,0.6357946621293706,0.7107821882804135,0.806581009522766,0.8513593879519271,0.6632521227381314,0.6397170904747446,0.6619309776837118,0.8065810095227876,0.8513593879519286,0.6632521227381685,0.7179379126353364,0.6619309776837099,0.7645199524409128,0.6870705945325004,0.5946358488683358,0.7179379126353447,0.6912428856272144
