,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00
End,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 01:00:00+00:00
Period,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00,8621 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,98.54155147443953,103.86132681678014,106.78328135489413,103.00661269894408,99.27007116852229,94.45360975043009,101.30453690298663,102.82221478958037,101.09010295158869,95.87819534257292,99.59071154993677,101.8043302669226,107.33533448760552,100.60685325869005,99.07141607567989,96.94138470626046,102.72178552785823,105.10627834111547,103.36764478221824,101.07525162522701,97.28824685607103,102.7996348629069,103.03093942892866,102.06266952236383,99.86815404875361
Total Return [%],-1.4584485255604704,3.8613268167801347,6.783281354894129,3.006612698944082,-0.7299288314777073,-5.54639024956991,1.3045369029866265,2.8222147895803715,1.0901029515886904,-4.121804657427077,-0.4092884500632294,1.8043302669226051,7.335334487605522,0.6068532586900517,-0.9285839243201082,-3.0586152937395354,2.7217855278582306,5.10627834111547,3.3676447822182354,1.0752516252270112,-2.7117531439289735,2.799634862906899,3.0309394289286615,2.0626695223638336,-0.1318459512463903
Benchmark Return [%],-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445,-1.002470238190445
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],6.719028715815247,5.550132099102431,5.89694361961442,7.9405048018737014,7.403223113352555,7.1591737692434005,4.978943800815264,5.8019846723829325,7.074556381294787,7.101966624069927,5.373680960580035,5.500723903321958,5.7608108642098,8.151693635277258,7.314046684304632,6.901261979665714,4.933849178873141,7.0779100900577125,6.567965044223484,6.595113099435008,7.698628807048507,4.920821366691975,7.50695546813133,7.102481580190968,7.058213573115063
Max Drawdown Duration,3929 days 00:00:00,3644 days 00:00:00,3644 days 00:00:00,4126 days 00:00:00,4006 days 00:00:00,8536 days 00:00:00,3616 days 00:00:00,3643 days 00:00:00,4126 days 00:00:00,4302 days 00:00:00,4134 days 00:00:00,4183 days 00:00:00,3643 days 00:00:00,4153 days 00:00:00,4227 days 00:00:00,8537 days 00:00:00,3893 days 00:00:00,3926 days 00:00:00,3643 days 00:00:00,3987 days 00:00:00,8537 days 00:00:00,3925 days 00:00:00,4198 days 00:00:00,3578 days 00:00:00,4075 days 00:00:00
Total Trades,638,612,606,580,567,566,556,531,519,511,520,514,485,489,477,485,474,457,458,454,459,449,435,431,430
Total Closed Trades,638,612,606,580,567,566,556,531,519,511,520,514,485,489,477,485,474,457,458,454,459,449,435,431,430
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],55.172413793103445,58.00653594771242,59.07590759075908,58.9655172413793,58.90652557319223,54.77031802120141,57.55395683453237,58.94538606403014,58.38150289017341,59.8825831702544,56.730769230769226,58.754863813229576,61.03092783505155,59.71370143149284,61.21593291404612,56.08247422680412,59.28270042194092,60.61269146608315,61.79039301310044,62.77533039647577,55.33769063180828,59.46547884187082,60.45977011494252,61.94895591647332,62.7906976744186
Best Trade [%],0.778492396961905,1.1486536383708958,2.0607575181177054,1.2556965912055837,1.25569659120559,0.8697487359512917,1.1486536383709076,2.060757518117715,1.2820459357899872,1.2556965912056062,1.8592669562289417,0.8090848971463749,2.654082527331528,1.282045935789977,1.2556965912055944,0.77849239696192,1.0184159471733103,2.1813910971920016,1.282045935789966,1.2556965912055946,0.7784923969619049,2.4187302774145905,2.1813910971920025,1.2820459357899712,1.2556965912055955
Worst Trade [%],-1.875465310924841,-1.6786386509430558,-1.6786386509430589,-1.3317014364603372,-1.7719617319857623,-1.875465310924845,-1.6786386509430429,-1.6786386509430589,-1.3317014364603288,-1.771961731985771,-1.1959701335860111,-1.2551291684974106,-1.4224036975157328,-1.3317014364603437,-1.6842068461869797,-1.195970133585997,-1.255129168497409,-1.4224036975157333,-1.3317014364603257,-1.3935833238971655,-1.1959701335860016,-1.2551291684974244,-1.422403697515734,-1.3317014364603321,-1.3935833238971662
Avg Winning Trade [%],0.15459135674295577,0.16325096461474745,0.1704698566022987,0.16860748811730933,0.16902392987166948,0.14695327213797862,0.16020317516986574,0.1674377614781134,0.1725853234378961,0.16403975147743455,0.15380226454713772,0.154936670078709,0.17702738444023333,0.1653147067856307,0.16219231045523586,0.1485323173973324,0.16175170812138015,0.1727704961615059,0.16606292795237693,0.16020602775036485,0.14863585836934476,0.16524908425405097,0.16925169850369345,0.1654291221516978,0.15790664122184583
Avg Losing Trade [%],-0.2054906196465764,-0.2184676178571862,-0.22404861600947612,-0.2348330343888354,-0.24976417252485614,-0.21019809668858064,-0.22027291277887745,-0.23413235109119612,-0.2451572688669715,-0.2722298257411099,-0.2121309988185145,-0.2220002900098852,-0.2476744953030588,-0.24986765086851997,-0.2686665452332721,-0.21152049443259635,-0.2266530750940345,-0.24526379351818114,-0.2589386457339861,-0.2741130945263591,-0.20084899472203976,-0.23137520448704213,-0.24902632947679812,-0.2672024383536256,-0.2783797136160501
Avg Winning Trade Duration,3 days 10:34:05.454545454,3 days 10:28:43.943661971,3 days 13:40:33.519553072,3 days 18:23:09.473684210,3 days 16:48:51.736526946,3 days 17:20:30.967741935,3 days 14:46:30,3 days 20:51:22.428115016,4 days 03:38:36.831683168,3 days 15:27:03.529411764,3 days 11:42:54.915254237,3 days 15:25:01.986754966,4 days 00:09:43.783783783,3 days 19:38:37.808219178,3 days 13:28:46.027397260,3 days 05:38:49.411764705,3 days 21:05:45.907473309,3 days 15:30:32.490974729,3 days 16:47:29.469964664,3 days 13:13:15.789473684,3 days 04:43:27.874015748,3 days 21:07:24.943820224,3 days 12:24:38.326996197,3 days 15:49:12.808988764,3 days 12:53:20
Avg Losing Trade Duration,5 days 23:12:10.627306273,7 days 02:14:05.344129554,7 days 05:09:25.289256198,8 days 00:43:26.896551724,8 days 14:44:12.631578947,6 days 08:53:20,6 days 17:18:35.044247787,7 days 18:59:42.938388625,7 days 18:27:41.538461538,8 days 14:06:37.989949748,6 days 13:30:25.116279069,6 days 15:55:14.851485148,8 days 00:15:49.450549450,7 days 14:31:34.736842105,8 days 12:20:06.703910614,6 days 13:34:49.756097561,6 days 12:22:58.723404255,7 days 14:53:47.586206896,7 days 12:42:51.428571428,8 days 06:48:53.333333333,6 days 14:26:51.940298507,6 days 07:49:12.808988764,7 days 08:49:09.397590361,7 days 20:19:52.356687898,8 days 02:30:35.294117647
Profit Factor,0.9735011291497556,1.0709867372291582,1.1218327698898753,1.0553660152113762,0.9870135995015376,0.888479686921204,1.0262179434941583,1.0564639670448668,1.021470051803039,0.9219458040463657,0.9909112624865967,1.0405298565580146,1.159317907066207,1.0130421483955279,0.9802365056718153,0.9271908703776572,1.0636705793698045,1.1195371233207734,1.0770136012577283,1.024441895366997,0.9308612786553936,1.0677491468949567,1.073858607697373,1.0492511883970468,0.9968552531798668
Expectancy,-0.00706087767839346,0.0027109448452598967,0.008915610937887397,0.002762398530413629,-0.003461273769311754,-0.014500133612349198,-0.001613522129714065,0.002192137304083422,-0.001662258047677806,-0.011181945693193265,-0.00481504367192763,-0.0007773504447623897,0.011473162160424821,-0.002264654016369619,-0.00524841422298046,-0.009686553286721578,0.003343612809617466,0.007950273862580737,0.003374777323371006,-0.0018185989390288593,-0.007608472314468831,0.004167073258844786,0.0035578678989651447,0.00045332121064176056,-0.004767485387272813
Sharpe Ratio,-0.036022637424365525,0.11855952604272058,0.19278180512423143,0.08981401739647188,-0.013056760614586767,-0.16467767257468208,0.04694089489313465,0.08794552555328766,0.03867019051275713,-0.1175352380329146,-0.006123811040344446,0.06479180818182154,0.21757674397951485,0.02554547247659531,-0.02211775445988657,-0.09643549450394653,0.09520107758813136,0.16483311217982394,0.1122481737067831,0.040725163784937075,-0.08580695873383304,0.09894144245430418,0.10426788397258076,0.0720943103470419,0.0021720935908947944
