,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00,2023-09-04 02:00:00+00:00
End,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00
Period,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00,3697 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,105.53406630564773,105.81736512720805,106.67798215217172,105.23850100403307,105.67416663568844,106.15610380440658,105.51386392121013,106.06629845725718,105.12750243684826,106.31016964561033,104.98572532509064,105.68911025457365,105.89448732917651,105.30648294446037,106.17973203132857,105.11884239218435,105.8669087874223,106.41344494315761,105.84290198598985,106.25506563983338,104.75584689201112,105.34086134304286,105.88517730626143,105.37186761364512,105.51653131831821
Total Return [%],5.534066305647727,5.817365127208049,6.677982152171722,5.238501004033068,5.674166635688437,6.156103804406584,5.513863921210131,6.066298457257176,5.1275024368482605,6.310169645610329,4.985725325090641,5.689110254573649,5.894487329176513,5.30648294446037,6.1797320313285695,5.118842392184348,5.866908787422304,6.413444943157614,5.8429019859898546,6.255065639833375,4.755846892011121,5.34086134304286,5.885177306261426,5.371867613645122,5.516531318318215
Benchmark Return [%],-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286,-0.5190658668272286
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],2.062248882856834,2.2045418223961595,2.0124352546159257,2.3120672108998637,2.2920056075696875,1.8141525942676824,2.2163040011136705,2.022916107387095,2.1772131371867074,2.144304500843454,1.778278111957944,2.036389243901044,1.8960360524697906,2.0465167488101983,2.0593743068312835,1.8247327927060675,1.87106098588607,1.5863762940633703,2.0806540606588033,2.0964959151992395,1.831157222610258,1.9243519826085613,1.5702340382919504,1.8674318849036258,1.9180118304506606
