,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00,2022-04-10 23:00:00+00:00
End,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00,2023-09-04 12:00:00+00:00
Period,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,111.56131343834426,106.56841474454866,110.79999997492385,112.94626503205816,111.3245650123795,107.98287843089912,106.34611566629742,109.10361384258323,112.75730854497732,110.26901916490984,104.12897537248429,104.50824805843659,106.88788905161677,112.10591953268244,108.5297542809572,101.64823554604394,100.583226640497,105.23231047619073,109.45702308183355,105.507766066566,100.49265822698425,99.66858012464716,103.26390397714225,106.86787207536051,103.71042143289928
Total Return [%],11.561313438344257,6.568414744548662,10.79999997492385,12.946265032058166,11.324565012379495,7.98287843089912,6.346115666297422,9.10361384258323,12.75730854497732,10.269019164909835,4.128975372484291,4.5082480584365925,6.887889051616767,12.105919532682435,8.529754280957206,1.648235546043935,0.5832266404970028,5.232310476190733,9.457023081833555,5.507766066566006,0.492658226984247,-0.3314198753528359,3.263903977142249,6.867872075360509,3.710421432899281
Benchmark Return [%],-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337,-5.337687455905337
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],4.935166905007841,4.035003272558819,4.203825474588089,4.29365746823283,4.273501843323724,4.665273672087463,3.876331659614961,3.461263464144975,2.8124523657258593,3.3859300667063525,5.013444512400034,4.417979061089698,3.722338478408152,3.0012036293688555,3.6192962055419526,5.2652580921053564,5.411368341010471,3.722338478408142,3.001203629368824,3.573567559672309,6.418842040863135,5.4489292561138445,3.8487328061859394,3.128544670569411,3.700157195478625
