,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00,2022-04-11 01:00:00+00:00
End,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00,2023-08-22 15:00:00+00:00
Period,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00,4871 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,98.65750409141631,99.49563159822067,100.96508762697223,101.34928054899763,100.68801164312931,101.7533133641113,98.5221742559068,101.26655487060943,99.41584897500563,100.7051216703945,98.42838830429719,96.24908953460984,98.3540160258084,96.91313457553476,98.0512756541113,99.46507613738191,96.77611995864777,100.34865772477568,97.00525350265129,97.88828216894667,98.03431331762353,98.82672095183766,100.88079729676956,97.46871122961949,97.96944801587051
Total Return [%],-1.342495908583686,-0.5043684017793311,0.9650876269722346,1.3492805489976263,0.6880116431293146,1.7533133641113068,-1.4778257440931952,1.2665548706094256,-0.5841510249943695,0.7051216703945045,-1.5716116957028137,-3.750910465390163,-1.6459839741915943,-3.0868654244652447,-1.9487243458887065,-0.5349238626180863,-3.2238800413522313,0.348657724775677,-2.9947464973487143,-2.111717831053326,-1.9656866823764714,-1.1732790481623425,0.8807972967695578,-2.531288770380513,-2.030551984129488
Benchmark Return [%],14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385,14.497625282495385
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],5.832150361358425,6.3772310930756415,4.886455011891747,4.959527745550277,5.431623493368779,4.65580744118508,7.016656233502442,5.1308741491079255,5.602317225652252,5.206437762064218,7.2310300124651254,8.100948056401535,6.738280311368848,7.061790580712876,6.6364395517374835,6.387133175559715,6.943642985570333,5.270200025481875,7.167380684255788,6.600828151443354,5.622105157431028,5.3251273808938455,4.89121368162383,6.863111869458851,6.637956271789866
Max Drawdown Duration,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2719 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2814 days 00:00:00,2814 days 00:00:00,2719 days 00:00:00,2814 days 00:00:00,2814 days 00:00:00,4500 days 00:00:00,2814 days 00:00:00,2717 days 00:00:00,2814 days 00:00:00,2814 days 00:00:00
Total Trades,354,346,346,344,344,298,299,301,291,295,261,267,267,259,261,241,246,245,237,242,227,233,229,225,231
Total Closed Trades,354,346,346,344,344,298,299,301,291,295,261,267,267,259,261,241,246,245,237,242,227,233,229,225,231
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
