,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00,2023-09-05 03:00:00+00:00
End,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00
Period,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00,3687 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,101.03666376679553,100.82973225493198,100.93017478545283,100.95190386558531,101.07516423494297,100.7042648637008,100.84121270219681,100.7824808791463,100.80475268979473,100.81515454164861,100.75951049856383,100.92857561807476,100.92120175303019,100.9462331347097,100.78006767807676,100.6634628292719,100.80273102253258,100.8099316904092,100.88588536012251,100.75428198539372,100.59134092939578,100.76626582721325,100.7890742868096,100.87524604849524,100.74123326015146
Total Return [%],1.0366637667955274,0.829732254931983,0.9301747854528343,0.951903865585308,1.0751642349429744,0.7042648637008,0.8412127021968132,0.7824808791463056,0.804752689794725,0.81515454164861,0.7595104985638272,0.9285756180747596,0.9212017530301893,0.9462331347097006,0.7800676780767617,0.6634628292718929,0.8027310225325833,0.8099316904092007,0.885885360122515,0.7542819853937175,0.5913409293957841,0.7662658272132461,0.7890742868095941,0.8752460484952422,0.7412332601514606
Benchmark Return [%],-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294,-0.034324263421370294
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],0.11603535287090752,0.22088609615052465,0.1864734315143454,0.20312811354528024,0.13596121968946093,0.12943126616395914,0.20412408959679093,0.18148971525050947,0.16422442050453123,0.14848609513681102,0.14608991835747284,0.19774223644375707,0.16101736058864685,0.14547295327370566,0.13802250068178112,0.14608991835745952,0.20667110770133978,0.1699495174600229,0.12459546765376116,0.13802250068178112,0.18522550997703122,0.1918036828017296,0.16355940537153094,0.1182024524568079,0.12624779406391126
Max Drawdown Duration,275 days 00:00:00,1078 days 00:00:00,750 days 00:00:00,509 days 00:00:00,330 days 00:00:00,415 days 00:00:00,1019 days 00:00:00,757 days 00:00:00,757 days 00:00:00,670 days 00:00:00,450 days 00:00:00,1029 days 00:00:00,1078 days 00:00:00,867 days 00:00:00,637 days 00:00:00,662 days 00:00:00,1027 days 00:00:00,1095 days 00:00:00,524 days 00:00:00,524 days 00:00:00,885 days 00:00:00,1029 days 00:00:00,1122 days 00:00:00,569 days 00:00:00,568 days 00:00:00
Total Trades,194,179,174,174,169,162,155,152,152,145,142,141,142,136,130,132,131,132,129,126,126,123,124,121,118
Total Closed Trades,194,179,174,174,169,162,155,152,152,145,142,141,142,136,130,132,131,132,129,126,126,123,124,121,118
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],65.97938144329896,67.59776536312849,68.96551724137932,68.39080459770115,72.7810650887574,65.4320987654321,67.74193548387096,67.10526315789474,67.10526315789474,69.6551724137931,66.19718309859155,69.50354609929079,69.01408450704226,69.11764705882352,69.23076923076923,65.9090909090909,69.46564885496184,68.18181818181817,68.9922480620155,69.04761904761905,65.87301587301587,69.10569105691057,68.54838709677419,70.24793388429752,70.33898305084746
Best Trade [%],0.048038259566036155,0.04277867297807957,0.042320436698487,0.04232043669848823,0.04803825956604235,0.055046672460105334,0.14161747439255024,0.055046672460093,0.05504667246010528,0.0550466724601088,0.05504667246009624,0.1416174743925444,0.055046672460089645,0.08456363498938314,0.05504667246010395,0.05504667246010917,0.1416174743925463,0.05504667246010333,0.08456363498938314,0.05504667246009914,0.055046672460108845,0.14161747439254566,0.055046672460090866,0.08456363498938865,0.055046672460099075
Worst Trade [%],-0.0694518397509901,-0.12259277962637319,-0.09145173313658583,-0.07282206462790174,-0.08058291971459555,-0.0694518397510019,-0.1225927796263714,-0.0914517331365917,-0.09081131483733743,-0.08058291971460263,-0.0904725072679454,-0.12415914290802056,-0.09145173313658672,-0.09081131483733794,-0.080582919714609,-0.090472507267934,-0.12415914290801816,-0.0914517331365981,-0.09081131483732793,-0.08058291971460241,-0.13571329147771646,-0.12415914290802157,-0.09145173313659194,-0.09081131483733165,-0.08058291971460255
Avg Winning Trade [%],0.015615658654573154,0.01565361758648689,0.01587711910959634,0.01621236627428816,0.01683891425100161,0.014809399450743665,0.017208573402743375,0.016701406909429353,0.016759826131937394,0.01759309764496714,0.015436676083545316,0.017629987081631254,0.01712904486127588,0.017961902935229025,0.018104956278532116,0.015439731410103899,0.017413732795131923,0.017168232049902907,0.017911240852782864,0.017397620792678124,0.015928258888233265,0.017563418471069576,0.017433889352973894,0.018133621328325713,0.01746966375403223
Avg Losing Trade [%],-0.015111052658955501,-0.01872472007211706,-0.01847127195137253,-0.01784542042025432,-0.021767861523622218,-0.01577606329568906,-0.01976874855607222,-0.019244111639273573,-0.01815188727677793,-0.021923567924200454,-0.014768401843386316,-0.019117825557210092,-0.017704730019853458,-0.01776792472228057,-0.021300863875669283,-0.015493330796242074,-0.020119077137880866,-0.018003241134510743,-0.017793885706515723,-0.019533629510592593,-0.017430619229431222,-0.019705020739686958,-0.018304521247997693,-0.018599025938841128,-0.02031891200143338
Avg Winning Trade Duration,3 days 11:26:15,3 days 14:28:45.619834710,4 days 05:00:00,4 days 07:03:31.764705882,4 days 22:02:55.609756097,3 days 14:15:50.943396226,4 days 01:22:17.142857142,4 days 01:10:35.294117647,4 days 08:14:07.058823529,4 days 19:29:06.534653465,3 days 13:01:16.595744680,4 days 00:29:23.265306122,3 days 22:17:08.571428571,4 days 17:37:01.276595744,4 days 17:04:00,3 days 13:31:02.068965517,4 days 00:47:28.351648351,3 days 21:20:00,4 days 09:10:06.741573033,4 days 03:35:10.344827586,3 days 08:57:49.879518072,4 days 01:24:42.352941176,3 days 20:36:42.352941176,4 days 09:19:03.529411764,4 days 03:45:32.530120481
Avg Losing Trade Duration,4 days 12:00:00,6 days 19:22:06.315789473,7 days 04:58:52.075471698,7 days 10:28:21.818181818,7 days 22:26:05.217391304,5 days 01:18:32.727272727,6 days 10:17:08.571428571,6 days 16:00:00,6 days 15:50:24,8 days 18:00:00,6 days 00:00:00,6 days 01:42:51.428571428,6 days 00:00:00,6 days 17:42:51.428571428,8 days 23:24:00,6 days 03:16:21.818181818,6 days 03:41:32.307692307,6 days 00:00:00,7 days 12:00:00,8 days 14:09:13.846153846,5 days 20:00:00,6 days 04:32:25.945945946,5 days 22:06:18.947368421,7 days 12:00:00,8 days 15:46:17.142857142
Profit Factor,2.0674864832271154,1.7757925874248937,1.947933444396383,1.9675395999102465,2.0710142246968437,1.8096014652607761,1.8669614754171577,1.8459985227217133,1.8852841330124657,1.8439729773950428,2.0910946344120838,2.153905135289865,2.20759039984472,2.2644825567511098,1.914212472120624,1.97094083793799,2.0212952686700043,2.0954124350565104,2.241074932190692,1.9887615905393932,1.8061897968102205,2.049385731818616,2.1324462326699183,2.3033454968364273,2.040884402343519
Expectancy,0.005187196301886138,0.004530550824899702,0.005239427207422449,0.005470711871179931,0.006361918549958429,0.004249683132070774,0.005299423624452199,0.0048943588781689955,0.005294425590754769,0.005621755459645585,0.005244365278569349,0.006449755413504635,0.006362402962372657,0.0069575965787478,0.006000520600590475,0.004908582122238534,0.005973872928211272,0.005999226562124591,0.006867328373042751,0.005986364963442201,0.004554576369931147,0.006069354305979792,0.006215627224210258,0.00723343841731605,0.006281637797893733
Sharpe Ratio,0.9501045066107682,0.7246622423995711,0.7967689191455057,0.8128876044490452,0.8922994263901091,0.6839785342806218,0.7618847638548853,0.7290463487344978,0.7518634452387889,0.7270890132276095,0.7565092442086576,0.8928848168442584,0.9100791651632252,0.8822850694314163,0.7157868931942958,0.6711160810506717,0.7865898322711615,0.8172294056229265,0.84132174579616,0.7238050740969995,0.620288264993644,0.7612996297756697,0.8170736913407968,0.8530656595232146,0.7302865975080944
Calmar Ratio,0.8803342869471825,0.3704856745540632,0.49176125871031945,0.46194213588512983,0.7790854604062387,0.5369608205088502,0.40643497959589425,0.42531958770820827,0.48336485948815305,0.5414823733959686,0.51292263562149,0.4629431383140978,0.5640351743649441,0.6411969216042237,0.5575460622094198,0.448251253394676,0.3831286107282145,0.47007674302632935,0.7010806924157186,0.5391782202287508,0.315211962294253,0.3941374580780125,0.475908235553929,0.7301583655381207,0.579301925471501
Omega Ratio,1.3671422705690017,1.255124743557091,1.2723618467697617,1.275420699323177,1.294545831467863,1.2710467047125338,1.2890394078919796,1.2745641069636338,1.2795353952329553,1.248556655928275,1.3134343063156466,1.3774938722667194,1.387828082170986,1.351192220791945,1.2613902386090838,1.2825177877377176,1.3385591319469354,1.3579642762614816,1.344277690954171,1.2851214780714595,1.2751928661369436,1.3374428942971106,1.3757835895655202,1.3667456722370637,1.3013063429487217
Sortino Ratio,1.4851022842022557,1.0835462972832968,1.2085102203816664,1.2243517165311246,1.3661113709726673,1.0357856076140985,1.1609299717042927,1.110792949817262,1.131553331071285,1.1070299571036135,1.160319922227794,1.4001814779988688,1.4312129585159463,1.3896028377046528,1.0878251677118604,1.0210860434423454,1.2201582581918422,1.2713308025011376,1.318849396514835,1.10770590808224,0.9380000305882533,1.177698408725898,1.2769243651672204,1.3482211201550864,1.1248939850687705
