,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00,2023-09-04 05:00:00+00:00
End,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00
Period,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00,3696 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,100.80438755519904,103.96232085608204,103.6366170518453,102.65298854885732,101.77118528576861,99.78102715970455,103.88251312288862,100.8129353283129,100.0209617700863,99.43954056758794,98.60637774324539,102.38835175614894,99.73254098810703,99.22114589386682,98.18173274519789,98.66937793502892,101.7849854060887,99.45754760344587,98.00221979016928,98.0117106216471,98.83998156023159,100.42775617039763,98.33694967858105,97.53127730084849,96.48025904939607
Total Return [%],0.8043875551990425,3.9623208560820444,3.636617051845306,2.652988548857323,1.7711852857686097,-0.21897284029545006,3.882513122888625,0.8129353283129035,0.020961770086302067,-0.5604594324120598,-1.393622256754611,2.3883517561489356,-0.26745901189296717,-0.7788541061331813,-1.8182672548021088,-1.330622064971081,1.784985406088694,-0.5424523965541255,-1.9977802098307222,-1.9882893783529028,-1.1600184397684075,0.427756170397629,-1.6630503214189505,-2.468722699151513,-3.519740950603932
Benchmark Return [%],4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835,4.6345657736721835
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],5.942291056816955,4.52315703507912,3.691742137247747,4.490260836541641,4.886426658146194,5.143217474909818,2.621070678418697,4.065333182743201,4.772514735139608,5.263659793736833,6.497030246258999,4.013027598411577,5.102231412398451,5.862015234817238,6.472274428905594,6.284462903600545,4.217974483846996,5.285010863027866,6.8172255217455415,6.8206333995880595,5.643780830306915,4.374762278322727,5.7425741894012745,6.637989544252289,7.722402781245408
