,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00,2023-09-05 09:00:00+00:00
End,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00
Period,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,109.39954057928553,112.60190999455511,111.79967024765516,112.50254043182564,112.97590827523123,112.38298324050561,112.71820435213574,111.03111068353031,111.72502415142993,112.4251093543479,111.13846471718291,111.42701001680574,110.37054530097677,109.93231695251478,111.3087359255996,110.57297243409302,110.46785700732876,108.03225503532899,109.34617601058932,110.81276282934036,107.37068801408554,108.04817668724101,106.19263467610686,108.26931606972816,109.52518124189125
Total Return [%],9.399540579285528,12.601909994555117,11.799670247655158,12.502540431825636,12.975908275231236,12.38298324050561,12.718204352135743,11.031110683530315,11.725024151429935,12.425109354347896,11.138464717182913,11.427010016805738,10.370545300976772,9.932316952514782,11.308735925599606,10.572972434093018,10.46785700732876,8.032255035328987,9.346176010589318,10.812762829340357,7.370688014085544,8.04817668724101,6.192634676106863,8.269316069728163,9.525181241891246
Benchmark Return [%],2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314,2.1350411955278314
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],2.596826101327226,3.351693311694511,2.828418439225999,3.281852353517777,3.5146437906001275,2.681575694801131,3.6620168312179486,3.505861032416424,3.25552843596732,3.509134586794508,2.166658759481231,2.9175197029205213,3.3259916064431914,3.952807156396243,3.045000320983516,1.8904182307880806,2.414918544117881,3.145720298183456,2.7555935065095296,2.302299864706948,2.1070950303107057,2.4590259302700743,2.4169302465874574,2.4340260070156434,1.9994855221552186
Max Drawdown Duration,549 days 00:00:00,774 days 00:00:00,877 days 00:00:00,877 days 00:00:00,813 days 00:00:00,1006 days 00:00:00,953 days 00:00:00,1077 days 00:00:00,945 days 00:00:00,877 days 00:00:00,701 days 00:00:00,915 days 00:00:00,766 days 00:00:00,1004 days 00:00:00,900 days 00:00:00,858 days 00:00:00,846 days 00:00:00,789 days 00:00:00,857 days 00:00:00,763 days 00:00:00,702 days 00:00:00,1185 days 00:00:00,1148 days 00:00:00,858 days 00:00:00,848 days 00:00:00
